BLOCK,ACTUAL_KE,KE_AVE,ERROR
1,0.88706,0.88706,0
2,0.827543,0.857301,0.0210424
3,0.82911,0.847904,0.0159894
4,0.831469,0.843796,0.0125088
5,0.864449,0.847926,0.0106673
6,0.871602,0.851872,0.0095915
7,0.862574,0.853401,0.00834224
8,0.844463,0.852284,0.0073739
9,0.845109,0.851487,0.00659753
10,0.854775,0.851815,0.00594597
11,0.852539,0.851881,0.00540579
12,0.879891,0.854215,0.00543592
13,0.841327,0.853224,0.00510738
14,0.856798,0.853479,0.00474894
15,0.852499,0.853414,0.0044328
16,0.862465,0.85398,0.00419169
17,0.854309,0.853999,0.00394517
18,0.85529,0.854071,0.00372664
19,0.841348,0.853401,0.00359016
20,0.829412,0.852202,0.00360546
21,0.826931,0.850998,0.00362903
22,0.828955,0.849996,0.00359974
23,0.827475,0.849017,0.00357392
24,0.834784,0.848424,0.00347386
25,0.808223,0.846816,0.00368836
26,0.78889,0.844588,0.00416538
27,0.771542,0.841883,0.0048101
28,0.783958,0.839814,0.00506367
29,0.80189,0.838506,0.00505511
30,0.798839,0.837184,0.00505657
31,0.758229,0.834637,0.0054976
32,0.774712,0.832764,0.00563572
33,0.785828,0.831342,0.00564157
34,0.758171,0.82919,0.00587179
35,0.75639,0.82711,0.00606124
36,0.756109,0.825138,0.00620545
37,0.778785,0.823885,0.0061629
38,0.781599,0.822772,0.00610036
39,0.738972,0.820623,0.00631103
40,0.771749,0.819402,0.00627041
41,0.7976,0.81887,0.00613998
42,0.810165,0.818663,0.00599729
43,0.785664,0.817895,0.00590671
44,0.778048,0.81699,0.00584148
45,0.758601,0.815692,0.005854
46,0.752268,0.814313,0.00588687
47,0.753343,0.813016,0.00590282
48,0.753423,0.811774,0.00590897
49,0.772608,0.810975,0.00584219
50,0.762103,0.809998,0.00580654
51,0.757129,0.808961,0.00578448
52,0.772972,0.808269,0.00571449
53,0.737173,0.806928,0.00576197
54,0.758241,0.806026,0.00572537
55,0.775944,0.805479,0.00564733
56,0.766039,0.804775,0.00559023
57,0.778682,0.804317,0.00551087
58,0.785757,0.803997,0.00542514
59,0.790283,0.803764,0.00533816
60,0.773331,0.803257,0.00527324
61,0.776406,0.802817,0.00520513
62,0.765482,0.802215,0.00515589
63,0.78837,0.801995,0.00507873
64,0.778767,0.801632,0.00501233
65,0.771676,0.801171,0.00495636
66,0.759054,0.800533,0.00492217
67,0.771068,0.800093,0.00486831
68,0.781273,0.799817,0.00480458
69,0.772297,0.799418,0.00475148
70,0.742624,0.798606,0.00475236
71,0.773058,0.798247,0.00469903
72,0.797676,0.798239,0.00463378
73,0.777669,0.797957,0.00457886
74,0.775618,0.797655,0.00452692
75,0.759412,0.797145,0.00449519
76,0.777941,0.796892,0.00444314
77,0.755043,0.796349,0.00441855
78,0.757123,0.795846,0.00439043
79,0.760722,0.795401,0.00435731
80,0.805211,0.795524,0.00430457
81,0.767395,0.795177,0.00426541
82,0.786785,0.795074,0.00421462
83,0.773293,0.794812,0.004172
84,0.776736,0.794597,0.00412788
85,0.760065,0.794191,0.00409926
86,0.803862,0.794303,0.00405314
87,0.755046,0.793852,0.00403159
88,0.773047,0.793615,0.0039927
89,0.761643,0.793256,0.00396397
90,0.777759,0.793084,0.00392366
91,0.760707,0.792728,0.00389664
92,0.728847,0.792034,0.00391566
93,0.780626,0.791911,0.00387548
94,0.742347,0.791384,0.00386996
95,0.752319,0.790973,0.00385101
96,0.751973,0.790566,0.00383226
97,0.780154,0.790459,0.00379425
98,0.793883,0.790494,0.0037557
99,0.791891,0.790508,0.00371779
100,0.780502,0.790408,0.00368196
