#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.78409     1.78409           0
           2     1.63434     1.70922    0.052944
           3     1.67303     1.69715   0.0366447
           4     1.66507     1.68913   0.0283477
           5     1.66601     1.68451   0.0230524
           6      1.6388     1.67689   0.0204304
           7     1.65895     1.67433   0.0176718
           8     1.64399     1.67054   0.0158643
           9     1.64936     1.66818    0.014275
          10     1.64151     1.66552   0.0130944
          11     1.65621     1.66467   0.0119313
          12     1.68269     1.66617   0.0110311
          13     1.63624     1.66387     0.01042
          14      1.6761     1.66474  0.00971226
          15     1.66999     1.66509  0.00907107
          16      1.6105     1.66168  0.00912324
          17     1.61013     1.65865   0.0090766
          18     1.69226     1.66052  0.00876237
          19     1.62867     1.65884     0.00846
          20     1.63493     1.65764  0.00812105
          21     1.62062     1.65588  0.00792341
          22     1.65209     1.65571  0.00756513
          23     1.63271     1.65471  0.00730196
          24     1.61326     1.65298  0.00719905
          25     1.60682     1.65113  0.00714397
          26     1.65656     1.65134  0.00687225
          27     1.66867     1.65199  0.00664761
          28     1.66733     1.65253  0.00643274
          29     1.59408     1.65052  0.00651902
          30     1.68951     1.65182  0.00642996
          31      1.6216     1.65084  0.00629597
          32     1.59365     1.64906  0.00634783
          33     1.63476     1.64862  0.00617024
          34     1.63541     1.64823  0.00600098
          35     1.67014     1.64886  0.00586208
          36     1.64625     1.64879   0.0056997
          37     1.58472     1.64706  0.00580272
          38     1.65656     1.64731  0.00565541
          39     1.62374      1.6467  0.00554257
          40     1.61316     1.64586  0.00546706
          41     1.64343      1.6458  0.00533404
          42     1.59983     1.64471  0.00531818
          43     1.63962     1.64459  0.00519582
          44     1.62488     1.64414    0.005097
          45     1.63127     1.64386  0.00499176
          46     1.65266     1.64405  0.00488691
          47     1.62933     1.64373  0.00479296
          48     1.64244     1.64371  0.00469318
          49     1.63991     1.64363  0.00459804
          50     1.64195      1.6436   0.0045062
          51     1.70211     1.64474  0.00456156
          52     1.63485     1.64455   0.0044778
          53     1.63041     1.64429  0.00440126
          54     1.61364     1.64372   0.0043562
          55     1.63975     1.64365  0.00427759
          56     1.63238     1.64345  0.00420593
          57     1.65899     1.64372  0.00414097
          58     1.64301     1.64371  0.00406959
          59     1.63207     1.64351   0.0040054
          60     1.69533     1.64437  0.00403067
          61     1.60949      1.6438  0.00400495
          62     1.68248     1.64443  0.00398864
          63     1.60704     1.64383  0.00396924
          64     1.67484     1.64432  0.00393669
          65     1.60771     1.64375   0.0039162
          66     1.64575     1.64378  0.00385698
          67     1.62566     1.64351  0.00380889
          68     1.65051     1.64362  0.00375426
          69     1.67249     1.64403  0.00372311
          70     1.67913     1.64454  0.00370353
          71     1.70818     1.64543  0.00375827
          72     1.61929     1.64507  0.00372358
          73     1.64838     1.64511  0.00367285
          74     1.69006     1.64572  0.00367308
          75     1.65623     1.64586  0.00362678
          76     1.63376      1.6457  0.00358255
          77     1.62575     1.64544  0.00354539
          78     1.61508     1.64505  0.00352124
          79     1.66264     1.64528  0.00348369
          80     1.64441     1.64527  0.00344016
          81     1.65336     1.64537  0.00339914
          82     1.68295     1.64582  0.00338845
          83     1.63884     1.64574  0.00334867
          84     1.67675     1.64611  0.00332909
          85     1.68982     1.64662   0.0033294
          86     1.61659     1.64627  0.00330895
          87     1.64842      1.6463  0.00327101
          88     1.64614      1.6463  0.00323384
          89     1.65391     1.64638  0.00319864
          90     1.62976      1.6462  0.00316842
          91      1.6378     1.64611  0.00313495
          92      1.6444     1.64609  0.00310093
          93     1.64993     1.64613  0.00306786
          94     1.63299     1.64599  0.00303841
          95     1.59185     1.64542   0.0030594
          96     1.66059     1.64558  0.00303161
          97     1.58491     1.64495  0.00306418
          98     1.65114     1.64501  0.00303356
          99      1.6282     1.64484  0.00300767
         100     1.61676     1.64456  0.00299068
