BLOCK,ACTUAL_PE,PE_AVE,ERROR
1,-6.09537,-6.09537,0
2,-5.97085,-6.03311,0.0440245
3,-5.99558,-6.0206,0.0310765
4,-5.99495,-6.01419,0.0239601
5,-5.9299,-5.99733,0.0243874
6,-5.98442,-5.99518,0.0204175
7,-5.96201,-5.99044,0.0180421
8,-5.95425,-5.98592,0.0163442
9,-5.9713,-5.98429,0.0146087
10,-5.98504,-5.98437,0.013148
11,-5.99923,-5.98572,0.012022
12,-5.98009,-5.98525,0.0110293
13,-5.98073,-5.9849,0.0101864
14,-5.99948,-5.98594,0.00951181
15,-5.96678,-5.98467,0.00896307
16,-6.00357,-5.98585,0.00848036
17,-6.02749,-5.9883,0.00832775
18,-5.99139,-5.98847,0.00786687
19,-5.97538,-5.98778,0.00748291
20,-5.99261,-5.98802,0.00711266
21,-5.96332,-5.98684,0.00687054
22,-5.94709,-5.98504,0.00679169
23,-5.97057,-5.98441,0.00652545
24,-5.99769,-5.98496,0.00627695
25,-5.98764,-5.98507,0.00602679
26,-5.99608,-5.98549,0.00580985
27,-5.96057,-5.98457,0.00566755
28,-5.9831,-5.98452,0.00546538
29,-5.96532,-5.98386,0.00531686
30,-6.00005,-5.9844,0.00516698
31,-5.95548,-5.98346,0.00508377
32,-5.99238,-5.98374,0.00493253
33,-5.95128,-5.98276,0.00488016
34,-5.92925,-5.98118,0.00498393
35,-5.96572,-5.98074,0.00486108
36,-6.00701,-5.98147,0.00478052
37,-5.96374,-5.98099,0.00467528
38,-5.98986,-5.98123,0.00455806
39,-5.99017,-5.98145,0.00444695
40,-5.99476,-5.98179,0.0043482
41,-5.98558,-5.98188,0.00424313
42,-5.99651,-5.98223,0.00415637
43,-5.96279,-5.98178,0.00408422
44,-5.98328,-5.98181,0.00399154
45,-5.97252,-5.9816,0.00390818
46,-5.98558,-5.98169,0.00382417
47,-6.00184,-5.98212,0.00376675
48,-5.96993,-5.98187,0.00369683
49,-5.96079,-5.98144,0.00364633
50,-5.97368,-5.98128,0.0035767
51,-5.99648,-5.98158,0.00351895
52,-5.98355,-5.98162,0.00345148
53,-6.00461,-5.98205,0.00341351
54,-5.99755,-5.98234,0.00336235
55,-5.96822,-5.98208,0.003311
56,-5.9792,-5.98203,0.00325227
57,-5.99719,-5.98229,0.00320607
58,-5.95812,-5.98188,0.00317776
59,-5.96052,-5.98152,0.00314444
60,-5.95247,-5.98103,0.00312908
61,-5.96382,-5.98075,0.00309048
62,-5.97921,-5.98072,0.00304073
63,-5.95338,-5.98029,0.00302329
64,-5.97856,-5.98026,0.00297617
65,-5.96837,-5.98008,0.00293601
66,-5.96185,-5.9798,0.00290449
67,-5.97962,-5.9798,0.00286114
68,-5.98468,-5.97987,0.00281997
69,-5.97402,-5.97979,0.00278037
70,-5.96014,-5.97951,0.00275479
71,-5.9533,-5.97914,0.0027406
72,-5.9946,-5.97935,0.00271093
73,-5.98054,-5.97937,0.00267385
74,-5.97887,-5.97936,0.00263772
75,-5.9691,-5.97923,0.0026061
76,-5.96689,-5.97906,0.00257686
77,-5.97719,-5.97904,0.0025435
78,-6.00286,-5.97934,0.00252917
79,-5.99444,-5.97954,0.00250436
80,-5.99676,-5.97975,0.00248229
81,-5.98336,-5.9798,0.00245204
82,-5.98414,-5.97985,0.00242271
83,-5.9555,-5.97956,0.00241122
84,-5.99618,-5.97975,0.00239062
85,-5.94318,-5.97932,0.0024009
86,-5.93544,-5.97881,0.0024266
87,-5.99192,-5.97896,0.00240338
88,-6.03399,-5.97959,0.00245605
89,-5.97847,-5.97958,0.00242849
90,-5.97866,-5.97957,0.00240153
91,-5.97381,-5.9795,0.00237597
92,-5.97908,-5.9795,0.00235015
93,-5.97751,-5.97948,0.00232498
94,-5.94743,-5.97914,0.0023251
95,-5.99753,-5.97933,0.00230867
96,-5.97122,-5.97924,0.00228617
97,-5.9764,-5.97922,0.00226279
98,-5.94641,-5.97888,0.00226433
99,-5.96929,-5.97878,0.00224353
100,-5.95078,-5.9785,0.00223851
