BLOCK,ACTUAL_P,P_AVE,ERROR
1,-0.365892,-0.365892,0
2,-0.427234,-0.396563,0.0216876
3,-0.415293,-0.402806,0.0153308
4,-0.414065,-0.405621,0.0117536
5,-0.445535,-0.413604,0.0118066
6,-0.420908,-0.414821,0.00990138
7,-0.429916,-0.416978,0.00871856
8,-0.433062,-0.418988,0.00785714
9,-0.424512,-0.419602,0.00700806
10,-0.41722,-0.419364,0.0063113
11,-0.412439,-0.418734,0.00576885
12,-0.419784,-0.418822,0.00528878
13,-0.419234,-0.418853,0.00488204
14,-0.411138,-0.418302,0.00456433
15,-0.424507,-0.418716,0.00427874
16,-0.410779,-0.41822,0.00403997
17,-0.399108,-0.417096,0.00395567
18,-0.416067,-0.417039,0.00373632
19,-0.423038,-0.417354,0.00355299
20,-0.415789,-0.417276,0.0033762
21,-0.429638,-0.417865,0.00326635
22,-0.435703,-0.418676,0.00321694
23,-0.425127,-0.418956,0.00308928
24,-0.413745,-0.418739,0.00296818
25,-0.417612,-0.418694,0.0028498
26,-0.41294,-0.418473,0.00274877
27,-0.428549,-0.418846,0.00267218
28,-0.416793,-0.418772,0.00257775
29,-0.427498,-0.419073,0.00250636
30,-0.411281,-0.418814,0.00243624
31,-0.431093,-0.41921,0.00238963
32,-0.415774,-0.419102,0.00231737
33,-0.433478,-0.419538,0.00228772
34,-0.446336,-0.420326,0.0023523
35,-0.428425,-0.420558,0.00229644
36,-0.409323,-0.420245,0.00225376
37,-0.428909,-0.42048,0.00220498
38,-0.415618,-0.420352,0.00215066
39,-0.417006,-0.420266,0.00209722
40,-0.414577,-0.420124,0.00204961
41,-0.417845,-0.420068,0.00200037
42,-0.413875,-0.419921,0.00195817
43,-0.43128,-0.420185,0.00193037
44,-0.421432,-0.420213,0.00188671
45,-0.428163,-0.42039,0.00185303
46,-0.418873,-0.420357,0.00181304
47,-0.411953,-0.420178,0.00178326
48,-0.42545,-0.420288,0.00174949
49,-0.428629,-0.420458,0.00172205
50,-0.424652,-0.420542,0.00168965
51,-0.411948,-0.420373,0.0016649
52,-0.419504,-0.420357,0.00163297
53,-0.413106,-0.42022,0.00160788
54,-0.415581,-0.420134,0.0015804
55,-0.427623,-0.42027,0.00155752
56,-0.423267,-0.420324,0.00153062
57,-0.414472,-0.420221,0.00150721
58,-0.432248,-0.420428,0.00149542
59,-0.431941,-0.420623,0.00148275
60,-0.433398,-0.420836,0.00147324
61,-0.427378,-0.420944,0.00145299
62,-0.420634,-0.420939,0.00142956
63,-0.431971,-0.421114,0.00141756
64,-0.421187,-0.421115,0.00139541
65,-0.425103,-0.421176,0.00137529
66,-0.428433,-0.421286,0.00135884
67,-0.418608,-0.421246,0.00133914
68,-0.417076,-0.421185,0.00132085
69,-0.424256,-0.421229,0.00130246
70,-0.429488,-0.421347,0.00128919
71,-0.433133,-0.421513,0.00128167
72,-0.413529,-0.421402,0.00126866
73,-0.419664,-0.421379,0.0012515
74,-0.421297,-0.421378,0.00123459
75,-0.425309,-0.42143,0.00121924
76,-0.428374,-0.421521,0.00120662
77,-0.423001,-0.421541,0.0011911
78,-0.410289,-0.421396,0.00118453
79,-0.414896,-0.421314,0.00117239
80,-0.414968,-0.421235,0.00116042
81,-0.421517,-0.421238,0.0011461
82,-0.420792,-0.421233,0.00113214
83,-0.432594,-0.42137,0.00112674
84,-0.41335,-0.421274,0.00111736
85,-0.438706,-0.421479,0.00112288
86,-0.443257,-0.421732,0.00113802
87,-0.414056,-0.421644,0.00112836
88,-0.396119,-0.421354,0.00115221
89,-0.422856,-0.421371,0.00113939
90,-0.422289,-0.421381,0.00112678
91,-0.423812,-0.421408,0.00111471
92,-0.420515,-0.421398,0.00110264
93,-0.422479,-0.42141,0.00109084
94,-0.436784,-0.421573,0.00109143
95,-0.414859,-0.421503,0.00108223
96,-0.423698,-0.421526,0.00107119
97,-0.421099,-0.421521,0.00106016
98,-0.439921,-0.421709,0.00106584
99,-0.427494,-0.421767,0.00105667
100,-0.433675,-0.421886,0.00105279
