#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.956103    0.956103           0
           2    0.882478     0.91929   0.0260304
           3    0.903465    0.914015   0.0178801
           4     0.89913    0.910294   0.0137919
           5    0.899335    0.908102   0.0112063
           6     0.88503    0.904257  0.00997652
           7    0.895603     0.90302  0.00862756
           8    0.888283    0.901178   0.0077433
           9    0.890947    0.900041  0.00696587
          10     0.88693     0.89873  0.00639149
          11    0.893964    0.898297  0.00582512
          12    0.907411    0.899056  0.00538898
          13    0.884305    0.897922   0.0050925
          14    0.905083    0.898433  0.00475437
          15    0.901757    0.898655  0.00444258
          16    0.873063    0.897055  0.00444354
          17    0.871971     0.89558  0.00442037
          18    0.911869    0.896485  0.00426642
          19    0.881001     0.89567  0.00411897
          20    0.884167    0.895095  0.00395297
          21    0.876974    0.894232  0.00385777
          22      0.8945    0.894244  0.00368243
          23    0.883445    0.893774  0.00355213
          24    0.873114    0.892914  0.00350689
          25     0.87016    0.892004  0.00348271
          26    0.896044    0.892159  0.00335222
          27    0.901082    0.892489  0.00324432
          28    0.900995    0.892793  0.00314264
          29    0.864342    0.891812  0.00318373
          30    0.910932    0.892449  0.00314074
          31    0.879319    0.892026  0.00306786
          32    0.865907     0.89121  0.00307865
          33    0.884588    0.891009  0.00299189
          34    0.884827    0.890827  0.00290942
          35      0.9015    0.891132  0.00284223
          36    0.889655    0.891091  0.00276357
          37    0.858768    0.890217  0.00282358
          38    0.894642    0.890334  0.00275168
          39    0.879758    0.890063  0.00269445
          40    0.872355     0.88962  0.00266321
          41    0.887291    0.889563  0.00259886
          42    0.865729    0.888996   0.0025982
          43    0.887167    0.888953  0.00253812
          44     0.87889    0.888724  0.00249072
          45     0.88349    0.888608  0.00243809
          46    0.891292    0.888666  0.00238578
          47    0.881598    0.888516  0.00233976
          48    0.886939    0.888483  0.00229124
          49    0.886843     0.88845  0.00224473
          50    0.887412    0.888429  0.00219993
          51    0.916066    0.888971  0.00222254
          52     0.88401    0.888875  0.00218184
          53    0.880649     0.88872  0.00214619
          54    0.873808    0.888444  0.00212414
          55    0.885635    0.888393  0.00208613
          56      0.8818    0.888275   0.0020522
          57    0.895924     0.88841  0.00202057
          58    0.888086    0.888404  0.00198574
          59    0.882511    0.888304   0.0019546
          60    0.913797    0.888729  0.00196766
          61    0.870901    0.888437  0.00195699
          62    0.906579    0.888729  0.00194718
          63    0.870404    0.888438  0.00193787
          64    0.905073    0.888698  0.00192494
          65    0.870606     0.88842  0.00191535
          66    0.890258    0.888448  0.00188653
          67    0.878588    0.888301   0.0018641
          68    0.890771    0.888337  0.00183704
          69    0.902372     0.88854  0.00182165
          70    0.905399    0.888781  0.00181147
          71     0.91964    0.889216  0.00183736
          72    0.875893    0.889031  0.00182114
          73    0.891009    0.889058  0.00179639
          74    0.911523    0.889362  0.00179758
          75    0.894489     0.88943  0.00177492
          76    0.883598    0.889353  0.00175322
          77    0.879233    0.889222  0.00173537
          78    0.874089    0.889028  0.00172393
          79    0.897478    0.889135  0.00170543
          80    0.889941    0.889145  0.00168414
          81    0.893141    0.889194  0.00166407
          82    0.907601    0.889419  0.00165885
          83    0.886792    0.889387  0.00163916
          84    0.904458    0.889566  0.00162944
          85    0.910122    0.889808  0.00162811
          86    0.874818    0.889634  0.00161849
          87    0.890431    0.889643  0.00159991
          88    0.889493    0.889641  0.00158173
          89    0.892579    0.889674   0.0015643
          90    0.881764    0.889586  0.00154939
          91    0.884274    0.889528  0.00153346
          92     0.88847    0.889517  0.00151684
          93    0.892926    0.889553  0.00150097
          94    0.882546    0.889479  0.00148685
          95      0.8629    0.889199  0.00149729
          96    0.896843    0.889279  0.00148381
          97    0.860213    0.888979  0.00149846
          98    0.891792    0.889008  0.00148345
          99    0.881526    0.888932  0.00147039
         100    0.874799    0.888791  0.00146246
