BLOCK,ACTUAL_T,T_AVE,ERROR
1,0.646886,0.646886,0
2,0.568089,0.607487,0.0278589
3,0.558725,0.591233,0.0228271
4,0.53845,0.578037,0.0205841
5,0.566065,0.575643,0.0166059
6,0.566588,0.574134,0.0139067
7,0.555576,0.571483,0.0121701
8,0.578653,0.572379,0.0106818
9,0.573132,0.572463,0.00949525
10,0.563821,0.571598,0.00858496
11,0.546561,0.569322,0.00810062
12,0.554434,0.568082,0.00751998
13,0.549027,0.566616,0.00708292
14,0.565859,0.566562,0.00657721
15,0.568339,0.56668,0.00613979
16,0.546047,0.565391,0.00588992
17,0.553319,0.564681,0.0055861
18,0.555845,0.56419,0.00529728
19,0.569369,0.564462,0.00502549
20,0.54603,0.563541,0.00485799
21,0.553359,0.563056,0.00465079
22,0.56369,0.563085,0.00443948
23,0.561569,0.563019,0.00424695
24,0.56285,0.563012,0.00407
25,0.548752,0.562441,0.00394696
26,0.536749,0.561453,0.00391691
27,0.575003,0.561955,0.00380385
28,0.55079,0.561556,0.00368884
29,0.585516,0.562383,0.00365299
30,0.569111,0.562607,0.0035381
31,0.54838,0.562148,0.0034536
32,0.56112,0.562116,0.00334583
33,0.562832,0.562137,0.00324451
34,0.557058,0.561988,0.00315252
35,0.567507,0.562146,0.00306639
36,0.585846,0.562804,0.00305107
37,0.559162,0.562706,0.0029702
38,0.567292,0.562826,0.00289448
39,0.56691,0.562931,0.00282216
40,0.580042,0.563359,0.00278384
41,0.556381,0.563189,0.00272114
42,0.584001,0.563684,0.00270109
43,0.546777,0.563291,0.00266674
44,0.548851,0.562963,0.00262624
45,0.562781,0.562959,0.00256789
46,0.555576,0.562798,0.00251707
47,0.561479,0.56277,0.00246367
48,0.582892,0.563189,0.00244775
49,0.575534,0.563441,0.00241073
50,0.577692,0.563726,0.0023793
51,0.572297,0.563894,0.00233858
52,0.551767,0.563661,0.0023052
53,0.541773,0.563248,0.0022984
54,0.543584,0.562884,0.00228451
55,0.571344,0.563038,0.00224814
56,0.587009,0.563466,0.00224838
57,0.584979,0.563843,0.00224039
58,0.564368,0.563852,0.00220178
59,0.539333,0.563437,0.00220333
60,0.549177,0.563199,0.00217939
61,0.567819,0.563275,0.00214498
62,0.555803,0.563154,0.00211376
63,0.585168,0.563504,0.00210889
64,0.55595,0.563386,0.00207924
65,0.544232,0.563091,0.00206803
66,0.577472,0.563309,0.00204814
67,0.573303,0.563458,0.002023
68,0.55453,0.563327,0.0019975
69,0.55473,0.563202,0.00197244
70,0.545955,0.562956,0.00195959
71,0.552173,0.562804,0.00193786
72,0.559384,0.562757,0.00191153
73,0.554581,0.562645,0.00188862
74,0.547979,0.562446,0.00187347
75,0.546441,0.562233,0.0018606
76,0.566226,0.562285,0.00183686
77,0.566757,0.562344,0.00181393
78,0.57069,0.562451,0.00179382
79,0.565329,0.562487,0.00177149
80,0.556488,0.562412,0.00175093
81,0.556389,0.562338,0.00173089
82,0.557463,0.562278,0.00171081
83,0.563404,0.562292,0.00169025
84,0.571456,0.562401,0.00167364
85,0.560787,0.562382,0.00165406
86,0.560585,0.562361,0.00163496
87,0.560637,0.562341,0.00161629
88,0.547571,0.562173,0.00160661
89,0.55784,0.562125,0.0015893
90,0.55702,0.562068,0.00157265
91,0.578969,0.562254,0.0015663
92,0.567731,0.562313,0.0015504
93,0.565787,0.562351,0.00153418
94,0.545384,0.56217,0.00152844
95,0.556999,0.562116,0.00151332
96,0.575625,0.562256,0.00150408
97,0.561687,0.56225,0.00148859
98,0.554727,0.562174,0.00147538
99,0.548601,0.562037,0.00146683
100,0.556138,0.561978,0.00145335
101,0.569859,0.562056,0.00144105
102,0.546579,0.561904,0.00143489
103,0.557219,0.561858,0.00142168
104,0.565931,0.561898,0.00140855
105,0.585379,0.562121,0.00141278
106,0.564034,0.562139,0.00139956
107,0.560965,0.562128,0.00138653
108,0.561179,0.562119,0.00137372
109,0.563392,0.562131,0.00136116
110,0.559175,0.562104,0.00134905
111,0.558622,0.562073,0.00133726
112,0.55986,0.562053,0.00132547
113,0.571515,0.562137,0.00131638
114,0.573982,0.562241,0.00130893
115,0.559937,0.562221,0.0012977
116,0.567235,0.562264,0.00128723
117,0.559422,0.56224,0.00127646
118,0.574502,0.562344,0.00126987
119,0.548823,0.56223,0.00126427
120,0.551231,0.562138,0.00125705
121,0.564179,0.562155,0.00124678
122,0.553905,0.562088,0.00123839
123,0.566081,0.56212,0.00122875
124,0.535903,0.561909,0.00123689
125,0.547717,0.561795,0.0012322
126,0.540381,0.561625,0.00123408
127,0.550229,0.561535,0.00122762
128,0.560342,0.561526,0.00121807
129,0.55656,0.561488,0.00120923
130,0.563532,0.561503,0.00120003
131,0.569217,0.561562,0.00119232
132,0.567148,0.561604,0.00118404
133,0.583988,0.561773,0.00118703
134,0.5617,0.561772,0.00117817
135,0.555086,0.561723,0.00117049
136,0.565537,0.561751,0.00116222
137,0.593812,0.561985,0.00117706
138,0.563514,0.561996,0.00116858
139,0.545605,0.561878,0.00116611
140,0.555851,0.561835,0.00115857
141,0.548577,0.561741,0.00115417
142,0.545127,0.561624,0.00115195
143,0.572094,0.561697,0.00114622
144,0.564644,0.561718,0.00113845
145,0.550828,0.561642,0.00113307
146,0.579208,0.561763,0.00113168
147,0.56577,0.56179,0.00112431
148,0.56117,0.561786,0.00111672
149,0.562916,0.561793,0.00110925
150,0.558252,0.56177,0.0011021
151,0.558828,0.56175,0.00109498
152,0.539141,0.561602,0.00109783
153,0.578848,0.561714,0.00109643
154,0.590997,0.561904,0.00110567
155,0.564495,0.561921,0.00109867
156,0.559384,0.561905,0.00109174
157,0.576286,0.561996,0.00108863
158,0.578578,0.562101,0.00108678
159,0.545842,0.561999,0.00108475
160,0.576241,0.562088,0.00108161
161,0.576093,0.562175,0.00107839
162,0.536218,0.562015,0.00108357
