#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.18939     1.18939           0
           2     1.08956     1.13948    0.035296
           3     1.11535     1.13144   0.0244298
           4     1.11005     1.12609   0.0188985
           5     1.11067     1.12301   0.0153683
           6     1.09253     1.11793   0.0136203
           7     1.10597     1.11622   0.0117812
           8       1.096     1.11369   0.0105762
           9     1.09957     1.11212  0.00951669
          10     1.09434     1.11034  0.00872959
          11     1.10414     1.10978  0.00795419
          12     1.12179     1.11078  0.00735406
          13     1.09083     1.10925  0.00694667
          14      1.1174     1.10983  0.00647484
          15     1.11333     1.11006  0.00604738
          16     1.07367     1.10779  0.00608216
          17     1.07342     1.10577  0.00605106
          18     1.12818     1.10701  0.00584158
          19     1.08578     1.10589     0.00564
          20     1.08995      1.1051  0.00541404
          21     1.08041     1.10392  0.00528227
          22     1.10139     1.10381  0.00504342
          23     1.08848     1.10314  0.00486798
          24     1.07551     1.10199  0.00479937
          25     1.07121     1.10076  0.00476264
          26     1.10438      1.1009   0.0045815
          27     1.11245     1.10132  0.00443174
          28     1.11155     1.10169  0.00428849
          29     1.06272     1.10035  0.00434602
          30     1.12634     1.10121  0.00428664
          31     1.08107     1.10056  0.00419731
          32     1.06243     1.09937  0.00423188
          33     1.08984     1.09908  0.00411349
          34     1.09027     1.09882  0.00400065
          35     1.11343     1.09924  0.00390806
          36      1.0975     1.09919   0.0037998
          37     1.05648     1.09804  0.00386848
          38     1.10438      1.0982  0.00377027
          39      1.0825      1.0978  0.00369505
          40     1.07544     1.09724  0.00364471
          41     1.09562      1.0972  0.00355603
          42     1.06655     1.09647  0.00354546
          43     1.09308     1.09639  0.00346388
          44     1.08326      1.0961    0.003398
          45     1.08751      1.0959  0.00332784
          46     1.10177     1.09603  0.00325794
          47     1.08622     1.09582   0.0031953
          48     1.09496     1.09581  0.00312879
          49     1.09327     1.09575  0.00306536
          50     1.09464     1.09573  0.00300413
          51     1.13474      1.0965  0.00304104
          52      1.0899     1.09637   0.0029852
          53     1.08694     1.09619  0.00293417
          54     1.07576     1.09581  0.00290413
          55     1.09317     1.09576  0.00285173
          56     1.08826     1.09563  0.00280395
          57     1.10599     1.09581  0.00276065
          58     1.09534      1.0958  0.00271306
          59     1.08804     1.09567  0.00267027
          60     1.13022     1.09625  0.00268711
          61     1.07299     1.09587  0.00266997
          62     1.12165     1.09628  0.00265909
          63     1.07136     1.09589  0.00264616
          64     1.11656     1.09621  0.00262446
          65      1.0718     1.09584   0.0026108
          66     1.09716     1.09586  0.00257132
          67     1.08377     1.09568  0.00253926
          68     1.10034     1.09574  0.00250284
          69     1.11499     1.09602  0.00248207
          70     1.11942     1.09636  0.00246902
          71     1.13878     1.09695  0.00250552
          72     1.07952     1.09671  0.00248239
          73     1.09892     1.09674  0.00244856
          74      1.1267     1.09715  0.00244872
          75     1.10416     1.09724  0.00241785
          76     1.08917     1.09713  0.00238837
          77     1.08383     1.09696  0.00236359
          78     1.07672      1.0967  0.00234749
          79     1.10842     1.09685  0.00232246
          80     1.09628     1.09684  0.00229344
          81     1.10224     1.09691   0.0022661
          82     1.12197     1.09722  0.00225897
          83     1.09256     1.09716  0.00223245
          84     1.11783     1.09741  0.00221939
          85     1.12655     1.09775   0.0022196
          86     1.07773     1.09752  0.00220597
          87     1.09894     1.09753  0.00218067
          88     1.09742     1.09753  0.00215589
          89     1.10261     1.09759  0.00213242
          90     1.08651     1.09747  0.00211228
          91     1.09186      1.0974  0.00208997
          92     1.09627     1.09739  0.00206729
          93     1.09996     1.09742  0.00204524
          94     1.08866     1.09733  0.00202561
          95     1.06123     1.09695   0.0020396
          96     1.10706     1.09705  0.00202107
          97     1.05661     1.09663  0.00204279
          98     1.10076     1.09668  0.00202238
          99     1.08547     1.09656  0.00200511
         100     1.07784     1.09638  0.00199379
