BLOCK,ACTUAL_TE,TE_AVE,ERROR
1,-5.11855,-5.11855,0
2,-5.11929,-5.11892,0.000260455
3,-5.11998,-5.11927,0.000336005
4,-5.11932,-5.11929,0.000252235
5,-5.1192,-5.11927,0.000202354
6,-5.11902,-5.11923,0.000172955
7,-5.1206,-5.11942,0.000234377
8,-5.11767,-5.1192,0.000290097
9,-5.11699,-5.11896,0.000346528
10,-5.11878,-5.11894,0.000312312
11,-5.12149,-5.11917,0.000359678
12,-5.11751,-5.11903,0.000355404
13,-5.11761,-5.11892,0.000344409
14,-5.117,-5.11879,0.000346215
15,-5.11928,-5.11882,0.000324698
16,-5.11558,-5.11862,0.000362012
17,-5.11659,-5.1185,0.00035987
18,-5.11825,-5.11848,0.000340145
19,-5.11725,-5.11842,0.000328407
20,-5.11483,-5.11824,0.000357644
21,-5.11653,-5.11816,0.000349739
22,-5.11672,-5.11809,0.000339864
23,-5.12082,-5.11821,0.000345203
24,-5.119,-5.11824,0.000332388
25,-5.11732,-5.11821,0.000321133
26,-5.11941,-5.11825,0.000312097
27,-5.11874,-5.11827,0.000301055
28,-5.11817,-5.11827,0.000290323
29,-5.12387,-5.11846,0.000338605
30,-5.11945,-5.11849,0.000328902
31,-5.11483,-5.11838,0.000338837
32,-5.1231,-5.11852,0.000358939
33,-5.12297,-5.11866,0.000372449
34,-5.12067,-5.11872,0.000366174
35,-5.12228,-5.11882,0.000369602
36,-5.12191,-5.11891,0.000369141
37,-5.11786,-5.11888,0.000360251
38,-5.11933,-5.11889,0.000350972
39,-5.11904,-5.11889,0.000341994
40,-5.12209,-5.11897,0.00034268
41,-5.12028,-5.119,0.000335794
42,-5.12053,-5.11904,0.00032975
43,-5.11941,-5.11905,0.000322193
44,-5.11731,-5.11901,0.000317284
45,-5.11797,-5.11899,0.000311066
46,-5.11869,-5.11898,0.000304372
47,-5.11684,-5.11893,0.000301298
48,-5.118,-5.11892,0.000295653
49,-5.11983,-5.11893,0.000290204
50,-5.1183,-5.11892,0.000284678
51,-5.12222,-5.11899,0.000286365
52,-5.12136,-5.11903,0.000284472
53,-5.12071,-5.11906,0.000280857
54,-5.11831,-5.11905,0.000275998
55,-5.12008,-5.11907,0.000271619
56,-5.12263,-5.11913,0.000274114
57,-5.12133,-5.11917,0.000272001
58,-5.11777,-5.11915,0.00026838
59,-5.11805,-5.11913,0.000264469
60,-5.11745,-5.1191,0.000261531
61,-5.11926,-5.1191,0.000257257
62,-5.12028,-5.11912,0.000253804
63,-5.11914,-5.11912,0.000249776
64,-5.11857,-5.11911,0.000246023
65,-5.11979,-5.11912,0.000242457
66,-5.1225,-5.11917,0.000244133
67,-5.11919,-5.11917,0.000240489
68,-5.11935,-5.11918,0.000236966
69,-5.11931,-5.11918,0.000233539
70,-5.11935,-5.11918,0.000230216
71,-5.12107,-5.11921,0.00022851
72,-5.11904,-5.11921,0.000225348
73,-5.11864,-5.1192,0.000222394
74,-5.12063,-5.11922,0.000220227
75,-5.11911,-5.11922,0.000217296
76,-5.11999,-5.11923,0.000214675
77,-5.11816,-5.11921,0.000212336
78,-5.11612,-5.11917,0.000213288
79,-5.11995,-5.11918,0.000210817
80,-5.11939,-5.11919,0.000208199
81,-5.11865,-5.11918,0.000205734
82,-5.11932,-5.11918,0.000203232
83,-5.12064,-5.1192,0.000201538
84,-5.11752,-5.11918,0.000200128
85,-5.11925,-5.11918,0.000197776
86,-5.12173,-5.11921,0.000197683
87,-5.11914,-5.11921,0.000195412
88,-5.1185,-5.1192,0.000193357
89,-5.11827,-5.11919,0.000191464
90,-5.11937,-5.11919,0.000189347
91,-5.12076,-5.11921,0.000188047
92,-5.121,-5.11923,0.000187008
93,-5.11964,-5.11923,0.000185049
94,-5.12315,-5.11927,0.000187704
95,-5.1209,-5.11929,0.000186507
96,-5.11968,-5.11929,0.000184608
97,-5.11875,-5.11929,0.00018279
98,-5.11823,-5.11928,0.000181245
99,-5.11857,-5.11927,0.000179555
100,-5.12001,-5.11928,0.00017791
101,-5.11941,-5.11928,0.000176153
102,-5.1212,-5.1193,0.000175429
103,-5.11993,-5.1193,0.000173832
104,-5.11973,-5.11931,0.000172208
105,-5.12275,-5.11934,0.00017366
106,-5.12049,-5.11935,0.000172356
107,-5.12221,-5.11938,0.000172805
108,-5.11984,-5.11938,0.000171258
109,-5.11997,-5.11939,0.000169771
110,-5.11987,-5.11939,0.000168284
