#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.38396    -3.38396           0
           2    -3.38511    -3.38453 0.000407853
           3    -3.38219    -3.38375 0.000693085
           4    -3.38379    -3.38376 0.000519884
           5    -3.38218    -3.38345 0.000503025
           6    -3.38271    -3.38332 0.000433874
           7    -3.38487    -3.38355 0.000424594
           8    -3.38185    -3.38333 0.000420876
           9    -3.37977    -3.38294 0.000528199
          10    -3.38307    -3.38295 0.000475531
          11    -3.38553    -3.38319  0.00048669
          12    -3.38331     -3.3832 0.000446243
          13    -3.38181    -3.38309 0.000424408
          14    -3.38422    -3.38317 0.000401699
          15    -3.38265    -3.38314 0.000376394
          16    -3.38476    -3.38324  0.00036634
          17    -3.38188    -3.38316  0.00035339
          18    -3.38545    -3.38329 0.000356051
          19    -3.38327    -3.38328 0.000337313
          20    -3.38419    -3.38333  0.00032344
          21    -3.38375    -3.38335 0.000308666
          22    -3.38233     -3.3833 0.000298073
          23    -3.38147    -3.38322 0.000295606
          24    -3.38176    -3.38316 0.000289511
          25    -3.38321    -3.38316 0.000277937
          26    -3.38309    -3.38316 0.000267263
          27    -3.38301    -3.38316 0.000257427
          28    -3.38319    -3.38316 0.000248236
          29    -3.38239    -3.38313 0.000241082
          30    -3.38282    -3.38312 0.000233264
          31    -3.38136    -3.38306 0.000232517
          32     -3.3823    -3.38304 0.000226481
          33    -3.38274    -3.38303 0.000219806
          34    -3.38283    -3.38302 0.000213424
          35    -3.38206      -3.383 0.000209097
          36    -3.38196    -3.38297 0.000205271
          37    -3.38343    -3.38298 0.000200109
          38     -3.3841    -3.38301 0.000197005
          39    -3.38261      -3.383 0.000192223
          40    -3.38351    -3.38301 0.000187838
          41    -3.38229    -3.38299 0.000184093
          42    -3.38328      -3.383 0.000179833
          43    -3.38206    -3.38298 0.000176986
          44    -3.38008    -3.38291 0.000184806
          45    -3.38231     -3.3829 0.000181181
          46    -3.38514    -3.38295  0.00018365
          47    -3.38219    -3.38293 0.000180453
          48    -3.38236    -3.38292 0.000177088
          49    -3.38156    -3.38289 0.000175629
          50    -3.38489    -3.38293 0.000176615
          51     -3.3863      -3.383  0.00018511
          52    -3.38449    -3.38303 0.000183747
          53    -3.38521    -3.38307 0.000184843
          54    -3.38227    -3.38305 0.000182015
          55    -3.38361    -3.38306 0.000178983
          56    -3.38208    -3.38305 0.000176652
          57    -3.38345    -3.38305 0.000173697
          58    -3.38468    -3.38308 0.000172953
          59    -3.38269    -3.38308 0.000170147
          60    -3.38384    -3.38309  0.00016779
          61    -3.38375     -3.3831 0.000165385
          62    -3.38495    -3.38313  0.00016538
          63    -3.38448    -3.38315 0.000164144
          64    -3.38356    -3.38316 0.000161702
          65    -3.38224    -3.38314 0.000159827
          66    -3.38309    -3.38314 0.000157407
          67    -3.38348    -3.38315 0.000155137
          68    -3.38442    -3.38317  0.00015399
          69    -3.38426    -3.38318 0.000152569
          70    -3.38391    -3.38319 0.000150742
          71    -3.38499    -3.38322 0.000150739
          72    -3.38395    -3.38323 0.000148989
          73    -3.38479    -3.38325 0.000148481
          74    -3.38384    -3.38326 0.000146686
          75    -3.38421    -3.38327 0.000145284
          76    -3.38478    -3.38329 0.000144727
          77      -3.379    -3.38323 0.000153198
          78    -3.38213    -3.38322 0.000151888
          79    -3.38214    -3.38321 0.000150583
          80    -3.38344    -3.38321 0.000148731
          81    -3.38267     -3.3832 0.000147043
          82    -3.38394    -3.38321 0.000145522
          83     -3.3843    -3.38322 0.000144364
          84      -3.383    -3.38322  0.00014267
          85    -3.38521    -3.38324 0.000142902
          86    -3.38428    -3.38326 0.000141743
          87    -3.38346    -3.38326 0.000140132
          88    -3.38415    -3.38327 0.000138905
          89    -3.38376    -3.38327 0.000137455
          90    -3.38289    -3.38327 0.000135996
          91    -3.38569     -3.3833 0.000137066
          92    -3.38376     -3.3833 0.000135669
          93    -3.38172    -3.38329 0.000135278
          94    -3.38351    -3.38329  0.00013386
          95    -3.38362    -3.38329 0.000132496
          96    -3.38321    -3.38329 0.000131118
          97    -3.38041    -3.38326 0.000133095
          98    -3.38161    -3.38324 0.000132802
          99    -3.38327    -3.38324 0.000131461
         100      -3.385    -3.38326  0.00013132
