BLOCK,ACTUAL_KE,KE_AVE,ERROR
1,1.20357,1.20357,0
2,1.20222,1.20289,0.000475861
3,1.20542,1.20373,0.000757283
4,1.19671,1.20198,0.00162421
5,1.2098,1.20354,0.00190975
6,1.19595,1.20228,0.00196672
7,1.20734,1.203,0.00181368
8,1.18925,1.20128,0.00225909
9,1.21001,1.20225,0.00220671
10,1.2028,1.20231,0.00198671
11,1.19349,1.2015,0.00196116
12,1.21209,1.20239,0.00198633
13,1.20529,1.20261,0.00184607
14,1.20478,1.20277,0.0017207
15,1.20439,1.20287,0.00160938
16,1.19907,1.20264,0.00152624
17,1.19855,1.2024,0.00145528
18,1.20559,1.20257,0.0013852
19,1.19888,1.20238,0.00132584
20,1.20363,1.20244,0.00126102
21,1.20796,1.2027,0.00122802
22,1.20301,1.20272,0.00117228
23,1.18902,1.20212,0.00126361
24,1.20548,1.20226,0.00121869
25,1.20743,1.20247,0.00118737
26,1.1976,1.20228,0.0011564
27,1.21154,1.20262,0.00116332
28,1.18449,1.20198,0.00128948
29,1.20646,1.20213,0.00125426
30,1.21076,1.20242,0.001245
31,1.20411,1.20247,0.00120603
32,1.19,1.20208,0.00122973
33,1.20707,1.20224,0.00120172
34,1.19598,1.20205,0.00118039
35,1.20555,1.20215,0.0011509
36,1.19807,1.20204,0.0011245
37,1.19546,1.20186,0.00110808
38,1.20207,1.20187,0.00107893
39,1.19867,1.20178,0.00105437
40,1.19597,1.20164,0.001038
41,1.18333,1.20119,0.00110461
42,1.21036,1.20141,0.00109965
43,1.21014,1.20161,0.00109267
44,1.19285,1.20141,0.00108582
45,1.20153,1.20142,0.0010617
46,1.19722,1.20133,0.00104252
47,1.20784,1.20146,0.00102952
48,1.19969,1.20143,0.00100874
49,1.20542,1.20151,0.000991439
50,1.19071,1.20129,0.000994838
51,1.2092,1.20145,0.000987348
52,1.20511,1.20152,0.000970875
53,1.20841,1.20165,0.000961224
54,1.19804,1.20158,0.000945744
55,1.2169,1.20186,0.000968698
56,1.19132,1.20167,0.000969523
57,1.19526,1.20156,0.000959011
58,1.20109,1.20155,0.000942511
59,1.20572,1.20162,0.000929185
60,1.19806,1.20156,0.000915588
61,1.21838,1.20184,0.000941187
62,1.20461,1.20188,0.000927065
63,1.2015,1.20188,0.00091237
64,1.2063,1.20195,0.000900723
65,1.20876,1.20205,0.000892948
66,1.19644,1.20197,0.000883454
67,1.20799,1.20206,0.000874836
68,1.18952,1.20187,0.000881184
69,1.21458,1.20206,0.000887458
70,1.20167,1.20205,0.000874798
71,1.20372,1.20207,0.000862794
72,1.20425,1.2021,0.000851339
73,1.20525,1.20215,0.000840765
74,1.20348,1.20216,0.000829595
75,1.18879,1.20199,0.000837475
76,1.21076,1.2021,0.000834379
77,1.20177,1.2021,0.000823554
78,1.20778,1.20217,0.000816213
79,1.19884,1.20213,0.000806971
80,1.19469,1.20204,0.000802227
81,1.20657,1.20209,0.000794276
82,1.21601,1.20226,0.000802527
83,1.18911,1.2021,0.000808354
84,1.2101,1.2022,0.000804313
85,1.1968,1.20213,0.000797357
86,1.22177,1.20236,0.000820137
87,1.1953,1.20228,0.000814723
88,1.19996,1.20226,0.000805891
89,1.21134,1.20236,0.000803274
90,1.20028,1.20233,0.00079468
91,1.21028,1.20242,0.000790727
92,1.19869,1.20238,0.000783174
93,1.20336,1.20239,0.000774823
94,1.19268,1.20229,0.000773439
95,1.19566,1.20222,0.000768434
96,1.20557,1.20225,0.000761221
97,1.20359,1.20227,0.000753499
98,1.19462,1.20219,0.000749839
99,1.22043,1.20237,0.000764575
100,1.1795,1.20214,0.000790403
