BLOCK,ACTUAL_PE,PE_AVE,ERROR
1,-7.51259,-7.51259,0
2,-7.50758,-7.51009,0.00177347
3,-7.54453,-7.52157,0.0094477
4,-7.5165,-7.5203,0.00717026
5,-7.52119,-7.52048,0.00573842
6,-7.51889,-7.52021,0.00478808
7,-7.52695,-7.52118,0.00419978
8,-7.52954,-7.52222,0.00380265
9,-7.51612,-7.52154,0.00344005
10,-7.52587,-7.52198,0.00312313
11,-7.51414,-7.52126,0.00291922
12,-7.53566,-7.52246,0.00291215
13,-7.5187,-7.52217,0.00270251
14,-7.51551,-7.5217,0.00255103
15,-7.52484,-7.52191,0.00238957
16,-7.52238,-7.52194,0.00224041
17,-7.52013,-7.52183,0.00211113
18,-7.52752,-7.52215,0.00201737
19,-7.52553,-7.52233,0.00191902
20,-7.52285,-7.52235,0.00182325
21,-7.51594,-7.52205,0.00176184
22,-7.52809,-7.52232,0.00170304
23,-7.53427,-7.52284,0.00170639
24,-7.51755,-7.52262,0.00164946
25,-7.52411,-7.52268,0.00158457
26,-7.52597,-7.52281,0.00152866
27,-7.52414,-7.52286,0.00147284
28,-7.52481,-7.52293,0.00142189
29,-7.52323,-7.52294,0.0013729
30,-7.53037,-7.52318,0.00134929
31,-7.52328,-7.52319,0.00130576
32,-7.51644,-7.52298,0.00128186
33,-7.51439,-7.52272,0.00126917
34,-7.53206,-7.52299,0.00126125
35,-7.52357,-7.52301,0.00122532
36,-7.52682,-7.52311,0.00119586
37,-7.51372,-7.52286,0.00119019
38,-7.52847,-7.52301,0.00116798
39,-7.51302,-7.52275,0.00116578
40,-7.53339,-7.52302,0.00116656
41,-7.52166,-7.52298,0.00113857
42,-7.52184,-7.52296,0.00111179
43,-7.52731,-7.52306,0.00109053
44,-7.52422,-7.52308,0.00106607
45,-7.52652,-7.52316,0.00104511
46,-7.51918,-7.52307,0.00102597
47,-7.52367,-7.52309,0.00100422
48,-7.52196,-7.52306,0.000983576
49,-7.53277,-7.52326,0.000983271
50,-7.51649,-7.52313,0.00097288
51,-7.53752,-7.52341,0.000993917
52,-7.52623,-7.52346,0.000976281
53,-7.52444,-7.52348,0.000958036
54,-7.51711,-7.52336,0.000947533
55,-7.53257,-7.52353,0.000944977
56,-7.53561,-7.52375,0.000952397
57,-7.51403,-7.52358,0.000950812
58,-7.51958,-7.52351,0.000936915
59,-7.5276,-7.52358,0.000923597
60,-7.51396,-7.52342,0.000922006
61,-7.52352,-7.52342,0.000906892
62,-7.53438,-7.52359,0.000909346
63,-7.52687,-7.52365,0.000896394
64,-7.52529,-7.52367,0.000882754
65,-7.51077,-7.52347,0.000891203
66,-7.53367,-7.52363,0.000890991
67,-7.52333,-7.52362,0.000877704
68,-7.5254,-7.52365,0.000865184
69,-7.52922,-7.52373,0.000856406
70,-7.52311,-7.52372,0.000844217
71,-7.53176,-7.52383,0.000839893
72,-7.52401,-7.52384,0.000828231
73,-7.51128,-7.52366,0.000834568
74,-7.53766,-7.52385,0.000844451
75,-7.51959,-7.5238,0.000835106
76,-7.51245,-7.52365,0.000837358
77,-7.52702,-7.52369,0.000827626
78,-7.53156,-7.52379,0.000823145
79,-7.52219,-7.52377,0.000812974
80,-7.52197,-7.52375,0.000803123
81,-7.52856,-7.52381,0.000795398
82,-7.514,-7.52369,0.000794644
83,-7.52996,-7.52376,0.000788654
84,-7.52687,-7.5238,0.000780129
85,-7.52552,-7.52382,0.000771214
86,-7.52829,-7.52387,0.000763992
87,-7.52767,-7.52392,0.000756454
88,-7.52234,-7.5239,0.000748072
89,-7.5231,-7.52389,0.000739721
90,-7.51972,-7.52384,0.000732953
91,-7.5159,-7.52376,0.000730081
92,-7.53675,-7.5239,0.000735683
93,-7.52615,-7.52392,0.000728173
94,-7.53231,-7.52401,0.000725876
95,-7.51395,-7.52391,0.000725922
96,-7.52666,-7.52393,0.000718926
97,-7.53069,-7.524,0.000714875
98,-7.52131,-7.52398,0.00070811
99,-7.52471,-7.52398,0.000700996
100,-7.52208,-7.52396,0.000694244
101,-7.5264,-7.52399,0.000687787
102,-7.53593,-7.52411,0.000690939
103,-7.52085,-7.52407,0.000684954
104,-7.5359,-7.52419,0.000687737
105,-7.51406,-7.52409,0.000687922
106,-7.52088,-7.52406,0.000682099
107,-7.53385,-7.52415,0.000681831
108,-7.52563,-7.52417,0.000675654
109,-7.51467,-7.52408,0.000675055
110,-7.53269,-7.52416,0.000673445
111,-7.51773,-7.5241,0.000669861
112,-7.51947,-7.52406,0.000665152
113,-7.50945,-7.52393,0.000671703
114,-7.52435,-7.52393,0.000665821
115,-7.53563,-7.52403,0.000667759
116,-7.51618,-7.52397,0.000665423
117,-7.53284,-7.52404,0.000664043
118,-7.51976,-7.52401,0.000659407
119,-7.52097,-7.52398,0.000654358
120,-7.53624,-7.52408,0.000656836
121,-7.52095,-7.52406,0.000651917
122,-7.52078,-7.52403,0.000647126
123,-7.53004,-7.52408,0.000643708
124,-7.52605,-7.5241,0.000638714
125,-7.52474,-7.5241,0.000633625
126,-7.52746,-7.52413,0.000629156
127,-7.52273,-7.52412,0.000624298
128,-7.52405,-7.52412,0.000619421
129,-7.52777,-7.52414,0.000615268
130,-7.53185,-7.5242,0.000613387
131,-7.51414,-7.52413,0.0006135
132,-7.52073,-7.5241,0.000609392
133,-7.51437,-7.52403,0.000609184
134,-7.53171,-7.52408,0.000607332
135,-7.52852,-7.52412,0.00060372
136,-7.51584,-7.52406,0.000602343
137,-7.52918,-7.52409,0.000599106
138,-7.51966,-7.52406,0.000595624
139,-7.53578,-7.52415,0.000597278
140,-7.51817,-7.5241,0.000594536
141,-7.52481,-7.52411,0.000590341
142,-7.53254,-7.52417,0.000589165
143,-7.52381,-7.52417,0.00058505
144,-7.51889,-7.52413,0.000582133
145,-7.52926,-7.52416,0.000579192
146,-7.51506,-7.5241,0.000578573
147,-7.52042,-7.52408,0.000575179
148,-7.5285,-7.52411,0.000572067
149,-7.52325,-7.5241,0.000568257
150,-7.52896,-7.52413,0.00056539
151,-7.51825,-7.52409,0.000562988
152,-7.52333,-7.52409,0.000559306
153,-7.52624,-7.5241,0.000555828
154,-7.51974,-7.52408,0.000552941
155,-7.53962,-7.52418,0.000558395
156,-7.51006,-7.52409,0.000562103
157,-7.52479,-7.52409,0.00055854
158,-7.52313,-7.52408,0.000555039
159,-7.51713,-7.52404,0.000553268
160,-7.52541,-7.52405,0.000549877
161,-7.5242,-7.52405,0.000546462
162,-7.51745,-7.52401,0.000544607
163,-7.52751,-7.52403,0.000541689
164,-7.52412,-7.52403,0.000538386
165,-7.52961,-7.52406,0.000536184
166,-7.52376,-7.52406,0.000532957
167,-7.52596,-7.52407,0.000529887
168,-7.54267,-7.52418,0.00053817
169,-7.51499,-7.52413,0.000537731
170,-7.53295,-7.52418,0.000537067
171,-7.52036,-7.52416,0.000534392
172,-7.5205,-7.52414,0.00053171
173,-7.52812,-7.52416,0.000529135
174,-7.53031,-7.5242,0.000527273
175,-7.5167,-7.52415,0.000525997
176,-7.52132,-7.52414,0.000523254
177,-7.53705,-7.52421,0.000525355
178,-7.51689,-7.52417,0.000524012
179,-7.5394,-7.52425,0.00052795
180,-7.52059,-7.52423,0.000525411
181,-7.5209,-7.52422,0.00052283
182,-7.53047,-7.52425,0.000521085
183,-7.52399,-7.52425,0.000518239
184,-7.51834,-7.52422,0.000516416
185,-7.53349,-7.52427,0.00051605
186,-7.52208,-7.52426,0.000513409
187,-7.53193,-7.5243,0.000512302
188,-7.52187,-7.52428,0.00050974
189,-7.52737,-7.5243,0.000507305
190,-7.51399,-7.52425,0.000507526
191,-7.51358,-7.52419,0.000507932
192,-7.53116,-7.52423,0.000506581
193,-7.52112,-7.52421,0.000504212
194,-7.53294,-7.52425,0.000503617
195,-7.52365,-7.52425,0.000501044
196,-7.5235,-7.52425,0.000498503
197,-7.52516,-7.52425,0.000495994
198,-7.52755,-7.52427,0.000493769
199,-7.51921,-7.52424,0.000491941
200,-7.53456,-7.5243,0.00049218
201,-7.52567,-7.5243,0.000489779
202,-7.52583,-7.52431,0.000487412
203,-7.51576,-7.52427,0.000486827
204,-7.53201,-7.52431,0.000485916
205,-7.5206,-7.52429,0.000483882
206,-7.52598,-7.5243,0.000481603
207,-7.52267,-7.52429,0.00047934
208,-7.51936,-7.52426,0.000477621
209,-7.52519,-7.52427,0.000475356
210,-7.52041,-7.52425,0.000473448
211,-7.52794,-7.52427,0.000471526
212,-7.51945,-7.52424,0.00046985
213,-7.52631,-7.52425,0.000467744
214,-7.5127,-7.5242,0.000468666
215,-7.52705,-7.52421,0.000466673
216,-7.53153,-7.52425,0.000465742
217,-7.52216,-7.52424,0.000463694
218,-7.525,-7.52424,0.00046158
219,-7.52474,-7.52424,0.000459478
220,-7.53168,-7.52428,0.000458631
221,-7.52999,-7.5243,0.000457283
222,-7.53439,-7.52435,0.000457474
223,-7.51961,-7.52433,0.000455917
224,-7.53769,-7.52439,0.000457766
225,-7.52667,-7.5244,0.000455844
226,-7.51824,-7.52437,0.000454642
227,-7.52795,-7.52439,0.000452912
228,-7.52129,-7.52437,0.00045113
229,-7.51647,-7.52434,0.000450478
230,-7.52297,-7.52433,0.000448559
231,-7.52292,-7.52433,0.000446659
232,-7.5202,-7.52431,0.000445087
233,-7.53754,-7.52436,0.000446785
234,-7.51687,-7.52433,0.000446023
235,-7.53734,-7.52439,0.000447548
236,-7.52418,-7.52439,0.000445652
237,-7.51286,-7.52434,0.000446421
238,-7.53152,-7.52437,0.000445564
239,-7.52289,-7.52436,0.000443743
240,-7.52357,-7.52436,0.000441907
241,-7.52169,-7.52435,0.000440211
242,-7.51366,-7.5243,0.000440602
243,-7.53402,-7.52434,0.0004406
244,-7.52363,-7.52434,0.000438804
245,-7.51597,-7.52431,0.000438343
246,-7.52293,-7.5243,0.000436596
247,-7.53904,-7.52436,0.000438887
248,-7.51654,-7.52433,0.00043825
249,-7.53438,-7.52437,0.000438345
250,-7.51396,-7.52433,0.000438566
251,-7.53715,-7.52438,0.000439783
252,-7.52052,-7.52436,0.000438304
253,-7.51551,-7.52433,0.000437967
254,-7.52506,-7.52433,0.000436253
255,-7.51091,-7.52428,0.000437704
256,-7.53347,-7.52432,0.000437465
257,-7.52321,-7.52431,0.000435784
258,-7.52409,-7.52431,0.000434095
259,-7.5371,-7.52436,0.000435219
260,-7.50904,-7.5243,0.000437517
261,-7.51448,-7.52426,0.000437457
262,-7.53167,-7.52429,0.0004367
263,-7.52372,-7.52429,0.000435045
264,-7.50739,-7.52423,0.000438082
265,-7.52712,-7.52424,0.000436566
266,-7.53547,-7.52428,0.000436962
267,-7.51648,-7.52425,0.000436301
268,-7.52734,-7.52426,0.000434825
269,-7.52696,-7.52427,0.000433325
270,-7.51429,-7.52423,0.000433293
271,-7.53905,-7.52429,0.00043513
272,-7.52014,-7.52427,0.000433797
273,-7.53431,-7.52431,0.000433763
274,-7.51454,-7.52427,0.000433644
275,-7.52558,-7.52428,0.000432093
276,-7.51372,-7.52424,0.000432217
277,-7.53767,-7.52429,0.000433366
278,-7.53121,-7.52431,0.000432522
279,-7.51804,-7.52429,0.000431557
280,-7.52521,-7.52429,0.000430028
281,-7.51163,-7.52425,0.000430854
282,-7.51954,-7.52423,0.000429649
283,-7.52425,-7.52423,0.000428131
284,-7.52974,-7.52425,0.000427063
285,-7.50797,-7.5242,0.000429371
286,-7.52947,-7.52421,0.000428265
287,-7.52179,-7.52421,0.000426856
288,-7.52456,-7.52421,0.000425376
289,-7.52479,-7.52421,0.000423909
290,-7.52479,-7.52421,0.000422452
291,-7.52441,-7.52421,0.000421001
292,-7.52668,-7.52422,0.000419644
293,-7.52181,-7.52421,0.000418292
