BLOCK,ACTUAL_P,P_AVE,ERROR
1,-7.691373e-01,-7.691373e-01,0.000000e+00
2,-7.710421e-01,-7.700897e-01,6.734433e-04
3,-7.469276e-01,-7.623690e-01,6.319895e-03
4,-7.656375e-01,-7.631862e-01,4.792455e-03
5,-7.626445e-01,-7.630778e-01,3.835188e-03
6,-7.625157e-01,-7.629842e-01,3.197134e-03
7,-7.587442e-01,-7.623784e-01,2.797189e-03
8,-7.559399e-01,-7.615736e-01,2.560708e-03
9,-7.665208e-01,-7.621233e-01,2.334438e-03
10,-7.592553e-01,-7.618365e-01,2.118539e-03
11,-7.657209e-01,-7.621896e-01,1.955153e-03
12,-7.536423e-01,-7.614774e-01,1.917582e-03
13,-7.642353e-01,-7.616895e-01,1.781773e-03
14,-7.661174e-01,-7.620058e-01,1.682340e-03
15,-7.601878e-01,-7.618846e-01,1.574544e-03
16,-7.621524e-01,-7.619013e-01,1.476224e-03
17,-7.629327e-01,-7.619620e-01,1.390633e-03
18,-7.584881e-01,-7.617690e-01,1.326700e-03
19,-7.593186e-01,-7.616400e-01,1.263127e-03
20,-7.609588e-01,-7.616060e-01,1.200430e-03
21,-7.650719e-01,-7.617710e-01,1.154557e-03
22,-7.584466e-01,-7.616199e-01,1.111922e-03
23,-7.536178e-01,-7.612720e-01,1.116683e-03
24,-7.653508e-01,-7.614419e-01,1.083010e-03
25,-7.608226e-01,-7.614172e-01,1.039973e-03
26,-7.588373e-01,-7.613179e-01,1.004696e-03
27,-7.615268e-01,-7.613257e-01,9.675149e-04
28,-7.600373e-01,-7.612797e-01,9.340543e-04
29,-7.614413e-01,-7.612852e-01,9.018622e-04
30,-7.561457e-01,-7.611139e-01,8.879230e-04
31,-7.607941e-01,-7.611036e-01,8.593402e-04
32,-7.652765e-01,-7.612340e-01,8.423220e-04
33,-7.672509e-01,-7.614163e-01,8.362980e-04
34,-7.543767e-01,-7.612093e-01,8.369389e-04
35,-7.609236e-01,-7.612011e-01,8.130661e-04
36,-7.591284e-01,-7.611436e-01,7.925169e-04
37,-7.671389e-01,-7.613056e-01,7.874881e-04
38,-7.579549e-01,-7.612174e-01,7.716856e-04
39,-7.676660e-01,-7.613828e-01,7.694094e-04
40,-7.544714e-01,-7.612100e-01,7.693306e-04
41,-7.626869e-01,-7.612460e-01,7.514093e-04
42,-7.616124e-01,-7.612547e-01,7.335692e-04
43,-7.576740e-01,-7.611714e-01,7.212204e-04
44,-7.600817e-01,-7.611467e-01,7.052541e-04
45,-7.590971e-01,-7.611011e-01,6.910510e-04
46,-7.623730e-01,-7.611288e-01,6.765811e-04
47,-7.600975e-01,-7.611068e-01,6.625414e-04
48,-7.619813e-01,-7.611251e-01,6.489889e-04
49,-7.539403e-01,-7.609784e-01,6.520977e-04
50,-7.657616e-01,-7.610741e-01,6.460345e-04
51,-7.523637e-01,-7.609033e-01,6.555547e-04
52,-7.600124e-01,-7.608862e-01,6.431717e-04
53,-7.597037e-01,-7.608639e-01,6.314232e-04
54,-7.658511e-01,-7.609562e-01,6.264481e-04
55,-7.555406e-01,-7.608577e-01,6.227486e-04
56,-7.524417e-01,-7.607075e-01,6.295010e-04
57,-7.676512e-01,-7.608293e-01,6.301341e-04
58,-7.641530e-01,-7.608866e-01,6.218700e-04
59,-7.567128e-01,-7.608158e-01,6.153405e-04
60,-7.676880e-01,-7.609304e-01,6.156521e-04
61,-7.603646e-01,-7.609211e-01,6.056293e-04
62,-7.535277e-01,-7.608019e-01,6.074878e-04
63,-7.579781e-01,-7.607570e-01,5.994963e-04
64,-7.595708e-01,-7.607385e-01,5.904156e-04
65,-7.673165e-01,-7.608397e-01,5.899415e-04
66,-7.542654e-01,-7.607401e-01,5.893526e-04
67,-7.611544e-01,-7.607463e-01,5.805887e-04
68,-7.583601e-01,-7.607112e-01,5.731101e-04
69,-7.574346e-01,-7.606637e-01,5.667680e-04
70,-7.615669e-01,-7.606766e-01,5.588182e-04
71,-7.549515e-01,-7.605960e-01,5.567348e-04
72,-7.599710e-01,-7.605873e-01,5.490700e-04
73,-7.684008e-01,-7.606943e-01,5.518825e-04
74,-7.517463e-01,-7.605734e-01,5.575142e-04
75,-7.637451e-01,-7.606157e-01,5.516823e-04
76,-7.689282e-01,-7.607251e-01,5.551598e-04
77,-7.591802e-01,-7.607050e-01,5.483123e-04
78,-7.555913e-01,-7.606394e-01,5.451880e-04
79,-7.610170e-01,-7.606442e-01,5.383079e-04
80,-7.613504e-01,-7.606530e-01,5.316514e-04
81,-7.579174e-01,-7.606193e-01,5.261595e-04
82,-7.669641e-01,-7.606966e-01,5.254014e-04
83,-7.567851e-01,-7.606495e-01,5.211805e-04
84,-7.590598e-01,-7.606306e-01,5.153195e-04
85,-7.594614e-01,-7.606168e-01,5.094405e-04
86,-7.577645e-01,-7.605837e-01,5.045953e-04
87,-7.582672e-01,-7.605570e-01,4.994973e-04
88,-7.621067e-01,-7.605747e-01,4.941315e-04
89,-7.621360e-01,-7.605922e-01,4.888908e-04
90,-7.636176e-01,-7.606258e-01,4.846130e-04
91,-7.662556e-01,-7.606877e-01,4.832203e-04
92,-7.519025e-01,-7.605922e-01,4.873117e-04
93,-7.593218e-01,-7.605785e-01,4.822632e-04
94,-7.545039e-01,-7.605139e-01,4.814431e-04
95,-7.671896e-01,-7.605842e-01,4.814763e-04
96,-7.591142e-01,-7.605689e-01,4.767043e-04
97,-7.564909e-01,-7.605268e-01,4.736400e-04
98,-7.619350e-01,-7.605412e-01,4.690249e-04
