BLOCK,ACTUAL_T,T_AVE,ERROR
1,7.910570e-01,7.910570e-01,0.000000e+00
2,7.889757e-01,7.900164e-01,7.358499e-04
3,8.127559e-01,7.975962e-01,6.208343e-03
4,7.942699e-01,7.967646e-01,4.711620e-03
5,7.973569e-01,7.968831e-01,3.770785e-03
6,7.971702e-01,7.969310e-01,3.142624e-03
7,8.012875e-01,7.975533e-01,2.754616e-03
8,8.038614e-01,7.983418e-01,2.520620e-03
9,7.934298e-01,7.977960e-01,2.298880e-03
10,8.007056e-01,7.980870e-01,2.087323e-03
11,7.943817e-01,7.977502e-01,1.924555e-03
12,8.062965e-01,7.984623e-01,1.891367e-03
13,7.959058e-01,7.982657e-01,1.756072e-03
14,7.941638e-01,7.979727e-01,1.654899e-03
15,7.996808e-01,7.980866e-01,1.548485e-03
16,7.979211e-01,7.980762e-01,1.451740e-03
17,7.971967e-01,7.980245e-01,1.367265e-03
18,8.014026e-01,7.982122e-01,1.304122e-03
19,8.006017e-01,7.983379e-01,1.241533e-03
20,7.988358e-01,7.983628e-01,1.179706e-03
21,7.947961e-01,7.981930e-01,1.135690e-03
22,8.014413e-01,7.983406e-01,1.093623e-03
23,8.062601e-01,7.986850e-01,1.098944e-03
24,7.949791e-01,7.985305e-01,1.063947e-03
25,7.992326e-01,7.985586e-01,1.021760e-03
26,8.011626e-01,7.986588e-01,9.873577e-04
27,7.986027e-01,7.986567e-01,9.507910e-04
28,8.000533e-01,7.987066e-01,9.181416e-04
29,7.984375e-01,7.986973e-01,8.865284e-04
30,8.036167e-01,7.988613e-01,8.720111e-04
31,7.991138e-01,7.988694e-01,8.439197e-04
32,7.947029e-01,7.987392e-01,8.275307e-04
33,7.926990e-01,7.985562e-01,8.224476e-04
34,8.053306e-01,7.987554e-01,8.220388e-04
35,7.990801e-01,7.987647e-01,7.986043e-04
36,8.007875e-01,7.988209e-01,7.783951e-04
37,7.929960e-01,7.986635e-01,7.731133e-04
38,8.020804e-01,7.987534e-01,7.579794e-04
39,7.924653e-01,7.985922e-01,7.554979e-04
40,8.053039e-01,7.987599e-01,7.550140e-04
41,7.971967e-01,7.987218e-01,7.375611e-04
42,7.985394e-01,7.987175e-01,7.200129e-04
43,8.022400e-01,7.987994e-01,7.079134e-04
44,7.998237e-01,7.988227e-01,6.922071e-04
45,8.010055e-01,7.988712e-01,6.785222e-04
46,7.976950e-01,7.988456e-01,6.642533e-04
47,7.998933e-01,7.988679e-01,6.504941e-04
48,7.981554e-01,7.988531e-01,6.371115e-04
49,8.057818e-01,7.989945e-01,6.396085e-04
50,7.942597e-01,7.988998e-01,6.337875e-04
51,8.074641e-01,7.990677e-01,6.432227e-04
52,8.001183e-01,7.990879e-01,6.311703e-04
53,8.002678e-01,7.991102e-01,6.196539e-04
54,7.943022e-01,7.990211e-01,6.145424e-04
55,8.043319e-01,7.991177e-01,6.109076e-04
56,8.072300e-01,7.992625e-01,6.169350e-04
57,7.924232e-01,7.991426e-01,6.176699e-04
58,7.959498e-01,7.990875e-01,6.094684e-04
59,8.030547e-01,7.991548e-01,6.028362e-04
60,7.923878e-01,7.990420e-01,6.032467e-04
61,7.995608e-01,7.990505e-01,5.934173e-04
62,8.061054e-01,7.991643e-01,5.946555e-04
63,8.017781e-01,7.992058e-01,5.866622e-04
64,8.002593e-01,7.992222e-01,5.777265e-04
65,7.926003e-01,7.991203e-01,5.777508e-04
66,8.053842e-01,7.992152e-01,5.767395e-04
67,7.988197e-01,7.992093e-01,5.681616e-04
68,8.015966e-01,7.992444e-01,5.608899e-04
69,8.023807e-01,7.992899e-01,5.545997e-04
70,7.983477e-01,7.992764e-01,5.468402e-04
71,8.047978e-01,7.993542e-01,5.446396e-04
72,7.999511e-01,7.993625e-01,5.371383e-04
73,7.919261e-01,7.992606e-01,5.393535e-04
74,8.081665e-01,7.993810e-01,5.453268e-04
75,7.963184e-01,7.993401e-01,5.395825e-04
76,7.913416e-01,7.992349e-01,5.426494e-04
77,8.007970e-01,7.992552e-01,5.359811e-04
78,8.043827e-01,7.993209e-01,5.331255e-04
79,7.989416e-01,7.993161e-01,5.263987e-04
80,7.986714e-01,7.993081e-01,5.198804e-04
81,8.021280e-01,7.993429e-01,5.146264e-04
82,7.931904e-01,7.992678e-01,5.137910e-04
83,8.032677e-01,7.993160e-01,5.098557e-04
84,8.009455e-01,7.993354e-01,5.041549e-04
85,8.003928e-01,7.993479e-01,4.983771e-04
86,8.019822e-01,7.993785e-01,4.935225e-04
87,8.016838e-01,7.994050e-01,4.885607e-04
88,7.978543e-01,7.993874e-01,4.833265e-04
89,7.979930e-01,7.993717e-01,4.781498e-04
90,7.965714e-01,7.993406e-01,4.738483e-04
91,7.941744e-01,7.992838e-01,4.720298e-04
