BLOCK,ACTUAL_TE,TE_AVE,ERROR
1,-6.326008e+00,-6.326008e+00,0.000000e+00
2,-6.324114e+00,-6.325061e+00,6.696902e-04
3,-6.325392e+00,-6.325172e+00,4.554474e-04
4,-6.325092e+00,-6.325152e+00,3.420182e-04
5,-6.325155e+00,-6.325152e+00,2.736152e-04
6,-6.323138e+00,-6.324817e+00,3.819913e-04
7,-6.325022e+00,-6.324846e+00,3.285486e-04
8,-6.323746e+00,-6.324708e+00,3.149612e-04
9,-6.325974e+00,-6.324849e+00,3.097842e-04
10,-6.324811e+00,-6.324845e+00,2.788293e-04
11,-6.322572e+00,-6.324639e+00,3.210549e-04
12,-6.326218e+00,-6.324770e+00,3.201585e-04
13,-6.324839e+00,-6.324776e+00,2.955750e-04
14,-6.324265e+00,-6.324739e+00,2.766993e-04
15,-6.325323e+00,-6.324778e+00,2.609789e-04
16,-6.325500e+00,-6.324823e+00,2.485422e-04
17,-6.324337e+00,-6.324795e+00,2.355612e-04
18,-6.325417e+00,-6.324829e+00,2.249982e-04
19,-6.324625e+00,-6.324818e+00,2.134135e-04
20,-6.324595e+00,-6.324807e+00,2.030361e-04
21,-6.323741e+00,-6.324756e+00,1.996134e-04
22,-6.325928e+00,-6.324810e+00,1.975173e-04
23,-6.324879e+00,-6.324813e+00,1.889522e-04
24,-6.325082e+00,-6.324824e+00,1.814116e-04
25,-6.325266e+00,-6.324842e+00,1.750147e-04
26,-6.324222e+00,-6.324818e+00,1.698986e-04
27,-6.326240e+00,-6.324870e+00,1.715723e-04
28,-6.324728e+00,-6.324865e+00,1.655201e-04
29,-6.325571e+00,-6.324890e+00,1.615892e-04
30,-6.324940e+00,-6.324891e+00,1.562117e-04
31,-6.324609e+00,-6.324882e+00,1.514388e-04
32,-6.324386e+00,-6.324867e+00,1.474979e-04
33,-6.325338e+00,-6.324881e+00,1.437189e-04
34,-6.324064e+00,-6.324857e+00,1.414847e-04
35,-6.324952e+00,-6.324860e+00,1.374682e-04
36,-6.325643e+00,-6.324881e+00,1.353607e-04
37,-6.324224e+00,-6.324864e+00,1.328622e-04
38,-6.325344e+00,-6.324876e+00,1.299666e-04
39,-6.324320e+00,-6.324862e+00,1.274153e-04
40,-6.325430e+00,-6.324876e+00,1.250174e-04
41,-6.325863e+00,-6.324900e+00,1.242638e-04
42,-6.324032e+00,-6.324880e+00,1.230136e-04
43,-6.323950e+00,-6.324858e+00,1.220397e-04
44,-6.324488e+00,-6.324850e+00,1.195555e-04
45,-6.325011e+00,-6.324853e+00,1.169525e-04
46,-6.322633e+00,-6.324805e+00,1.239665e-04
47,-6.323834e+00,-6.324784e+00,1.230386e-04
48,-6.324730e+00,-6.324783e+00,1.204805e-04
49,-6.324102e+00,-6.324769e+00,1.188207e-04
50,-6.325103e+00,-6.324776e+00,1.166311e-04
51,-6.326327e+00,-6.324806e+00,1.182405e-04
52,-6.326050e+00,-6.324830e+00,1.183624e-04
53,-6.324040e+00,-6.324815e+00,1.170637e-04
54,-6.325656e+00,-6.324831e+00,1.159252e-04
