#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.795015    0.795015           0
           2    0.807411    0.801213  0.00438269
           3     0.79648    0.799636  0.00319321
           4    0.798328    0.799309  0.00241157
           5    0.802521    0.799951  0.00201299
           6    0.788226    0.797997  0.00244871
           7    0.799655    0.798234  0.00211033
           8    0.803997    0.798954  0.00196567
           9    0.795139     0.79853  0.00179239
          10    0.798221      0.7985  0.00161342
          11    0.798072    0.798461  0.00146721
          12    0.800326    0.798616  0.00135315
          13    0.802831     0.79894  0.00128732
          14    0.794626    0.798632   0.0012317
          15    0.804002     0.79899  0.00120048
          16    0.789527    0.798399  0.00126277
          17    0.804385    0.798751   0.0012366
          18    0.798741     0.79875   0.0011679
          19    0.804687    0.799063  0.00114748
          20    0.798294    0.799024  0.00109075
          21    0.800329    0.799086  0.00104057
          22    0.794807    0.798892  0.00101129
          23    0.794687    0.798709 0.000983707
          24    0.798592    0.798704 0.000942732
          25    0.792387    0.798452 0.000938271
          26    0.802255    0.798598 0.000913514
          27    0.795148     0.79847 0.000888573
          28    0.802102      0.7986 0.000866255
          29    0.798625    0.798601 0.000836384
          30    0.800954    0.798679 0.000812174
          31    0.796263    0.798601 0.000789706
          32    0.795215    0.798495 0.000772085
          33     0.79969    0.798531 0.000749536
          34     0.80013    0.798578 0.000728963
          35    0.798365    0.798572 0.000708161
          36    0.797443    0.798541 0.000689185
          37    0.802279    0.798642 0.000677921
          38    0.800701    0.798696 0.000662243
          39    0.795077    0.798603 0.000651734
          40    0.801406    0.798673 0.000639194
          41    0.797978    0.798656 0.000623829
          42    0.805258    0.798814 0.000628466
          43    0.798835    0.798814 0.000613851
          44    0.793863    0.798702 0.000610125
          45    0.800256    0.798736 0.000597544
          46    0.798472     0.79873 0.000584581
          47    0.801826    0.798796 0.000575842
          48    0.792742     0.79867 0.000577492
          49    0.794993    0.798595  0.00057056
          50    0.802213    0.798667 0.000563718
          51    0.803466    0.798762 0.000560463
          52    0.800572    0.798796 0.000550765
          53    0.798278    0.798787  0.00054046
          54    0.797269    0.798759 0.000531182
          55    0.804181    0.798857 0.000530594
          56    0.801751    0.798909  0.00052363
          57    0.799001     0.79891 0.000514446
          58    0.795645    0.798854 0.000508647
          59    0.802535    0.798916 0.000503838
          60    0.793664    0.798829 0.000502987
          61    0.803591    0.798907 0.000500763
          62    0.799094     0.79891 0.000492695
          63    0.799818    0.798924 0.000485085
          64    0.787167    0.798741 0.000511113
          65    0.800078    0.798761 0.000503664
          66    0.800878    0.798793 0.000497052
          67    0.796446    0.798758 0.000490867
          68    0.798787    0.798759 0.000483648
          69    0.799845    0.798775 0.000476895
          70     0.79205    0.798678 0.000479659
          71    0.801194    0.798714  0.00047421
          72     0.79477    0.798659 0.000470776
          73    0.805537    0.798753 0.000473661
          74    0.795675    0.798712 0.000469084
          75    0.800239    0.798732 0.000463271
          76    0.801361    0.798767 0.000458464
          77    0.806424    0.798866 0.000463169
          78    0.794836    0.798814 0.000460104
          79    0.804574    0.798887 0.000460021
          80    0.801381    0.798919 0.000455325
          81    0.795913    0.798881 0.000451213
          82    0.804103    0.798945 0.000450181
          83     0.79865    0.798942 0.000444772
          84    0.793712    0.798879 0.000443813
          85     0.79972    0.798889 0.000438702
          86    0.805293    0.798964 0.000439874
          87    0.790244    0.798863  0.00044609
          88     0.79728    0.798845 0.000441384
          89    0.794057    0.798792 0.000439691
          90    0.801493    0.798822 0.000435829
          91    0.799041    0.798824 0.000431046
          92    0.793642    0.798768 0.000430025
          93    0.798952     0.79877 0.000425406
          94    0.801106    0.798795 0.000421606
          95    0.799884    0.798806 0.000417324
          96    0.797048    0.798788 0.000413379
          97    0.792509    0.798723 0.000414154
          98    0.799189    0.798728 0.000409955
          99    0.801062    0.798751 0.000406492
         100    0.797806    0.798742 0.000402537
