BLOCK,ACTUAL_KE,KE_AVE,ERROR
1,1.19403,1.19403,0
2,1.2014,1.19771,0.00260589
3,1.19237,1.19593,0.00226582
4,1.20283,1.19765,0.00226266
5,1.20304,1.19873,0.00205017
6,1.1991,1.19879,0.0017094
7,1.19659,1.19848,0.00149393
8,1.20286,1.19903,0.00140409
9,1.20108,1.19925,0.00126644
10,1.19194,1.19852,0.00133441
11,1.19542,1.19824,0.00124252
12,1.19137,1.19767,0.00126387
13,1.19732,1.19764,0.00116693
14,1.20312,1.19803,0.00114722
15,1.19783,1.19802,0.00107082
16,1.19348,1.19774,0.00104072
17,1.20214,1.19799,0.00101127
18,1.20639,1.19846,0.00105725
19,1.20657,1.19889,0.00108425
20,1.18735,1.19831,0.00117358
21,1.19945,1.19836,0.00111895
22,1.19572,1.19824,0.00107455
23,1.19003,1.19789,0.00108557
24,1.20135,1.19803,0.00104986
25,1.20294,1.19823,0.00102608
26,1.18414,1.19769,0.00112063
27,1.19881,1.19773,0.0010799
28,1.2125,1.19825,0.00116313
29,1.20122,1.19836,0.0011275
30,1.19309,1.19818,0.00110351
31,1.20399,1.19837,0.00108371
32,1.19432,1.19824,0.0010572
33,1.19391,1.19811,0.0010333
34,1.19484,1.19801,0.00100738
35,1.2099,1.19835,0.00103422
36,1.20682,1.19859,0.00103191
37,1.19175,1.1984,0.00102042
38,1.20539,1.19859,0.00100999
39,1.19901,1.1986,0.000984147
40,1.20762,1.19882,0.000985046
41,1.19885,1.19883,0.00096102
42,1.19185,1.19866,0.000952393
43,1.19785,1.19864,0.00093043
44,1.19779,1.19862,0.000909483
45,1.18681,1.19836,0.00092635
46,1.21735,1.19877,0.000993946
47,1.19964,1.19879,0.000972968
48,1.19893,1.19879,0.000952702
49,1.20267,1.19887,0.000936539
50,1.18818,1.19866,0.000941892
51,1.20649,1.19881,0.000935845
52,1.19475,1.19873,0.000921102
53,1.20361,1.19883,0.000908309
54,1.19703,1.19879,0.0008921
55,1.19007,1.19863,0.000889872
56,1.1873,1.19843,0.000896703
57,1.19847,1.19843,0.000880971
58,1.21226,1.19867,0.000897476
59,1.20419,1.19876,0.000887134
60,1.18957,1.19861,0.000885473
61,1.20176,1.19866,0.000872459
62,1.20465,1.19876,0.000863706
63,1.20056,1.19879,0.000850468
64,1.20389,1.19887,0.000840911
65,1.18756,1.19869,0.000845778
66,1.19872,1.19869,0.000832964
67,1.19825,1.19869,0.000820558
68,1.2044,1.19877,0.000812777
69,1.20666,1.19889,0.000808997
70,1.1878,1.19873,0.000812783
71,1.20478,1.19881,0.000805793
72,1.19437,1.19875,0.000796961
73,1.1983,1.19874,0.000786068
74,1.21344,1.19894,0.000800137
75,1.19384,1.19887,0.00079236
76,1.20346,1.19894,0.000784228
77,1.19076,1.19883,0.000781192
78,1.21301,1.19901,0.000792041
79,1.19032,1.1989,0.000789613
80,1.20303,1.19895,0.00078143
81,1.19918,1.19896,0.000771788
82,1.20567,1.19904,0.000766711
83,1.19744,1.19902,0.000757715
84,1.19839,1.19901,0.000748732
85,1.18769,1.19888,0.000751669
86,1.20187,1.19891,0.000743731
87,1.18806,1.19879,0.000745575
88,1.2209,1.19904,0.000778279
89,1.18944,1.19893,0.000776967
90,1.20128,1.19896,0.000768773
91,1.20113,1.19898,0.000760697
92,1.19752,1.19896,0.000752595
93,1.20989,1.19908,0.000753615
94,1.20302,1.19912,0.000746762
95,1.20409,1.19918,0.000740729
96,1.19864,1.19917,0.000733034
97,1.19248,1.1991,0.000728717
98,1.19808,1.19909,0.000721355
99,1.20391,1.19914,0.000715708
100,1.20666,1.19922,0.000712488
