BLOCK,ACTUAL_PE,PE_AVE,ERROR
1,-7.51836,-7.51836,0
2,-7.52672,-7.52254,0.00295416
3,-7.51706,-7.52071,0.00246964
4,-7.52897,-7.52278,0.0025737
5,-7.5277,-7.52376,0.00223941
6,-7.52451,-7.52389,0.00186965
7,-7.52093,-7.52346,0.00164967
8,-7.52892,-7.52415,0.00157824
9,-7.52689,-7.52445,0.00143202
10,-7.51706,-7.52371,0.00146728
11,-7.52007,-7.52338,0.0013708
12,-7.51555,-7.52273,0.00140343
13,-7.52131,-7.52262,0.00129972
14,-7.52798,-7.523,0.00126197
15,-7.52249,-7.52297,0.0011783
16,-7.51931,-7.52274,0.00112659
17,-7.52604,-7.52293,0.00107693
18,-7.53115,-7.52339,0.00110966
19,-7.53063,-7.52377,0.00111471
20,-7.51171,-7.52317,0.00121118
21,-7.52478,-7.52324,0.00115594
22,-7.51963,-7.52308,0.00111504
23,-7.51328,-7.52265,0.00114509
24,-7.52543,-7.52277,0.00110321
25,-7.52736,-7.52295,0.00107426
26,-7.50673,-7.52233,0.00120061
27,-7.52366,-7.52238,0.00115715
28,-7.53736,-7.52291,0.00123326
29,-7.52548,-7.523,0.00119391
30,-7.51796,-7.52283,0.00116588
31,-7.52858,-7.52302,0.00114292
32,-7.51873,-7.52289,0.00111504
33,-7.51933,-7.52278,0.00108645
34,-7.51984,-7.52269,0.00105793
35,-7.53439,-7.52303,0.00107925
36,-7.5316,-7.52326,0.00107523
37,-7.51636,-7.52308,0.00106221
38,-7.52888,-7.52323,0.00104519
39,-7.52359,-7.52324,0.00101843
40,-7.53303,-7.52348,0.00102197
41,-7.52496,-7.52352,0.000997673
42,-7.5153,-7.52332,0.000992923
43,-7.52388,-7.52334,0.000969916
44,-7.52164,-7.5233,0.000948637
45,-7.51082,-7.52302,0.000967235
46,-7.54144,-7.52342,0.00102574
47,-7.52402,-7.52343,0.00100399
48,-7.52286,-7.52342,0.00098315
49,-7.5286,-7.52353,0.000968738
50,-7.51169,-7.52329,0.000977849
51,-7.53118,-7.52345,0.000970825
52,-7.51923,-7.52337,0.000955529
53,-7.52967,-7.52348,0.000944878
54,-7.5215,-7.52345,0.000928093
55,-7.51389,-7.52327,0.00092734
56,-7.51175,-7.52307,0.000933352
57,-7.52315,-7.52307,0.000916978
58,-7.53812,-7.52333,0.000937148
59,-7.529,-7.52342,0.000926179
60,-7.51311,-7.52325,0.000926565
61,-7.52725,-7.52332,0.000913684
62,-7.53023,-7.52343,0.000905729
63,-7.52505,-7.52346,0.000891715
64,-7.52944,-7.52355,0.00088267
65,-7.51117,-7.52336,0.000889406
66,-7.5215,-7.52333,0.000876375
67,-7.52424,-7.52334,0.000863401
68,-7.52933,-7.52343,0.000855185
69,-7.53149,-7.52355,0.000850726
70,-7.51316,-7.5234,0.000851409
71,-7.52734,-7.52346,0.000841227
72,-7.51902,-7.52339,0.000831794
73,-7.52184,-7.52337,0.000820672
74,-7.53877,-7.52358,0.000835551
75,-7.51957,-7.52353,0.000826122
76,-7.52829,-7.52359,0.000817623
77,-7.51517,-7.52348,0.000814286
78,-7.53701,-7.52365,0.000822103
79,-7.5161,-7.52356,0.000817246
80,-7.52697,-7.5236,0.000808143
81,-7.52467,-7.52361,0.000798275
82,-7.52958,-7.52369,0.000791852
83,-7.5213,-7.52366,0.000782832
84,-7.52322,-7.52365,0.00077353
85,-7.51164,-7.52351,0.000777243
86,-7.52603,-7.52354,0.000768757
87,-7.51293,-7.52342,0.000769538
88,-7.54462,-7.52366,0.000797603
89,-7.51394,-7.52355,0.000796091
90,-7.52482,-7.52357,0.00078737
91,-7.52528,-7.52358,0.000778943
92,-7.5214,-7.52356,0.000770838
93,-7.53391,-7.52367,0.000770543
94,-7.52693,-7.52371,0.000763124
95,-7.52963,-7.52377,0.000757633
96,-7.52226,-7.52375,0.000749903
97,-7.5166,-7.52368,0.000745789
98,-7.52281,-7.52367,0.000738232
99,-7.52803,-7.52371,0.000732087
100,-7.53101,-7.52379,0.000728393
