#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.66032    -6.66032           0
           2     -6.6516    -6.65596  0.00308248
           3    -6.66258    -6.65816  0.00273285
           4    -6.67143    -6.66148   0.0035277
           5    -6.65327    -6.65984    0.003181
           6    -6.66918     -6.6614  0.00300792
           7    -6.66169    -6.66144  0.00257851
           8    -6.67432    -6.66305  0.00271294
           9    -6.66022    -6.66273  0.00242968
          10    -6.66057    -6.66252  0.00219629
          11    -6.65667    -6.66199  0.00205991
          12    -6.67662    -6.66321  0.00222007
          13    -6.65512    -6.66258  0.00213465
          14    -6.64721    -6.66149   0.0022469
          15    -6.66553    -6.66175   0.0021132
          16    -6.65554    -6.66137  0.00201653
          17    -6.66343    -6.66149  0.00190157
          18    -6.65807     -6.6613  0.00180535
          19    -6.66298    -6.66139  0.00171249
          20    -6.66815    -6.66172  0.00165994
          21    -6.65963    -6.66163   0.0015839
          22    -6.65508    -6.66133   0.0015396
          23    -6.64427    -6.66059  0.00164153
          24    -6.67984    -6.66139  0.00175822
          25    -6.65343    -6.66107  0.00171648
          26     -6.6542    -6.66081  0.00167069
          27    -6.65736    -6.66068  0.00161369
          28    -6.66588    -6.66086   0.0015667
          29    -6.65315     -6.6606  0.00153511
          30    -6.66498    -6.66074  0.00149089
          31    -6.65682    -6.66062  0.00144816
          32    -6.66532    -6.66076  0.00141036
          33    -6.64785    -6.66037   0.0014209
          34    -6.67874    -6.66091  0.00147829
          35    -6.65306    -6.66069    0.001453
          36    -6.68121    -6.66126  0.00152034
          37    -6.63942    -6.66067  0.00158973
          38    -6.65727    -6.66058  0.00155041
          39     -6.6623    -6.66062  0.00151128
          40    -6.67103    -6.66088  0.00149575
          41    -6.66095    -6.66088  0.00145927
          42    -6.66668    -6.66102  0.00143103
          43    -6.64468    -6.66064  0.00144734
          44    -6.65643    -6.66055  0.00141761
          45    -6.65404     -6.6604  0.00139346
          46     -6.6531    -6.66024  0.00137218
          47    -6.65715    -6.66018  0.00134457
          48    -6.65816    -6.66014  0.00131721
          49    -6.65133    -6.65996  0.00130254
          50    -6.66502    -6.66006  0.00128043
          51    -6.66205     -6.6601  0.00125592
          52    -6.66036     -6.6601  0.00123178
          53     -6.6604    -6.66011  0.00120855
          54    -6.65704    -6.66005   0.0011875
          55    -6.66807     -6.6602  0.00117482
          56     -6.6612    -6.66021  0.00115398
          57    -6.66276    -6.66026   0.0011346
          58    -6.65962    -6.66025  0.00111509
          59    -6.65934    -6.66023  0.00109629
          60     -6.6697    -6.66039  0.00108932
          61    -6.65345    -6.66028  0.00107738
          62    -6.67327    -6.66049   0.0010802
          63    -6.65568    -6.66041  0.00106575
          64    -6.66083    -6.66042  0.00104912
          65     -6.6616    -6.66043  0.00103313
          66    -6.66933    -6.66057  0.00102623
          67    -6.64665    -6.66036  0.00103173
          68     -6.6673    -6.66046  0.00102159
          69    -6.66109    -6.66047  0.00100683
          70    -6.66601    -6.66055 0.000995545
          71    -6.66031    -6.66055 0.000981529
          72    -6.66276    -6.66058 0.000968377
          73    -6.66836    -6.66069 0.000960967
          74    -6.65157    -6.66056 0.000955836
          75    -6.65986    -6.66055 0.000943138
          76    -6.64798    -6.66039 0.000945126
          77    -6.66362    -6.66043 0.000933782
          78    -6.65058     -6.6603 0.000930308
          79    -6.66797     -6.6604 0.000923574
          80     -6.6634    -6.66044 0.000912788
          81    -6.65353    -6.66035  0.00090549
          82    -6.66816    -6.66045 0.000899441
          83    -6.65742    -6.66041 0.000889343
          84    -6.64986    -6.66029 0.000887575
          85    -6.65909    -6.66027 0.000877245
          86    -6.66014    -6.66027 0.000867046
          87    -6.65556    -6.66022 0.000858767
          88    -6.66669    -6.66029 0.000852156
          89     -6.6649    -6.66034 0.000844153
          90    -6.66658    -6.66041 0.000837612
          91     -6.6601    -6.66041 0.000828414
          92    -6.66094    -6.66041  0.00081943
          93     -6.6659    -6.66047 0.000812741
          94    -6.66269     -6.6605 0.000804438
          95    -6.65326    -6.66042 0.000799565
          96    -6.66929    -6.66051 0.000796557
          97    -6.64814    -6.66038 0.000798492
          98     -6.6697    -6.66048 0.000795983
          99    -6.64704    -6.66034 0.000799438
         100    -6.66098    -6.66035 0.000791469
