BLOCK,ACTUAL_P,P_AVE,ERROR
1,-0.757628,-0.757628,0
2,-0.760221,-0.758925,0.000916589
3,-0.754187,-0.757345,0.00142681
4,-0.761466,-0.758375,0.00139314
5,-0.767235,-0.760147,0.00193751
6,-0.763113,-0.760642,0.00167645
7,-0.760992,-0.760692,0.0014377
8,-0.765457,-0.761287,0.00137589
9,-0.755691,-0.760666,0.00135628
10,-0.758905,-0.76049,0.00123202
11,-0.758573,-0.760315,0.00113227
12,-0.765,-0.760706,0.00110317
13,-0.763573,-0.760926,0.00104013
14,-0.750503,-0.760182,0.00120312
15,-0.765721,-0.760551,0.00117822
16,-0.754972,-0.760202,0.00115502
17,-0.770602,-0.760814,0.00123852
18,-0.754239,-0.760449,0.0012224
19,-0.765099,-0.760694,0.00118231
20,-0.758425,-0.76058,0.00112862
21,-0.766006,-0.760838,0.00110406
22,-0.756633,-0.760647,0.0010703
23,-0.758559,-0.760557,0.00102761
24,-0.757931,-0.760447,0.0009906
25,-0.766838,-0.760703,0.000983406
26,-0.754433,-0.760462,0.000974704
27,-0.762672,-0.760543,0.000942035
28,-0.763335,-0.760643,0.000913653
29,-0.755432,-0.760463,0.000899648
30,-0.758841,-0.760409,0.000871283
31,-0.772053,-0.760785,0.000920586
32,-0.753793,-0.760566,0.000917383
33,-0.768964,-0.760821,0.000924199
34,-0.750876,-0.760528,0.00094217
35,-0.761929,-0.760568,0.000916101
36,-0.755294,-0.760422,0.000902295
37,-0.769106,-0.760657,0.000907918
38,-0.752333,-0.760438,0.000910065
39,-0.767187,-0.760611,0.000903035
40,-0.758573,-0.76056,0.000881895
41,-0.756999,-0.760473,0.000864651
42,-0.767599,-0.760643,0.000860551
43,-0.755647,-0.760526,0.000848343
44,-0.770082,-0.760744,0.00085641
45,-0.760096,-0.760729,0.0008375
46,-0.757231,-0.760653,0.000822738
47,-0.759409,-0.760627,0.000805659
48,-0.760202,-0.760618,0.000788922
49,-0.756231,-0.760528,0.000777886
50,-0.7594,-0.760506,0.000762656
51,-0.758929,-0.760475,0.000748328
52,-0.763253,-0.760528,0.000735841
53,-0.768519,-0.760679,0.000737242
54,-0.756381,-0.760599,0.000727873
55,-0.761245,-0.760611,0.000714733
56,-0.762305,-0.760641,0.00070261
57,-0.759388,-0.760619,0.000690628
58,-0.753964,-0.760505,0.000688188
59,-0.763507,-0.760556,0.000678402
60,-0.758816,-0.760527,0.000667715
61,-0.751649,-0.760381,0.00067244
62,-0.766666,-0.760482,0.000669192
63,-0.762204,-0.76051,0.000659128
64,-0.748926,-0.760329,0.000673219
65,-0.762238,-0.760358,0.000663502
66,-0.762494,-0.76039,0.000654238
67,-0.753303,-0.760285,0.00065297
68,-0.764719,-0.76035,0.000646615
69,-0.756266,-0.760291,0.000639946
70,-0.76249,-0.760322,0.000631575
71,-0.758637,-0.760298,0.000623125
72,-0.765169,-0.760366,0.000618132
73,-0.753223,-0.760268,0.00061736
74,-0.756794,-0.760221,0.0006108
75,-0.760788,-0.760229,0.000602703
76,-0.76968,-0.760353,0.000607467
77,-0.746059,-0.760167,0.000627303
78,-0.762142,-0.760193,0.000619771
79,-0.764237,-0.760244,0.000614037
80,-0.758656,-0.760224,0.000606682
81,-0.76209,-0.760247,0.000599629
82,-0.761996,-0.760268,0.000592696
83,-0.768377,-0.760366,0.000593552
84,-0.76256,-0.760392,0.00058706
85,-0.752587,-0.7603,0.000587292
86,-0.754509,-0.760233,0.000584311
87,-0.761087,-0.760243,0.000577678
88,-0.765313,-0.760301,0.000573979
89,-0.752447,-0.760212,0.000574273
90,-0.770072,-0.760322,0.000578246
91,-0.756952,-0.760285,0.000573077
92,-0.764064,-0.760326,0.000568318
93,-0.763735,-0.760363,0.000563388
94,-0.758158,-0.760339,0.000557882
95,-0.768609,-0.760426,0.00055876
96,-0.752642,-0.760345,0.000558792
97,-0.762604,-0.760368,0.000553516
98,-0.75243,-0.760287,0.000553763
99,-0.763839,-0.760323,0.000549331
100,-0.765441,-0.760374,0.000546216
101,-0.746851,-0.760241,0.000556977
102,-0.760089,-0.760239,0.000551519
103,-0.763766,-0.760273,0.000547226
104,-0.757518,-0.760247,0.000542605
105,-0.77339,-0.760372,0.000551686
106,-0.76474,-0.760413,0.000548018
107,-0.766447,-0.76047,0.00054579
