#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.959904    0.959904           0
           2    0.955595     0.95775  0.00152374
           3    0.962757    0.959419  0.00169987
           4    0.969044    0.961825   0.0024429
           5    0.957463    0.960953  0.00210436
           6    0.966868    0.961938  0.00197109
           7     0.96156    0.961884  0.00169025
           8    0.970485     0.96296   0.0017885
           9    0.960903    0.962731  0.00160431
          10    0.962487    0.962707  0.00144406
          11    0.959892    0.962451  0.00133526
          12    0.972356    0.963276  0.00145696
          13    0.958384      0.9629  0.00139264
          14    0.952487    0.962156   0.0014785
          15    0.964143    0.962288  0.00138585
          16    0.957829     0.96201  0.00132696
          17    0.963315    0.962087  0.00125113
          18    0.960079    0.961975  0.00118658
          19     0.96295    0.962026  0.00112524
          20    0.966862    0.962268  0.00109465
          21    0.960931    0.962204  0.00104437
          22    0.957857    0.962007  0.00101542
          23    0.950638    0.961513  0.00108494
          24    0.973105    0.961996   0.0011422
          25    0.956306    0.961768  0.00111896
          26    0.956416    0.961562  0.00109469
          27    0.959689    0.961493  0.00105634
          28    0.965509    0.961636  0.00102831
          29    0.957438    0.961491  0.00100298
          30    0.964859    0.961604 0.000975814
          31    0.958826    0.961514 0.000948441
          32     0.96523     0.96163 0.000925882
          33     0.95319    0.961374 0.000932481
          34    0.974354    0.961756 0.000980087
          35    0.955882    0.961588 0.000966348
          36    0.974295    0.961941  0.00100189
          37    0.947684    0.961556  0.00104629
          38     0.95911    0.961492  0.00102073
          39    0.962414    0.961515 0.000994834
          40    0.967872    0.961674 0.000982576
          41    0.961662    0.961674  0.00095861
          42    0.966101    0.961779 0.000941563
          43    0.951716    0.961545 0.000948308
          44    0.958308    0.961472 0.000929605
          45    0.956711    0.961366 0.000914946
          46    0.956765    0.961266 0.000900505
          47    0.959759    0.961234 0.000881916
          48    0.960703    0.961223 0.000863612
          49    0.955618    0.961108  0.00085353
          50    0.964709     0.96118 0.000839492
          51    0.962266    0.961202 0.000823302
          52     0.96095    0.961197 0.000807483
          53    0.961868     0.96121 0.000792347
          54    0.958931    0.961167 0.000778796
          55    0.966584    0.961266 0.000770838
          56    0.961553    0.961271  0.00075709
          57    0.962651    0.961295 0.000744195
          58    0.960017    0.961273  0.00073169
          59    0.959762    0.961248 0.000719736
          60    0.967981     0.96136 0.000716435
          61     0.95654    0.961281 0.000709034
          62    0.969566    0.961414 0.000710079
          63    0.958421    0.961367 0.000700396
          64     0.96201    0.961377 0.000689525
          65    0.961462    0.961378 0.000678918
          66    0.967681    0.961474 0.000675314
          67    0.952317    0.961337 0.000678923
          68    0.965963    0.961405 0.000672338
          69    0.962167    0.961416 0.000662685
          70     0.96518     0.96147 0.000655396
          71     0.96089    0.961462 0.000646216
          72     0.96389    0.961495  0.00063812
          73    0.966768    0.961568 0.000633454
          74     0.95626    0.961496 0.000628941
          75    0.961624    0.961498 0.000620558
          76    0.954434    0.961405 0.000619314
          77    0.964151     0.96144 0.000612297
          78    0.954601    0.961353 0.000610692
          79     0.96729    0.961428 0.000607569
          80     0.96439    0.961465 0.000601102
          81    0.958108    0.961423 0.000595108
          82    0.967612    0.961499 0.000592617
          83    0.959388    0.961473 0.000586022
          84     0.95456    0.961391 0.000584797
          85    0.961708    0.961395 0.000577929
          86    0.960916    0.961389 0.000571236
          87    0.958229    0.961353 0.000565824
          88      0.9659    0.961405 0.000561749
          89    0.964235    0.961436 0.000556336
          90    0.964784    0.961474 0.000551397
          91    0.960699    0.961465 0.000545403
          92    0.962357    0.961475 0.000539561
          93    0.964525    0.961508 0.000534755
          94    0.963169    0.961525 0.000529358
          95    0.956727    0.961475  0.00052619
          96    0.968151    0.961544 0.000525285
          97    0.953525    0.961462 0.000526335
          98    0.967287    0.961521  0.00052431
          99    0.951464     0.96142 0.000528765
         100    0.962125    0.961427 0.000523524
