BLOCK,ACTUAL_T,T_AVE,ERROR
1,0.796017,0.796017,0
2,0.800931,0.798474,0.00173726
3,0.794911,0.797286,0.00151055
4,0.801886,0.798436,0.00150844
5,0.802024,0.799154,0.00136678
6,0.7994,0.799195,0.0011396
7,0.797725,0.798985,0.000995952
8,0.801907,0.79935,0.000936061
9,0.800717,0.799502,0.000844293
10,0.794626,0.799014,0.000889607
11,0.796947,0.798827,0.000828346
12,0.794249,0.798445,0.000842579
13,0.798214,0.798427,0.000777953
14,0.802077,0.798688,0.000764815
15,0.798554,0.798679,0.00071388
16,0.795656,0.79849,0.000693812
17,0.801428,0.798663,0.000674179
18,0.804262,0.798974,0.000704832
19,0.804377,0.799258,0.000722831
20,0.791565,0.798874,0.000782386
21,0.799633,0.79891,0.000745964
22,0.797144,0.798829,0.000716364
23,0.793353,0.798591,0.000723714
24,0.800898,0.798687,0.000699909
25,0.801961,0.798818,0.000684051
26,0.789425,0.798457,0.00074709
27,0.799207,0.798485,0.000719936
28,0.808335,0.798837,0.00077542
29,0.800812,0.798905,0.000751667
30,0.795392,0.798788,0.000735676
31,0.80266,0.798913,0.000722472
32,0.796213,0.798828,0.000704802
33,0.795937,0.798741,0.000688868
34,0.796559,0.798676,0.000671588
35,0.806598,0.798903,0.000689481
36,0.80455,0.79906,0.00068794
37,0.794503,0.798937,0.000680279
38,0.803593,0.799059,0.000673324
39,0.799341,0.799066,0.000656098
40,0.80508,0.799217,0.000656697
41,0.799231,0.799217,0.00064068
42,0.794565,0.799106,0.000634929
43,0.798567,0.799094,0.000620287
44,0.798529,0.799081,0.000606322
45,0.791209,0.798906,0.000617567
46,0.811565,0.799181,0.000662631
47,0.799757,0.799193,0.000648646
48,0.799286,0.799195,0.000635135
49,0.80178,0.799248,0.000624359
50,0.792122,0.799106,0.000627928
51,0.804324,0.799208,0.000623897
52,0.7965,0.799156,0.000614068
53,0.802407,0.799217,0.000605539
54,0.798017,0.799195,0.000594733
55,0.793378,0.799089,0.000593248
56,0.791533,0.798954,0.000597802
57,0.79898,0.798955,0.000587314
58,0.808175,0.799114,0.000598317
59,0.802796,0.799176,0.000591423
60,0.793049,0.799074,0.000590315
61,0.801172,0.799108,0.000581639
62,0.803097,0.799173,0.000575804
63,0.800371,0.799192,0.000566978
64,0.802595,0.799245,0.000560608
65,0.791706,0.799129,0.000563852
66,0.799147,0.799129,0.000555309
67,0.798833,0.799125,0.000547039
68,0.802932,0.799181,0.000541851
69,0.804439,0.799257,0.000539331
70,0.791869,0.799151,0.000541855
71,0.803186,0.799208,0.000537195
72,0.796246,0.799167,0.000531307
73,0.798865,0.799163,0.000524045
74,0.80896,0.799295,0.000533424
75,0.795891,0.79925,0.00052824
76,0.802307,0.79929,0.000522819
77,0.793842,0.799219,0.000520795
78,0.808671,0.799341,0.000528027
79,0.793548,0.799267,0.000526409
80,0.802022,0.799302,0.000520954
81,0.79945,0.799304,0.000514525
82,0.803782,0.799358,0.000511141
83,0.798294,0.799345,0.000505143
84,0.798926,0.79934,0.000499154
85,0.791795,0.799252,0.000501113
86,0.801244,0.799275,0.000495821
87,0.792038,0.799192,0.00049705
88,0.81393,0.799359,0.000518853
89,0.792961,0.799287,0.000517978
90,0.800853,0.799305,0.000512515
91,0.800756,0.79932,0.000507131
92,0.798344,0.79931,0.00050173
93,0.806593,0.799388,0.00050241
94,0.802014,0.799416,0.000497841
95,0.802727,0.799451,0.000493819
96,0.799091,0.799447,0.000488689
97,0.794986,0.799401,0.000485811
98,0.798721,0.799394,0.000480903
99,0.802606,0.799427,0.000477139
100,0.804439,0.799477,0.000474992
