BLOCK,ACTUAL_TE,TE_AVE,ERROR
1,-6.324710e+00,-6.324710e+00,0.000000e+00
2,-6.325357e+00,-6.325034e+00,2.287666e-04
3,-6.325023e+00,-6.325030e+00,1.525391e-04
4,-6.324143e+00,-6.324809e+00,2.235298e-04
5,-6.326402e+00,-6.325127e+00,3.364406e-04
6,-6.324475e+00,-6.325018e+00,2.974096e-04
7,-6.324821e+00,-6.324990e+00,2.562565e-04
8,-6.325494e+00,-6.325053e+00,2.318436e-04
9,-6.324964e+00,-6.325043e+00,2.062933e-04
10,-6.324454e+00,-6.324984e+00,1.939062e-04
11,-6.323740e+00,-6.324871e+00,2.066737e-04
12,-6.324791e+00,-6.324865e+00,1.895585e-04
13,-6.322844e+00,-6.324709e+00,2.300187e-04
14,-6.325243e+00,-6.324747e+00,2.167242e-04
15,-6.324961e+00,-6.324762e+00,2.027421e-04
16,-6.326314e+00,-6.324859e+00,2.120288e-04
17,-6.325162e+00,-6.324876e+00,2.003054e-04
18,-6.324995e+00,-6.324883e+00,1.892848e-04
19,-6.324849e+00,-6.324881e+00,1.793309e-04
20,-6.325318e+00,-6.324903e+00,1.716881e-04
21,-6.323406e+00,-6.324832e+00,1.776909e-04
22,-6.324176e+00,-6.324802e+00,1.720927e-04
23,-6.326654e+00,-6.324883e+00,1.824800e-04
24,-6.325595e+00,-6.324912e+00,1.772738e-04
25,-6.324857e+00,-6.324910e+00,1.701966e-04
26,-6.325296e+00,-6.324925e+00,1.642974e-04
27,-6.325534e+00,-6.324947e+00,1.597558e-04
28,-6.324816e+00,-6.324943e+00,1.541191e-04
29,-6.323443e+00,-6.324891e+00,1.572440e-04
30,-6.325839e+00,-6.324923e+00,1.551418e-04
31,-6.324130e+00,-6.324897e+00,1.522275e-04
32,-6.324798e+00,-6.324894e+00,1.475016e-04
33,-6.324305e+00,-6.324876e+00,1.441093e-04
34,-6.324445e+00,-6.324863e+00,1.404281e-04
35,-6.324010e+00,-6.324839e+00,1.385177e-04
36,-6.324976e+00,-6.324843e+00,1.347222e-04
37,-6.324404e+00,-6.324831e+00,1.316023e-04
38,-6.325287e+00,-6.324843e+00,1.286843e-04
39,-6.324389e+00,-6.324831e+00,1.259091e-04
40,-6.324128e+00,-6.324814e+00,1.239842e-04
41,-6.324331e+00,-6.324802e+00,1.215185e-04
42,-6.323937e+00,-6.324781e+00,1.203588e-04
43,-6.323868e+00,-6.324760e+00,1.194199e-04
44,-6.324661e+00,-6.324758e+00,1.167272e-04
45,-6.323733e+00,-6.324735e+00,1.163323e-04
46,-6.324928e+00,-6.324739e+00,1.138790e-04
47,-6.323903e+00,-6.324721e+00,1.128389e-04
48,-6.324885e+00,-6.324725e+00,1.105397e-04
49,-6.325015e+00,-6.324731e+00,1.084420e-04
50,-6.325576e+00,-6.324748e+00,1.075821e-04
51,-6.325250e+00,-6.324758e+00,1.059233e-04
52,-6.324701e+00,-6.324756e+00,1.038919e-04
53,-6.324910e+00,-6.324759e+00,1.019720e-04
54,-6.325630e+00,-6.324776e+00,1.013511e-04
55,-6.324902e+00,-6.324778e+00,9.953452e-05
56,-6.324709e+00,-6.324777e+00,9.776468e-05
57,-6.325894e+00,-6.324796e+00,9.799509e-05
58,-6.324668e+00,-6.324794e+00,9.633038e-05
59,-6.324857e+00,-6.324795e+00,9.470354e-05
60,-6.325023e+00,-6.324799e+00,9.320110e-05
61,-6.323604e+00,-6.324779e+00,9.370928e-05
62,-6.325122e+00,-6.324785e+00,9.236052e-05
63,-6.324423e+00,-6.324779e+00,9.107273e-05
64,-6.326338e+00,-6.324803e+00,9.284902e-05
65,-6.325356e+00,-6.324812e+00,9.180961e-05
66,-6.324708e+00,-6.324810e+00,9.043213e-05
67,-6.325104e+00,-6.324815e+00,8.918861e-05
68,-6.324307e+00,-6.324807e+00,8.818929e-05
69,-6.325501e+00,-6.324817e+00,8.748285e-05
70,-6.324381e+00,-6.324811e+00,8.645531e-05
71,-6.324589e+00,-6.324808e+00,8.529396e-05
72,-6.325111e+00,-6.324812e+00,8.421311e-05
73,-6.325141e+00,-6.324817e+00,8.317967e-05
74,-6.324644e+00,-6.324814e+00,8.208837e-05
75,-6.324627e+00,-6.324812e+00,8.103183e-05
76,-6.325668e+00,-6.324823e+00,8.074568e-05
77,-6.324837e+00,-6.324823e+00,7.969725e-05
78,-6.324886e+00,-6.324824e+00,7.867955e-05
79,-6.326017e+00,-6.324839e+00,7.911960e-05
80,-6.323912e+00,-6.324828e+00,7.897406e-05
81,-6.324640e+00,-6.324825e+00,7.803314e-05
82,-6.324902e+00,-6.324826e+00,7.708714e-05
83,-6.325326e+00,-6.324832e+00,7.639305e-05
84,-6.324263e+00,-6.324825e+00,7.578311e-05
85,-6.325476e+00,-6.324833e+00,7.527685e-05
86,-6.325348e+00,-6.324839e+00,7.463888e-05
87,-6.324398e+00,-6.324834e+00,7.395300e-05
88,-6.323432e+00,-6.324818e+00,7.480979e-05
89,-6.324690e+00,-6.324817e+00,7.398315e-05
90,-6.324827e+00,-6.324817e+00,7.316120e-05
91,-6.325854e+00,-6.324828e+00,7.323934e-05
92,-6.324009e+00,-6.324819e+00,7.298231e-05
93,-6.324792e+00,-6.324819e+00,7.219815e-05
94,-6.325409e+00,-6.324825e+00,7.170271e-05
95,-6.324820e+00,-6.324825e+00,7.094797e-05
96,-6.324530e+00,-6.324822e+00,7.027565e-05
97,-6.324475e+00,-6.324819e+00,6.964198e-05
98,-6.326343e+00,-6.324834e+00,7.064775e-05
99,-6.324908e+00,-6.324835e+00,6.993813e-05
100,-6.324032e+00,-6.324827e+00,6.969811e-05
101,-6.325718e+00,-6.324836e+00,6.956424e-05
102,-6.323683e+00,-6.324824e+00,6.979359e-05
103,-6.324354e+00,-6.324820e+00,6.926536e-05
104,-6.323043e+00,-6.324803e+00,7.067455e-05
105,-6.323873e+00,-6.324794e+00,7.055340e-05
106,-6.325885e+00,-6.324804e+00,7.063517e-05
107,-6.324526e+00,-6.324802e+00,7.002297e-05
