#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.46163    -5.46163           0
           2     -5.4594    -5.46052 0.000791003
           3    -5.45985     -5.4603 0.000557212
           4    -5.45953     -5.4601 0.000449658
           5    -5.45856    -5.45979 0.000453784
           6    -5.46057    -5.45992 0.000395973
           7    -5.46079    -5.46005 0.000358242
           8    -5.46037    -5.46009 0.000315656
           9    -5.46039    -5.46012 0.000282367
          10    -5.45827    -5.45994  0.00030884
          11    -5.45836    -5.45979 0.000312081
          12    -5.45965    -5.45978 0.000286312
          13    -5.45902    -5.45972 0.000270166
          14    -5.45951    -5.45971 0.000251298
          15    -5.46078    -5.45978 0.000244589
          16    -5.45985    -5.45978 0.000229346
          17    -5.46013     -5.4598 0.000216742
          18     -5.4591    -5.45976 0.000208202
          19    -5.45981    -5.45977 0.000197259
          20    -5.45946    -5.45975 0.000187994
          21    -5.45938    -5.45973 0.000179871
          22    -5.45952    -5.45972 0.000171959
          23    -5.45906     -5.4597 0.000166858
          24    -5.46176    -5.45978 0.000180776
          25    -5.46004    -5.45979 0.000173835
          26    -5.46036    -5.45981 0.000168504
          27     -5.4588    -5.45978 0.000166353
          28    -5.45891    -5.45975 0.000163261
          29     -5.4586    -5.45971   0.0001623
          30    -5.45929    -5.45969 0.000157484
          31    -5.45988     -5.4597 0.000152525
          32    -5.45916    -5.45968 0.000148675
          33    -5.45927    -5.45967 0.000144682
          34    -5.45912    -5.45965 0.000141337
          35    -5.46043    -5.45968 0.000139042
          36     -5.4612    -5.45972 0.000141514
          37    -5.45891     -5.4597 0.000139357
          38    -5.45991     -5.4597 0.000135808
          39     -5.4601    -5.45971 0.000132716
          40    -5.46099    -5.45974 0.000133164
          41     -5.4598    -5.45975 0.000129924
          42    -5.45877    -5.45972 0.000128875
          43    -5.45818    -5.45969 0.000130778
          44    -5.45978    -5.45969 0.000127825
          45    -5.45996    -5.45969  0.00012513
          46    -5.45892    -5.45968 0.000123526
          47    -5.45865    -5.45966  0.00012282
          48    -5.45838    -5.45963 0.000123121
          49    -5.45898    -5.45962 0.000121319
          50    -5.45936    -5.45961 0.000118997
          51    -5.46008    -5.45962 0.000117019
          52       -5.46    -5.45963 0.000115001
          53    -5.45901    -5.45962 0.000113419
          54    -5.46004    -5.45962 0.000111586
          55    -5.46007    -5.45963 0.000109852
          56    -5.46048    -5.45965 0.000108929
          57    -5.46039    -5.45966 0.000107786
          58    -5.46086    -5.45968  0.00010789
          59    -5.46093     -5.4597  0.00010812
          60    -5.45906    -5.45969 0.000106849
          61    -5.45968    -5.45969 0.000105098
          62     -5.4605     -5.4597 0.000104203
          63    -5.45943     -5.4597 0.000102637
          64    -5.45947     -5.4597 0.000101096
          65     -5.4608    -5.45971 0.000100968
          66    -5.45938    -5.45971  9.9563e-05
          67    -5.45929     -5.4597  9.8275e-05
          68    -5.45984     -5.4597 9.68505e-05
          69     -5.4593     -5.4597 9.56223e-05
          70    -5.45951     -5.4597 9.42925e-05
          71    -5.46012     -5.4597 9.31557e-05
          72     -5.4584    -5.45968 9.36107e-05
          73    -5.45985    -5.45969 9.23579e-05
          74    -5.45827    -5.45967   9.307e-05
          75    -5.45867    -5.45965 9.27815e-05
          76    -5.45736    -5.45962  9.6338e-05
          77    -5.45895    -5.45961 9.54768e-05
          78    -5.46007    -5.45962 9.44315e-05
          79    -5.45899    -5.45961 9.35692e-05
          80    -5.45848     -5.4596 9.34555e-05
          81    -5.45789    -5.45958 9.46377e-05
          82    -5.45834    -5.45956 9.46847e-05
          83    -5.45954    -5.45956 9.35442e-05
          84    -5.45893    -5.45955  9.2736e-05
          85    -5.45763    -5.45953 9.43548e-05
          86     -5.4597    -5.45953 9.32775e-05
          87    -5.45942    -5.45953 9.22145e-05
          88    -5.45954    -5.45953 9.11667e-05
          89    -5.45986    -5.45954 9.02163e-05
          90    -5.46073    -5.45955 9.01777e-05
          91    -5.46045    -5.45956 8.97326e-05
          92    -5.45893    -5.45955 8.90149e-05
          93    -5.46036    -5.45956 8.84793e-05
          94    -5.45934    -5.45956 8.75705e-05
          95    -5.45952    -5.45956 8.66498e-05
          96    -5.45848    -5.45955 8.64679e-05
          97    -5.45865    -5.45954 8.60689e-05
          98    -5.46026    -5.45954 8.55026e-05
          99    -5.46089    -5.45956 8.57107e-05
         100    -5.45904    -5.45955 8.50121e-05
