BLOCK,ACTUAL_KE,KE_AVE,ERROR
1,1.30139,1.30139,0
2,1.05155,1.17647,0.088335
3,1.22279,1.19191,0.0602245
4,1.27988,1.2139,0.0490194
5,1.17739,1.2066,0.0397558
6,1.20642,1.20657,0.0331299
7,1.19686,1.20518,0.0284261
8,1.21473,1.20637,0.0248978
9,1.1595,1.20117,0.0226696
10,1.19624,1.20067,0.020408
11,1.21139,1.20165,0.018576
12,1.234,1.20434,0.0172225
13,1.15339,1.20042,0.0163377
14,1.23504,1.2029,0.0153567
15,1.21493,1.2037,0.0143539
16,1.19683,1.20327,0.0134632
17,1.12666,1.19876,0.0134042
18,1.26166,1.20226,0.0131071
19,1.19543,1.2019,0.0124222
20,1.18049,1.20083,0.0118471
21,1.20756,1.20115,0.0112873
22,1.18639,1.20048,0.0107941
23,1.28158,1.204,0.0108856
24,1.14321,1.20147,0.0107227
25,1.20876,1.20176,0.0102977
26,1.23955,1.20322,0.0100037
27,1.2027,1.2032,0.00963321
28,1.15719,1.20155,0.00942824
29,1.2149,1.20201,0.00911435
30,1.24767,1.20354,0.00893671
31,1.18879,1.20306,0.00866107
32,1.20587,1.20315,0.00839086
33,1.24317,1.20436,0.00822379
34,1.17257,1.20343,0.00803488
35,1.16468,1.20232,0.00788122
36,1.24245,1.20343,0.00774074
37,1.24763,1.20463,0.00762312
38,1.13278,1.20274,0.00765338
39,1.23095,1.20346,0.00749125
40,1.21905,1.20385,0.0073141
41,1.18959,1.2035,0.00714398
42,1.27912,1.2053,0.00719718
43,1.15952,1.20424,0.00710814
44,1.26261,1.20557,0.00706929
45,1.20008,1.20544,0.00691325
46,1.18993,1.20511,0.00677118
47,1.22981,1.20563,0.00664749
48,1.21157,1.20576,0.00651015
49,1.19205,1.20548,0.00638329
50,1.2003,1.20537,0.00625647
