BLOCK,ACTUAL_PE,PE_AVE,ERROR
1,-7.52517,-7.52517,0
2,-7.52141,-7.52329,0.00133019
3,-7.52526,-7.52395,0.00103695
4,-7.52343,-7.52382,0.000785841
5,-7.52626,-7.52431,0.00076581
6,-7.52142,-7.52383,0.00077487
7,-7.51315,-7.5223,0.00156008
8,-7.52812,-7.52303,0.00152516
9,-7.53022,-7.52383,0.00155124
10,-7.52078,-7.52352,0.00142579
11,-7.51804,-7.52302,0.00138045
12,-7.52296,-7.52302,0.00126542
13,-7.51998,-7.52279,0.00118946
14,-7.51794,-7.52244,0.00115375
15,-7.52422,-7.52256,0.00108295
16,-7.53978,-7.52363,0.0014549
17,-7.51987,-7.52341,0.0013861
18,-7.51525,-7.52296,0.00138136
19,-7.52618,-7.52313,0.00131903
20,-7.52755,-7.52335,0.00127147
21,-7.5204,-7.52321,0.00121866
22,-7.5445,-7.52418,0.00149908
23,-7.52046,-7.52402,0.00144257
24,-7.52552,-7.52408,0.00138382
25,-7.51923,-7.52388,0.001342
26,-7.51879,-7.52369,0.00130462
27,-7.52198,-7.52362,0.00125785
28,-7.53624,-7.52408,0.0012911
29,-7.52345,-7.52405,0.00124675
30,-7.52876,-7.52421,0.00121502
31,-7.50897,-7.52372,0.00127138
32,-7.52928,-7.52389,0.00124346
33,-7.53083,-7.5241,0.00122342
34,-7.52861,-7.52424,0.00119459
35,-7.52333,-7.52421,0.00116074
36,-7.51675,-7.524,0.00114684
37,-7.53122,-7.5242,0.0011323
38,-7.51667,-7.524,0.00111968
39,-7.51727,-7.52383,0.00110418
40,-7.53844,-7.52419,0.00113537
41,-7.51579,-7.52399,0.001126
42,-7.52409,-7.52399,0.0010992
43,-7.52603,-7.52404,0.00107466
44,-7.52276,-7.52401,0.00105062
45,-7.5231,-7.52399,0.00102747
46,-7.52441,-7.524,0.00100517
47,-7.52678,-7.52406,0.000985535
48,-7.52375,-7.52405,0.000965024
49,-7.52279,-7.52402,0.00094567
50,-7.52367,-7.52402,0.000926783
51,-7.53873,-7.52431,0.000952471
52,-7.51358,-7.5241,0.000956213
53,-7.51785,-7.52398,0.00094542
54,-7.53055,-7.5241,0.00093571
55,-7.52906,-7.52419,0.000923024
56,-7.53723,-7.52443,0.000935442
57,-7.5125,-7.52422,0.000942128
58,-7.52358,-7.52421,0.000925949
59,-7.52117,-7.52415,0.000911687
60,-7.52891,-7.52423,0.000899926
61,-7.52171,-7.52419,0.000886121
62,-7.50035,-7.52381,0.000951632
63,-7.54496,-7.52414,0.000993978
64,-7.52036,-7.52408,0.000980205
65,-7.52784,-7.52414,0.000966826
66,-7.50967,-7.52392,0.000976719
67,-7.51417,-7.52378,0.000972931
68,-7.54632,-7.52411,0.00101352
69,-7.50878,-7.52389,0.00102288
70,-7.53929,-7.52411,0.00103165
71,-7.52459,-7.52411,0.00101714
72,-7.51711,-7.52402,0.00100766
73,-7.52768,-7.52407,0.000995112
74,-7.52931,-7.52414,0.000984186
75,-7.5275,-7.52418,0.000972082
76,-7.5216,-7.52415,0.000959887
77,-7.51999,-7.52409,0.000948936
78,-7.51973,-7.52404,0.000938416
79,-7.53078,-7.52412,0.000930406
80,-7.52446,-7.52413,0.000918785
81,-7.53081,-7.52421,0.000911137
82,-7.52522,-7.52422,0.000900109
83,-7.52142,-7.52419,0.000889899
84,-7.51711,-7.5241,0.000883285
85,-7.53008,-7.52418,0.000875686
86,-7.51451,-7.52406,0.000872693
87,-7.54006,-7.52425,0.000881822
88,-7.52493,-7.52425,0.000871835
89,-7.529,-7.52431,0.000863669
90,-7.52379,-7.5243,0.000854092
91,-7.53791,-7.52445,0.000857695
92,-7.52837,-7.52449,0.00084943
93,-7.52545,-7.5245,0.000840359
