BLOCK,ACTUAL_P,P_AVE,ERROR
1,-0.690253,-0.690253,0
2,-0.860408,-0.77533,0.0601589
3,-0.74382,-0.764827,0.0410127
4,-0.704871,-0.749838,0.0333864
5,-0.774806,-0.754832,0.02708
6,-0.755046,-0.754867,0.0225667
7,-0.761262,-0.755781,0.0193613
8,-0.749078,-0.754943,0.0169593
9,-0.786953,-0.7585,0.0154434
10,-0.762138,-0.758863,0.0139033
11,-0.75136,-0.758181,0.0126561
12,-0.736252,-0.756354,0.0117326
13,-0.791171,-0.759032,0.0111316
14,-0.735375,-0.757342,0.010464
15,-0.749449,-0.756816,0.00977958
16,-0.761719,-0.757123,0.00917316
17,-0.80947,-0.760202,0.00913578
18,-0.717565,-0.757833,0.00893003
19,-0.76256,-0.758082,0.00846349
20,-0.772562,-0.758806,0.00807123
21,-0.754007,-0.758577,0.00769012
22,-0.768597,-0.759033,0.00735404
23,-0.703758,-0.75663,0.00741659
24,-0.798134,-0.758359,0.00730641
25,-0.753355,-0.758159,0.00701689
26,-0.732248,-0.757162,0.00681741
27,-0.757276,-0.757166,0.00656491
28,-0.788243,-0.758276,0.00642358
29,-0.749078,-0.757959,0.00620991
30,-0.726864,-0.756923,0.0060888
31,-0.766695,-0.757238,0.00590054
32,-0.755631,-0.757188,0.00571636
33,-0.729444,-0.756347,0.00560462
34,-0.77776,-0.756977,0.00547505
35,-0.783403,-0.757732,0.00537043
36,-0.730185,-0.756967,0.00527548
37,-0.726849,-0.756153,0.00519532
38,-0.80532,-0.757446,0.00521723
39,-0.738031,-0.756949,0.00510715
40,-0.746439,-0.756686,0.00498622
41,-0.766596,-0.756928,0.00487046
42,-0.70532,-0.755699,0.00490705
43,-0.786929,-0.756425,0.00484638
44,-0.716548,-0.755519,0.00482023
45,-0.758813,-0.755592,0.00471367
46,-0.765755,-0.755813,0.00461637
47,-0.738648,-0.755448,0.00453258
48,-0.751077,-0.755357,0.00443906
49,-0.764617,-0.755546,0.00435249
50,-0.758932,-0.755613,0.00426597
