BLOCK,ACTUAL_T,T_AVE,ERROR
1,0.799186,0.799186,0
2,0.797129,0.798158,0.000727239
3,0.800207,0.798841,0.000739005
4,0.799527,0.799013,0.000573818
5,0.80046,0.799302,0.000527079
6,0.797739,0.799042,0.000499491
7,0.792938,0.79817,0.000913751
8,0.802579,0.798721,0.000951326
9,0.802687,0.799161,0.00094218
10,0.796607,0.798906,0.000881906
11,0.795541,0.7986,0.000853132
12,0.797878,0.79854,0.000784157
13,0.797064,0.798426,0.000732008
14,0.79491,0.798175,0.000721519
15,0.799314,0.798251,0.0006774
16,0.810561,0.799021,0.000978882
17,0.797324,0.798921,0.000926373
18,0.793737,0.798633,0.000918585
19,0.801512,0.798784,0.000882648
20,0.802314,0.798961,0.000855973
21,0.797379,0.798886,0.000818519
22,0.81277,0.799517,0.00099531
23,0.79592,0.79936,0.000964244
24,0.800074,0.79939,0.000924525
25,0.796379,0.79927,0.000895355
26,0.796186,0.799151,0.000868737
27,0.798031,0.799109,0.000837552
28,0.806975,0.79939,0.000853454
29,0.798361,0.799355,0.000824762
30,0.802023,0.799444,0.000802051
31,0.789435,0.799121,0.000838645
32,0.802836,0.799237,0.000820433
33,0.803251,0.799359,0.000804538
34,0.802262,0.799444,0.000785393
35,0.799442,0.799444,0.000762953
36,0.794823,0.799316,0.000752481
37,0.804573,0.799458,0.000745436
38,0.794394,0.799324,0.000737633
39,0.794923,0.799212,0.000727301
40,0.809525,0.799469,0.000753435
41,0.794264,0.799342,0.000745677
42,0.798469,0.799322,0.000728213
43,0.801259,0.799367,0.00071267
44,0.799442,0.799368,0.000696475
45,0.799007,0.79936,0.000681044
46,0.799545,0.799364,0.000666251
47,0.801831,0.799417,0.00065414
48,0.799574,0.79942,0.00064052
49,0.798257,0.799396,0.000627888
50,0.798873,0.799386,0.000615417
51,0.808565,0.799566,0.000629118
52,0.792561,0.799431,0.000631278
53,0.795267,0.799353,0.000624237
54,0.803194,0.799424,0.000616718
55,0.802738,0.799484,0.00060844
56,0.80823,0.79964,0.000617292
57,0.791273,0.799493,0.000623671
58,0.799307,0.79949,0.000612927
59,0.797896,0.799463,0.000603134
60,0.803336,0.799528,0.000596525
61,0.798329,0.799508,0.00058707
62,0.783977,0.799258,0.000628778
63,0.813083,0.799477,0.000655978
64,0.796413,0.799429,0.000647473
65,0.801313,0.799458,0.000638161
66,0.790544,0.799323,0.000642624
67,0.793301,0.799233,0.000639287
68,0.813547,0.799444,0.000663636
69,0.789483,0.799299,0.000669535
70,0.809286,0.799442,0.000674998
71,0.799919,0.799449,0.000665524
72,0.794945,0.799386,0.000659213
73,0.801523,0.799416,0.000650833
74,0.801893,0.799449,0.000642898
75,0.802281,0.799487,0.000635434
76,0.797976,0.799467,0.000627384
77,0.797601,0.799443,0.000619704
78,0.796519,0.799405,0.000612892
79,0.803866,0.799462,0.000607729
80,0.799867,0.799467,0.000600153
81,0.803066,0.799511,0.000594387
82,0.800013,0.799517,0.00058717
83,0.797809,0.799497,0.000580456
84,0.794635,0.799439,0.000576423
85,0.803996,0.799492,0.00057213
86,0.793675,0.799425,0.000569463
87,0.809404,0.799539,0.000574353
88,0.800045,0.799545,0.000567855
89,0.802786,0.799582,0.000562641
90,0.799041,0.799576,0.000556421
91,0.808288,0.799671,0.000558482
92,0.80236,0.799701,0.000553175
93,0.799894,0.799703,0.000547231
94,0.797147,0.799675,0.000542084
95,0.803364,0.799714,0.000537767
96,0.788179,0.799594,0.000545423
97,0.807874,0.799679,0.000546439
98,0.793918,0.799621,0.000544017
99,0.792421,0.799548,0.000543361
100,0.803025,0.799583,0.000539039
101,0.802267,0.799609,0.000534357
102,0.793757,0.799552,0.00053219
103,0.802611,0.799582,0.000527851
104,0.801071,0.799596,0.000522969
105,0.792494,0.799528,0.000522344
106,0.80967,0.799624,0.000526106
107,0.798327,0.799612,0.000521329
108,0.800681,0.799622,0.000516596
109,0.806129,0.799681,0.000515294
110,0.795064,0.79964,0.000512317
111,0.801721,0.799658,0.000508044
112,0.802169,0.799681,0.000504002
113,0.793334,0.799625,0.000502662
114,0.797041,0.799602,0.000498764
115,0.794589,0.799558,0.000496327
116,0.80445,0.7996,0.000493837
117,0.795628,0.799566,0.000490782
118,0.800339,0.799573,0.000486666
119,0.795906,0.799542,0.000483551
120,0.805574,0.799592,0.000482127
121,0.801907,0.799612,0.000478522
122,0.796681,0.799588,0.000475202
123,0.792652,0.799531,0.000474672
124,0.809529,0.799612,0.000477643
125,0.790794,0.799541,0.000479002
126,0.800858,0.799552,0.000475315
127,0.803362,0.799582,0.000472518
128,0.793388,0.799533,0.000471298
