BLOCK,ACTUAL_TE,TE_AVE,ERROR
1,-6.31402,-6.31402,0
2,-6.31194,-6.31298,0.000735511
3,-6.31084,-6.31227,0.000762338
4,-6.31136,-6.31204,0.000604742
5,-6.30894,-6.31142,0.000735893
6,-6.31087,-6.31133,0.000619027
7,-6.31385,-6.31169,0.000627011
8,-6.30983,-6.31146,0.000590319
9,-6.3094,-6.31123,0.000567358
10,-6.30713,-6.31082,0.000641533
11,-6.30899,-6.31065,0.000604419
12,-6.30942,-6.31055,0.000562696
13,-6.30924,-6.31045,0.000528402
14,-6.31032,-6.31044,0.000490743
15,-6.31125,-6.31049,0.00046103
16,-6.31183,-6.31058,0.000439726
17,-6.31051,-6.31057,0.000413877
18,-6.30836,-6.31045,0.000408787
19,-6.31194,-6.31053,0.000394762
20,-6.30771,-6.31039,0.000399338
21,-6.31073,-6.3104,0.000380663
22,-6.30943,-6.31036,0.00036591
23,-6.31348,-6.3105,0.000374341
24,-6.3109,-6.31051,0.000359131
25,-6.30995,-6.31049,0.000345458
26,-6.31017,-6.31048,0.000332393
27,-6.31055,-6.31048,0.000320093
28,-6.31358,-6.31059,0.000327207
29,-6.31104,-6.31061,0.000316292
30,-6.31097,-6.31062,0.000305979
31,-6.31219,-6.31067,0.000300285
32,-6.31194,-6.31071,0.000293522
33,-6.30882,-6.31065,0.00029013
34,-6.31434,-6.31076,0.000301234
35,-6.31171,-6.31079,0.000293841
36,-6.31142,-6.31081,0.000286199
37,-6.31048,-6.3108,0.000278597
38,-6.30983,-6.31077,0.000272424
39,-6.30805,-6.3107,0.000274216
40,-6.30979,-6.31068,0.000268305
41,-6.31155,-6.3107,0.00026261
42,-6.31199,-6.31073,0.000258146
43,-6.31179,-6.31076,0.00025331
44,-6.31511,-6.31085,0.000266207
45,-6.30999,-6.31083,0.000260988
46,-6.31255,-6.31087,0.000257975
47,-6.31062,-6.31087,0.000252541
48,-6.31138,-6.31088,0.000247506
49,-6.31183,-6.3109,0.000243217
50,-6.31091,-6.3109,0.000238352
