#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.407302    0.407302           0
           2    0.400108    0.403705  0.00254351
           3    0.422445    0.409952  0.00537466
           4    0.427296    0.414288  0.00550903
           5    0.393098     0.41005  0.00581303
           6    0.406111    0.409393  0.00488112
           7    0.407279    0.409091  0.00419316
           8    0.404408    0.408506  0.00370965
           9    0.433228    0.411253   0.0041929
          10    0.396112    0.409739  0.00403773
          11     0.42539    0.411162  0.00391334
          12    0.401843    0.410385  0.00366346
          13    0.403017    0.409818  0.00342522
          14    0.406933    0.409612  0.00318676
          15    0.419456    0.410268  0.00304112
          16    0.412227    0.410391  0.00285352
          17    0.408667    0.410289  0.00268746
          18    0.408448    0.410187  0.00254011
          19    0.413554    0.410364  0.00241259
          20    0.384956    0.409094  0.00260507
          21    0.423099    0.409761  0.00256497
          22    0.396401    0.409154  0.00251923
          23    0.432304     0.41016  0.00260302
          24    0.379434     0.40888   0.0027917
          25    0.433281    0.409856  0.00284555
          26    0.409869    0.409856  0.00273611
          27     0.40145    0.409545  0.00265242
          28     0.40597    0.409417  0.00256077
          29    0.421359    0.409829  0.00250535
          30    0.406479    0.409717  0.00242433
          31    0.387966    0.409016  0.00244555
          32    0.437416    0.409903  0.00252504
          33    0.409525    0.409892  0.00244854
          34    0.391142     0.40934  0.00243784
          35    0.426638    0.409835  0.00241776
          36    0.402311    0.409626  0.00235962
          37    0.402201    0.409425  0.00230436
          38    0.419787    0.409698   0.0022598
          39    0.407091    0.409631  0.00220284
          40    0.408836    0.409611  0.00214786
          41    0.427063    0.410037  0.00213723
          42    0.375641    0.409218  0.00223776
          43    0.429084     0.40968   0.0022329
          44    0.405163    0.409577  0.00218451
          45    0.403421     0.40944  0.00214025
          46     0.41577    0.409578  0.00209814
          47    0.407862    0.409541  0.00205381
          48    0.400542    0.409354  0.00201957
          49    0.411801    0.409404  0.00197897
          50    0.416813    0.409552  0.00194493
