#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -6.7258     -6.7258           0
           2    -6.49265    -6.60922   0.0824324
           3    -6.76837    -6.66227   0.0699733
           4    -6.63342    -6.65506   0.0528506
           5    -6.69405    -6.66286   0.0428518
           6    -6.60018    -6.65241   0.0369613
           7    -6.71551    -6.66142   0.0327617
           8    -6.69343    -6.66542   0.0289097
           9    -6.63443    -6.66198   0.0259018
          10     -6.6571    -6.66149   0.0233162
          11    -6.67745    -6.66294   0.0212416
          12    -6.65869    -6.66259   0.0194744
          13    -6.63343    -6.66035   0.0181051
          14    -6.73121    -6.66541   0.0175052
          15    -6.59216    -6.66053   0.0170057
          16    -6.70905    -6.66356    0.016211
          17    -6.61303    -6.66059   0.0155275
          18    -6.66924    -6.66107   0.0146723
          19    -6.63682    -6.65979   0.0139555
          20    -6.72137    -6.66287   0.0135932
          21    -6.60561    -6.66014   0.0132165
          22    -6.67667    -6.66089    0.012637
          23    -6.63234    -6.65965   0.0121485
          24     -6.7311    -6.66263   0.0120015
          25    -6.65042    -6.66214   0.0115314
          26    -6.64277     -6.6614   0.0111119
          27    -6.65119    -6.66102   0.0107068
          28    -6.63861    -6.66022   0.0103543
          29     -6.6956    -6.66144   0.0100689
          30    -6.70599    -6.66292  0.00984214
          31    -6.62281    -6.66163  0.00960933
          32    -6.70371    -6.66294   0.0093986
          33    -6.61266    -6.66142  0.00923651
          34    -6.61934    -6.66018  0.00904739
          35    -6.71915    -6.66187  0.00894439
          36    -6.64515     -6.6614  0.00870799
          37    -6.72945    -6.66324  0.00866468
          38    -6.59404    -6.66142  0.00862593
          39    -6.70027    -6.66242  0.00846208
          40    -6.73433    -6.66421  0.00843934
          41    -6.58637    -6.66232  0.00844436
          42    -6.68441    -6.66284  0.00825967
          43    -6.68903    -6.66345  0.00809001
          44     -6.6322    -6.66274  0.00793726
          45    -6.63627    -6.66215  0.00778265
          46    -6.68874    -6.66273  0.00763489
          47    -6.71557    -6.66385  0.00755476
          48    -6.60141    -6.66255  0.00750854
          49    -6.63681    -6.66203  0.00737366
          50    -6.72424    -6.66327   0.0073304
