#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.996816    0.996816           0
           2    0.842783      0.9198   0.0544589
           3     1.02889    0.956162      0.0469
           4     0.93868    0.951792   0.0353781
           5      0.9793    0.957293   0.0287271
           6    0.915064    0.950255   0.0247864
           7    0.994281    0.956545    0.022029
           8    0.979327    0.959392   0.0194586
           9    0.938405     0.95706   0.0174357
          10     0.95324    0.956678   0.0156963
          11     0.96903    0.957801   0.0143095
          12    0.954736    0.957546   0.0131193
          13      0.9403    0.956219    0.012177
          14     1.00303    0.959562   0.0117572
          15    0.911945    0.956388   0.0113939
          16    0.987577    0.958337   0.0108473
          17    0.926048    0.956438   0.0103742
          18    0.960213    0.956648  0.00979995
          19    0.941679     0.95586  0.00931578
          20    0.996276    0.957881  0.00906652
          21    0.919804    0.956067  0.00881423
          22     0.96697    0.956563   0.0084275
          23    0.936773    0.955703  0.00810489
          24     1.00188    0.957627  0.00799235
          25    0.948933    0.957279  0.00768022
          26     0.94303    0.956731  0.00740435
          27    0.948825    0.956438   0.0071359
          28    0.942403    0.955937  0.00689863
          29    0.979759    0.956758  0.00670948
          30    0.986891    0.957763  0.00656058
          31    0.929663    0.956856  0.00641126
          32    0.985212    0.957743  0.00627185
          33    0.924134    0.956724  0.00616393
          34    0.926951    0.955848  0.00604451
          35      0.9949    0.956964   0.0059739
          36    0.943656    0.956595  0.00581939
          37     1.00189    0.957819  0.00578943
          38    0.912552    0.956627  0.00575833
          39    0.982038    0.957279  0.00564742
          40     1.00488    0.958469  0.00563025
          41    0.905564    0.957179  0.00563885
          42    0.970828    0.957504  0.00551395
          43    0.976268     0.95794  0.00540296
          44    0.938274    0.957493  0.00529862
          45    0.939552    0.957094  0.00519585
          46    0.976209     0.95751  0.00509949
          47    0.994011    0.958287  0.00504978
          48    0.915296    0.957391  0.00502337
          49    0.939491    0.957026  0.00493412
          50    0.998631    0.957858   0.0049051
