#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -5.4728     -5.4728           0
           2    -5.46541     -5.4691  0.00261057
           3    -5.46767    -5.46863  0.00178356
           4    -5.46528    -5.46779  0.00152175
           5    -5.46632     -5.4675  0.00124536
           6    -5.46643    -5.46732  0.00105048
           7    -5.46571    -5.46709 0.000925126
           8    -5.46583    -5.46693 0.000822642
           9    -5.46609    -5.46684  0.00073647
          10    -5.46814    -5.46697 0.000674302
          11    -5.46501    -5.46679 0.000636143
          12    -5.46728    -5.46683 0.000584448
          13    -5.46281    -5.46652 0.000615991
          14    -5.46844    -5.46666 0.000587086
          15     -5.4635    -5.46645  0.00058449
          16    -5.46874    -5.46659 0.000565281
          17    -5.46402    -5.46644  0.00055193
          18    -5.46932     -5.4666 0.000543903
          19    -5.46408    -5.46647 0.000531205
          20    -5.46844    -5.46657 0.000513711
          21    -5.46511     -5.4665 0.000493906
          22    -5.46709    -5.46652 0.000472187
          23    -5.46692    -5.46654 0.000451977
          24    -5.47029     -5.4667 0.000459308
          25    -5.46728    -5.46672 0.000441529
          26    -5.46801    -5.46677 0.000427307
          27     -5.4682    -5.46682 0.000414759
          28    -5.46537    -5.46677 0.000403193
          29    -5.46708    -5.46678 0.000389434
          30    -5.46682    -5.46678 0.000376455
          31    -5.46725     -5.4668  0.00036461
          32    -5.46747    -5.46682 0.000353828
          33    -5.46614     -5.4668 0.000343707
          34    -5.46828    -5.46684 0.000336331
          35    -5.46855    -5.46689 0.000330242
          36    -5.46979    -5.46697 0.000330722
          37    -5.46895    -5.46703 0.000326095
          38    -5.46424    -5.46695 0.000325632
          39    -5.46915    -5.46701  0.00032214
          40    -5.46933    -5.46707 0.000319266
          41    -5.46669    -5.46706 0.000311613
          42    -5.46949    -5.46712 0.000309513
          43    -5.46592    -5.46709 0.000303561
          44    -5.46487    -5.46704 0.000300832
          45    -5.46734    -5.46704 0.000294221
          46    -5.46557    -5.46701 0.000289565
          47    -5.46645      -5.467 0.000283653
          48    -5.46767    -5.46701 0.000278082
          49    -5.46707    -5.46701 0.000272409
          50    -5.46844    -5.46704 0.000268443
