BLOCK,ACTUAL_KE,KE_AVE,ERROR
1,0.596163,0.596163,0
2,0.599325,0.597744,0.00111818
3,0.600253,0.59858,0.0010109
4,0.594248,0.597497,0.00120608
5,0.605841,0.599166,0.00177732
6,0.588249,0.597346,0.00222542
7,0.610057,0.599162,0.00254261
8,0.597865,0.599,0.00222995
9,0.595603,0.598623,0.00201387
10,0.602053,0.598966,0.00184147
11,0.598245,0.5989,0.00167523
12,0.597927,0.598819,0.00153758
13,0.599251,0.598852,0.00141967
14,0.596353,0.598674,0.00132944
15,0.60234,0.598918,0.00126307
16,0.599662,0.598965,0.00118499
17,0.601043,0.599087,0.00112157
18,0.597823,0.599017,0.00106146
19,0.60288,0.59922,0.00102488
20,0.597053,0.599112,0.000979349
21,0.596858,0.599004,0.000938574
22,0.603926,0.599228,0.00092219
23,0.59812,0.59918,0.000883352
24,0.599092,0.599176,0.000846553
25,0.595209,0.599018,0.000827433
26,0.59808,0.598981,0.000796394
27,0.594806,0.598827,0.000781772
28,0.599482,0.59885,0.000754202
29,0.597752,0.598812,0.000729144
30,0.59966,0.598841,0.000705387
31,0.599794,0.598871,0.000683303
32,0.599463,0.59889,0.0006622
33,0.597914,0.59886,0.000642793
34,0.597832,0.59883,0.000624599
35,0.598991,0.598835,0.00060677
36,0.601318,0.598904,0.000593824
37,0.598366,0.598889,0.000577953
38,0.600315,0.598927,0.00056396
39,0.596969,0.598876,0.000551728
40,0.602128,0.598958,0.00054389
41,0.594734,0.598855,0.00054029
42,0.600741,0.5989,0.000529289
43,0.597321,0.598863,0.000518252
44,0.599031,0.598867,0.000506487
45,0.599682,0.598885,0.000495556
46,0.604307,0.599003,0.000498607
47,0.595132,0.59892,0.000494752
48,0.598518,0.598912,0.000484515
49,0.599673,0.598928,0.000474877
50,0.596205,0.598873,0.000468491
51,0.595865,0.598814,0.000463003
52,0.60819,0.598994,0.000487942
53,0.593137,0.598884,0.000491091
54,0.602679,0.598954,0.000486999
55,0.59768,0.598931,0.000478696
56,0.602739,0.598999,0.000474952
57,0.596709,0.598959,0.000468315
58,0.601679,0.599006,0.000462584
59,0.595489,0.598946,0.000458567
60,0.59704,0.598914,0.000452023
61,0.598971,0.598915,0.000444614
62,0.602832,0.598978,0.000441907
63,0.59801,0.598963,0.00043516
64,0.595135,0.598903,0.000432451
65,0.59966,0.598915,0.000425955
66,0.601723,0.598957,0.00042162
67,0.601861,0.599001,0.000417548
68,0.59519,0.598945,0.000415152
69,0.601933,0.598988,0.000411388
70,0.59742,0.598966,0.000406121
71,0.600916,0.598993,0.000401329
72,0.598514,0.598987,0.00039581
73,0.598273,0.598977,0.000390509
74,0.598775,0.598974,0.000385241
75,0.594946,0.59892,0.000383829
76,0.59786,0.598906,0.000379032
77,0.598649,0.598903,0.000374124
78,0.598653,0.5989,0.000369342
79,0.599044,0.598902,0.000364671
80,0.598619,0.598898,0.00036013
81,0.593128,0.598827,0.000362661
82,0.602052,0.598866,0.000360365
83,0.59569,0.598828,0.000358049
84,0.606333,0.598917,0.000364765
85,0.595726,0.59888,0.0003624
86,0.59689,0.598857,0.000358924
87,0.599966,0.598869,0.000355025
88,0.598206,0.598862,0.00035107
89,0.599837,0.598873,0.000347297
90,0.599397,0.598879,0.000343487
91,0.598047,0.598869,0.000339834
92,0.599066,0.598872,0.000336147
93,0.603638,0.598923,0.000336417
94,0.596324,0.598895,0.000333972
95,0.596595,0.598871,0.000331333
96,0.600764,0.598891,0.000328468
97,0.596729,0.598868,0.000325837
98,0.59648,0.598844,0.000323422
99,0.605151,0.598908,0.000326368
100,0.598425,0.598903,0.00032314
