BLOCK,ACTUAL_PE,PE_AVE,ERROR
1,-8.069092e+00,-8.069092e+00,0.000000e+00
2,-8.060514e+00,-8.064803e+00,3.033078e-03
3,-8.068725e+00,-8.066110e+00,2.286511e-03
4,-8.059256e+00,-8.064397e+00,2.267872e-03
5,-8.065054e+00,-8.064528e+00,1.818099e-03
6,-8.058638e+00,-8.063546e+00,1.760292e-03
7,-8.066474e+00,-8.063965e+00,1.557703e-03
8,-8.064643e+00,-8.064049e+00,1.365300e-03
9,-8.067723e+00,-8.064458e+00,1.273143e-03
10,-8.053305e+00,-8.063342e+00,1.559568e-03
11,-8.068831e+00,-8.063841e+00,1.495467e-03
12,-8.058745e+00,-8.063417e+00,1.429888e-03
13,-8.064762e+00,-8.063520e+00,1.323639e-03
14,-8.060633e+00,-8.063314e+00,1.245054e-03
15,-8.063973e+00,-8.063358e+00,1.162826e-03
16,-8.060675e+00,-8.063190e+00,1.102172e-03
17,-8.062042e+00,-8.063123e+00,1.039404e-03
18,-8.062195e+00,-8.063071e+00,9.829364e-04
19,-8.062514e+00,-8.063042e+00,9.316403e-04
20,-8.058520e+00,-8.062816e+00,9.120842e-04
21,-8.065632e+00,-8.062950e+00,8.784585e-04
22,-8.064582e+00,-8.063024e+00,8.416572e-04
23,-8.056778e+00,-8.062752e+00,8.477483e-04
24,-8.064868e+00,-8.062841e+00,8.169953e-04
25,-8.058185e+00,-8.062654e+00,8.052552e-04
26,-8.066708e+00,-8.062810e+00,7.892304e-04
27,-8.065953e+00,-8.062927e+00,7.685351e-04
28,-8.060459e+00,-8.062839e+00,7.461236e-04
29,-8.064396e+00,-8.062892e+00,7.223245e-04
30,-8.059772e+00,-8.062788e+00,7.056973e-04
31,-8.063291e+00,-8.062804e+00,6.831195e-04
32,-8.059104e+00,-8.062689e+00,6.714861e-04
33,-8.070716e+00,-8.062932e+00,6.938001e-04
34,-8.064641e+00,-8.062982e+00,6.752124e-04
35,-8.062910e+00,-8.062980e+00,6.559238e-04
36,-8.062855e+00,-8.062977e+00,6.377129e-04
37,-8.061873e+00,-8.062947e+00,6.211750e-04
38,-8.057654e+00,-8.062808e+00,6.202462e-04
39,-8.066681e+00,-8.062907e+00,6.122423e-04
40,-8.060657e+00,-8.062851e+00,5.995135e-04
41,-8.066851e+00,-8.062948e+00,5.927779e-04
42,-8.067075e+00,-8.063047e+00,5.867494e-04
43,-8.053658e+00,-8.062828e+00,6.123796e-04
44,-8.065177e+00,-8.062882e+00,6.007840e-04
45,-8.064348e+00,-8.062914e+00,5.883158e-04
46,-8.057751e+00,-8.062802e+00,5.861361e-04
47,-8.071281e+00,-8.062982e+00,6.007883e-04
48,-8.061543e+00,-8.062952e+00,5.890196e-04
49,-8.058629e+00,-8.062864e+00,5.835694e-04
50,-8.067572e+00,-8.062958e+00,5.794430e-04
51,-8.057777e+00,-8.062857e+00,5.769175e-04
52,-8.064465e+00,-8.062888e+00,5.666511e-04
53,-8.060457e+00,-8.062842e+00,5.578121e-04
54,-8.063150e+00,-8.062847e+00,5.475115e-04
55,-8.066023e+00,-8.062905e+00,5.405929e-04
56,-8.064457e+00,-8.062933e+00,5.316496e-04
57,-8.062852e+00,-8.062931e+00,5.223243e-04
58,-8.061278e+00,-8.062903e+00,5.140963e-04
59,-8.061697e+00,-8.062883e+00,5.057889e-04
60,-8.061856e+00,-8.062865e+00,4.976483e-04
61,-8.061775e+00,-8.062848e+00,4.898112e-04
62,-8.061733e+00,-8.062830e+00,4.822409e-04
63,-8.062632e+00,-8.062826e+00,4.745965e-04
64,-8.065098e+00,-8.062862e+00,4.685067e-04
65,-8.066208e+00,-8.062913e+00,4.641177e-04
66,-8.064534e+00,-8.062938e+00,4.577344e-04
67,-8.061874e+00,-8.062922e+00,4.511781e-04
68,-8.063363e+00,-8.062929e+00,4.445896e-04
69,-8.062624e+00,-8.062924e+00,4.381682e-04
70,-8.058872e+00,-8.062866e+00,4.357151e-04
71,-8.060866e+00,-8.062838e+00,4.304882e-04
72,-8.062324e+00,-8.062831e+00,4.245683e-04
73,-8.065464e+00,-8.062867e+00,4.202815e-04
74,-8.057658e+00,-8.062797e+00,4.204563e-04
75,-8.064670e+00,-8.062822e+00,4.155912e-04
76,-8.063177e+00,-8.062826e+00,4.101492e-04
77,-8.059175e+00,-8.062779e+00,4.075549e-04
78,-8.065793e+00,-8.062817e+00,4.041576e-04
79,-8.063355e+00,-8.062824e+00,3.990990e-04
80,-8.061885e+00,-8.062813e+00,3.942830e-04
81,-8.059283e+00,-8.062769e+00,3.918151e-04
82,-8.065077e+00,-8.062797e+00,3.880465e-04
83,-8.066230e+00,-8.062838e+00,3.855694e-04
84,-8.062553e+00,-8.062835e+00,3.809943e-04
85,-8.061502e+00,-8.062819e+00,3.768348e-04
86,-8.067549e+00,-8.062874e+00,3.764453e-04
87,-8.064730e+00,-8.062896e+00,3.727224e-04
88,-8.060975e+00,-8.062874e+00,3.691258e-04
89,-8.063668e+00,-8.062883e+00,3.650860e-04
90,-8.060802e+00,-8.062860e+00,3.617608e-04
91,-8.060063e+00,-8.062829e+00,3.590881e-04
92,-8.065980e+00,-8.062863e+00,3.568151e-04
93,-8.068383e+00,-8.062923e+00,3.578801e-04
94,-8.060891e+00,-8.062901e+00,3.547249e-04
95,-8.062394e+00,-8.062896e+00,3.510311e-04
96,-8.065648e+00,-8.062924e+00,3.485437e-04
97,-8.064621e+00,-8.062942e+00,3.453889e-04
98,-8.061911e+00,-8.062931e+00,3.420246e-04
99,-8.061581e+00,-8.062918e+00,3.388419e-04
100,-8.062132e+00,-8.062910e+00,3.355445e-04
101,-8.066767e+00,-8.062948e+00,3.343888e-04
102,-8.059353e+00,-8.062913e+00,3.329624e-04
103,-8.067837e+00,-8.062961e+00,3.331450e-04
104,-8.053764e+00,-8.062872e+00,3.414751e-04
105,-8.059794e+00,-8.062843e+00,3.394788e-04
106,-8.065795e+00,-8.062871e+00,3.374168e-04
107,-8.058217e+00,-8.062827e+00,3.370552e-04
108,-8.059164e+00,-8.062793e+00,3.356363e-04
109,-8.065788e+00,-8.062821e+00,3.336797e-04
110,-8.059559e+00,-8.062791e+00,3.319611e-04
111,-8.063076e+00,-8.062794e+00,3.289804e-04
112,-8.063381e+00,-8.062799e+00,3.260849e-04
113,-8.062400e+00,-8.062795e+00,3.232183e-04
114,-8.062890e+00,-8.062796e+00,3.203841e-04
115,-8.063579e+00,-8.062803e+00,3.176704e-04
116,-8.066876e+00,-8.062838e+00,3.168660e-04
117,-8.065768e+00,-8.062863e+00,3.151457e-04
118,-8.063141e+00,-8.062865e+00,3.124837e-04
119,-8.062783e+00,-8.062865e+00,3.098586e-04
120,-8.062387e+00,-8.062861e+00,3.073021e-04
121,-8.056593e+00,-8.062809e+00,3.090977e-04
122,-8.062420e+00,-8.062806e+00,3.065806e-04
123,-8.065225e+00,-8.062825e+00,3.047185e-04
124,-8.059378e+00,-8.062798e+00,3.035265e-04
125,-8.063421e+00,-8.062803e+00,3.011392e-04
126,-8.069643e+00,-8.062857e+00,3.036033e-04
127,-8.060106e+00,-8.062835e+00,3.019842e-04
128,-8.070288e+00,-8.062894e+00,3.051858e-04
129,-8.063104e+00,-8.062895e+00,3.028244e-04
130,-8.060351e+00,-8.062876e+00,3.011266e-04
131,-8.066427e+00,-8.062903e+00,3.000454e-04
132,-8.056849e+00,-8.062857e+00,3.012571e-04
133,-8.070384e+00,-8.062913e+00,3.042616e-04
134,-8.067733e+00,-8.062949e+00,3.041097e-04
135,-8.063683e+00,-8.062955e+00,3.019056e-04
136,-8.056660e+00,-8.062909e+00,3.032134e-04
137,-8.066335e+00,-8.062934e+00,3.020301e-04
138,-8.067738e+00,-8.062968e+00,3.018417e-04
139,-8.060763e+00,-8.062953e+00,3.000869e-04
140,-8.071000e+00,-8.063010e+00,3.033992e-04
141,-8.054376e+00,-8.062949e+00,3.073640e-04
142,-8.065524e+00,-8.062967e+00,3.057339e-04
143,-8.067542e+00,-8.062999e+00,3.052653e-04
144,-8.058100e+00,-8.062965e+00,3.050349e-04
145,-8.066254e+00,-8.062988e+00,3.037733e-04
146,-8.060918e+00,-8.062973e+00,3.020232e-04
147,-8.067401e+00,-8.063004e+00,3.014671e-04
148,-8.063527e+00,-8.063007e+00,2.994509e-04
149,-8.063866e+00,-8.063013e+00,2.974967e-04
150,-8.069448e+00,-8.063056e+00,2.985907e-04
151,-8.060178e+00,-8.063037e+00,2.972209e-04
152,-8.067287e+00,-8.063065e+00,2.965780e-04
153,-8.066342e+00,-8.063086e+00,2.954121e-04
154,-8.060197e+00,-8.063067e+00,2.940889e-04
155,-8.068650e+00,-8.063103e+00,2.943885e-04
156,-8.055743e+00,-8.063056e+00,2.962579e-04
157,-8.067876e+00,-8.063087e+00,2.959572e-04
158,-8.064521e+00,-8.063096e+00,2.942231e-04
159,-8.060741e+00,-8.063081e+00,2.927452e-04
