BLOCK,ACTUAL_P,P_AVE,ERROR
1,-1.23082,-1.23082,0
2,-1.22864,-1.22973,0.000773592
3,-1.22794,-1.22913,0.00071027
4,-1.23201,-1.22985,0.000819592
5,-1.22408,-1.2287,0.0012229
6,-1.23609,-1.22993,0.00151797
7,-1.22134,-1.2287,0.00172716
8,-1.22956,-1.22881,0.00151458
9,-1.23105,-1.22906,0.00136662
10,-1.22672,-1.22882,0.00124979
11,-1.22926,-1.22886,0.00113679
12,-1.22945,-1.22891,0.00104312
13,-1.22859,-1.22889,0.000963164
14,-1.23066,-1.22902,0.000902625
15,-1.22662,-1.22886,0.000856449
16,-1.22838,-1.22883,0.000803446
17,-1.22744,-1.22874,0.000760301
18,-1.22961,-1.22879,0.000719584
19,-1.22621,-1.22866,0.000694408
20,-1.23016,-1.22873,0.000663751
21,-1.23029,-1.22881,0.000636264
22,-1.22561,-1.22866,0.000623749
23,-1.22947,-1.2287,0.000597634
24,-1.22881,-1.2287,0.000572751
25,-1.23146,-1.22881,0.00056039
26,-1.22949,-1.22884,0.000539454
27,-1.23176,-1.22895,0.000530191
28,-1.22862,-1.22893,0.000511386
29,-1.22973,-1.22896,0.000494498
30,-1.22839,-1.22894,0.000478383
31,-1.22831,-1.22892,0.000463379
32,-1.22851,-1.22891,0.000449074
33,-1.22957,-1.22893,0.00043591
34,-1.2296,-1.22895,0.000423532
35,-1.22876,-1.22894,0.000411465
36,-1.22724,-1.2289,0.000402731
37,-1.22922,-1.2289,0.000391944
38,-1.22803,-1.22888,0.000382312
39,-1.23024,-1.22892,0.000374092
40,-1.22676,-1.22886,0.000368602
41,-1.23177,-1.22893,0.000366387
42,-1.2277,-1.2289,0.000358836
43,-1.22999,-1.22893,0.000351381
44,-1.22883,-1.22893,0.000343403
45,-1.22843,-1.22892,0.00033595
46,-1.22534,-1.22884,0.000337526
47,-1.23149,-1.22889,0.000335038
48,-1.22915,-1.2289,0.000328101
49,-1.22836,-1.22889,0.000321594
50,-1.23081,-1.22893,0.000317445
51,-1.23103,-1.22897,0.000313895
52,-1.22262,-1.22885,0.000330785
53,-1.23288,-1.22892,0.000333179
54,-1.22638,-1.22888,0.000330326
55,-1.22981,-1.22889,0.000324756
56,-1.22635,-1.22885,0.000322106
57,-1.23044,-1.22888,0.000317658
58,-1.22717,-1.22885,0.000313539
59,-1.23123,-1.22889,0.000310821
60,-1.23034,-1.22891,0.000306581
61,-1.22884,-1.22891,0.000301557
62,-1.22628,-1.22887,0.00029965
63,-1.22954,-1.22888,0.000295087
64,-1.2316,-1.22892,0.000293536
65,-1.22855,-1.22891,0.000289076
66,-1.22708,-1.22889,0.000286025
67,-1.22691,-1.22886,0.000283275
68,-1.23142,-1.22889,0.000281604
69,-1.22689,-1.22887,0.000279013
70,-1.22991,-1.22888,0.000275422
71,-1.22754,-1.22886,0.000272185
72,-1.22924,-1.22887,0.000268455
73,-1.22941,-1.22887,0.000264881
74,-1.22907,-1.22888,0.000261314
75,-1.23176,-1.22892,0.000260637
76,-1.22979,-1.22893,0.000257461
77,-1.22914,-1.22893,0.000254132
78,-1.22917,-1.22893,0.000250892
79,-1.22887,-1.22893,0.000247717
80,-1.22918,-1.22894,0.00024464
81,-1.2329,-1.22898,0.00024646
82,-1.22676,-1.22896,0.000244936
83,-1.2311,-1.22898,0.000243336
84,-1.22384,-1.22892,0.000248027
85,-1.23111,-1.22895,0.000246445
86,-1.23019,-1.22896,0.000244002
87,-1.22818,-1.22895,0.000241362
88,-1.22942,-1.22896,0.000238677
89,-1.22822,-1.22895,0.000236139
90,-1.22866,-1.22895,0.000233537
91,-1.22944,-1.22895,0.000231035
92,-1.22878,-1.22895,0.000228531
93,-1.22567,-1.22892,0.000228781
94,-1.2305,-1.22893,0.000226965
95,-1.23048,-1.22895,0.000225164
96,-1.22753,-1.22893,0.0002233
97,-1.23032,-1.22895,0.000221458
98,-1.23062,-1.22896,0.00021985
99,-1.2246,-1.22892,0.000222009
100,-1.22926,-1.22892,0.000219815
