#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.960277    0.960277           0
           2    0.966784     0.96353  0.00230056
           3    0.954956    0.960672  0.00279243
           4    0.960704     0.96068  0.00209433
           5    0.957944    0.960133  0.00174551
           6    0.961006    0.960279  0.00146065
           7    0.957973    0.959949  0.00128859
           8    0.951155     0.95885    0.001526
           9    0.969959    0.960084  0.00178726
          10    0.958867    0.959962  0.00161268
          11    0.954929    0.959505  0.00152961
          12    0.962556    0.959759  0.00142311
          13    0.954331    0.959342  0.00137353
          14    0.963642    0.959649  0.00130932
          15    0.956274    0.959424  0.00124121
          16    0.961638    0.959562  0.00117132
          17    0.963472    0.959792  0.00112478
          18    0.954667    0.959507  0.00109774
          19    0.959654    0.959515  0.00103999
          20    0.962723    0.959676  0.00100029
          21    0.952018    0.959311  0.00101694
          22    0.951372     0.95895  0.00103276
          23    0.957377    0.958882 0.000990124
          24    0.961279    0.958982 0.000953894
          25    0.962589    0.959126 0.000926586
          26    0.958398    0.959098  0.00089137
          27    0.958259    0.959067 0.000858898
          28    0.957109    0.958997 0.000831065
          29    0.959352    0.959009 0.000802497
          30    0.953451    0.958824 0.000796848
          31    0.960204    0.958868 0.000772387
          32    0.965007     0.95906 0.000771702
          33    0.962279    0.959158 0.000754456
          34    0.955929    0.959063 0.000738217
          35    0.955662    0.958966 0.000723492
          36    0.965821    0.959156 0.000728028
          37    0.958261    0.959132 0.000708753
          38    0.954813    0.959018 0.000699153
          39    0.955053    0.958917  0.00068858
          40    0.964522    0.959057 0.000685475
          41    0.957647    0.959022 0.000669618
          42    0.952526    0.958868 0.000671304
          43    0.972996    0.959196 0.000731696
          44    0.954761    0.959095 0.000721976
          45    0.958158    0.959075 0.000706232
          46    0.958446    0.959061 0.000691012
          47    0.953293    0.958938 0.000687121
          48     0.96391    0.959042  0.00068057
          49    0.950531    0.958868 0.000688485
          50      0.9601    0.958893 0.000675156
          51     0.96171    0.958948 0.000664173
          52    0.959104    0.958951 0.000651407
          53    0.957326     0.95892 0.000639838
          54    0.960603    0.958951 0.000628747
          55    0.947603    0.958745 0.000650291
          56    0.964837    0.958854 0.000647714
          57    0.959792     0.95887  0.00063656
          58    0.960893    0.958905  0.00062654
          59    0.953331    0.958811 0.000623004
          60    0.961821    0.958861 0.000614637
          61    0.957902    0.958845 0.000604762
          62    0.965143    0.958947 0.000603479
          63    0.956046    0.958901 0.000595654
          64    0.956661    0.958866 0.000587374
          65    0.958757    0.958864  0.00057834
          66    0.965757    0.958968  0.00057893
          67    0.954081    0.958896 0.000574866
          68    0.951776    0.958791 0.000575868
          69    0.957297    0.958769 0.000567929
          70     0.94744    0.958607  0.00058242
          71    0.956627    0.958579 0.000574884
          72    0.957212     0.95856 0.000567213
          73    0.954133      0.9585 0.000562676
          74    0.958378    0.958498 0.000555075
          75    0.955265    0.958455 0.000549345
          76    0.955397    0.958415 0.000543588
          77    0.956261    0.958387 0.000537248
          78    0.953614    0.958326 0.000533833
          79    0.958657     0.95833 0.000527092
          80    0.956571    0.958308 0.000520961
          81    0.955984    0.958279 0.000515319
          82     0.95894    0.958287 0.000509098
          83     0.95705    0.958272 0.000503182
          84    0.963572    0.958335 0.000501132
          85    0.944093    0.958168 0.000522499
          86    0.962966    0.958224 0.000519394
          87    0.958068    0.958222 0.000513427
          88    0.961098    0.958255 0.000508632
          89    0.965867     0.95834 0.000510059
          90    0.958128    0.958338 0.000504397
          91    0.955906    0.958311 0.000499561
          92    0.972964     0.95847   0.0005189
          93    0.947845    0.958356 0.000525747
          94    0.952898    0.958298 0.000523351
          95    0.962624    0.958343 0.000519819
          96    0.951979    0.958277 0.000518615
          97    0.959386    0.958289 0.000513395
          98    0.958163    0.958287 0.000508158
          99    0.953974    0.958244 0.000504889
         100     0.95664    0.958228 0.000500095
