BLOCK,ACTUAL_T,T_AVE,ERROR
1,0.356279,0.356279,0
2,0.352445,0.354362,0.00135561
3,0.35603,0.354918,0.0010114
4,0.353185,0.354485,0.000846321
5,0.352381,0.354064,0.000774584
6,0.354054,0.354062,0.000645488
7,0.356343,0.354388,0.000630144
8,0.352132,0.354106,0.000611261
9,0.35468,0.35417,0.000546653
10,0.352997,0.354053,0.000504415
11,0.353417,0.353995,0.000461862
12,0.356755,0.354225,0.000477222
13,0.352068,0.354059,0.000468476
14,0.352354,0.353937,0.000450554
15,0.35138,0.353767,0.000451607
16,0.357028,0.35397,0.000467126
17,0.354298,0.35399,0.000440046
18,0.350682,0.353806,0.000452334
19,0.354592,0.353847,0.000430416
20,0.35638,0.353974,0.000427114
21,0.356096,0.354075,0.000418558
22,0.351679,0.353966,0.000413463
23,0.355484,0.354032,0.000400719
24,0.356109,0.354119,0.000393255
25,0.354962,0.354152,0.000378969
26,0.352958,0.354106,0.000367169
27,0.355155,0.354145,0.000355619
28,0.352941,0.354102,0.000345511
29,0.353607,0.354085,0.000334018
30,0.356334,0.35416,0.000331185
31,0.352052,0.354092,0.000327412
32,0.356058,0.354154,0.000322891
33,0.353544,0.354135,0.000313634
34,0.355439,0.354173,0.000306744
35,0.353263,0.354147,0.000299081
36,0.354995,0.354171,0.000291698
37,0.354058,0.354168,0.000283831
38,0.353695,0.354155,0.000276634
39,0.352808,0.354121,0.00027169
40,0.353009,0.354093,0.000266316
41,0.356936,0.354162,0.000268693
42,0.352537,0.354124,0.00026507
43,0.355792,0.354163,0.000261729
44,0.35132,0.354098,0.000263635
45,0.354874,0.354115,0.00025834
46,0.353073,0.354092,0.000253716
47,0.351431,0.354036,0.000254557
48,0.356098,0.354079,0.000252852
49,0.352952,0.354056,0.000248735
50,0.3544,0.354063,0.000243855
51,0.354124,0.354064,0.000239077
52,0.351953,0.354023,0.000237901
53,0.355093,0.354043,0.000234267
54,0.351095,0.353989,0.000236208
55,0.35635,0.354032,0.000235783
56,0.355245,0.354053,0.000232566
57,0.350424,0.35399,0.000237045
58,0.354527,0.353999,0.000233139
59,0.351061,0.353949,0.000234447
60,0.356797,0.353997,0.000235295
61,0.352303,0.353969,0.00023307
62,0.355891,0.354,0.000231365
63,0.352838,0.353982,0.000228426
64,0.355313,0.354002,0.000225802
65,0.353622,0.353996,0.000222404
66,0.354397,0.354003,0.000219117
67,0.350384,0.353949,0.000222402
68,0.356384,0.353984,0.000221996
69,0.351038,0.353942,0.000222846
70,0.355437,0.353963,0.000220684
71,0.352875,0.353948,0.000218107
72,0.354014,0.353949,0.00021508
73,0.35423,0.353952,0.000212168
74,0.353172,0.353942,0.000209563
75,0.3544,0.353948,0.000206858
76,0.355776,0.353972,0.00020553
77,0.352204,0.353949,0.00020414
78,0.353929,0.353949,0.000201523
79,0.355007,0.353962,0.000199416
80,0.354201,0.353965,0.000196946
81,0.351195,0.353931,0.000197462
82,0.351818,0.353905,0.000196728
83,0.35511,0.35392,0.000194893
84,0.355708,0.353941,0.000193731
85,0.353997,0.353942,0.000191453
86,0.352036,0.35392,0.000190504
87,0.35547,0.353937,0.000189146
88,0.35295,0.353926,0.000187329
89,0.355949,0.353949,0.000186598
90,0.353459,0.353943,0.000184604
91,0.352788,0.353931,0.000183012
92,0.354289,0.353935,0.000181064
93,0.352265,0.353917,0.000180005
94,0.354467,0.353923,0.000178185
95,0.354765,0.353931,0.00017653
