#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.799605    0.799605           0
           2    0.805976     0.80279  0.00225238
           3    0.794645    0.800075  0.00267763
           4    0.800172    0.800099  0.00200833
           5    0.797476    0.799574  0.00167381
           6    0.800491    0.799727   0.0014018
           7    0.797618    0.799426  0.00123351
           8    0.790664    0.798331   0.0014881
           9    0.809147    0.799532  0.00174168
          10    0.798299    0.799409  0.00157188
          11    0.794246     0.79894  0.00149741
          12    0.801879    0.799185  0.00139251
          13     0.79364    0.798758  0.00134914
          14    0.802982     0.79906  0.00128606
          15    0.795648    0.798832  0.00122027
          16    0.801061    0.798972  0.00115193
          17    0.803007    0.799209  0.00110835
          18    0.794033    0.798922  0.00108343
          19    0.799026    0.798927  0.00102642
          20    0.802081    0.799085 0.000987141
          21    0.791626     0.79873  0.00100199
          22    0.790904    0.798374  0.00101762
          23    0.796766    0.798304 0.000975777
          24    0.800732    0.798405 0.000940352
          25    0.802085    0.798552 0.000914186
          26    0.797912    0.798528 0.000879357
          27     0.79766    0.798496 0.000847375
          28    0.796544    0.798426 0.000819972
          29    0.798838     0.79844  0.00079182
          30     0.79312    0.798263 0.000785033
          31    0.799665    0.798308 0.000761012
          32     0.80427    0.798494 0.000759698
          33    0.801392    0.798582 0.000741733
          34    0.795302    0.798486 0.000726163
          35    0.795337    0.798396 0.000710966
          36    0.805341    0.798589 0.000716914
          37    0.798007    0.798573  0.00069771
          38    0.794352    0.798462 0.000688135
          39     0.79471    0.798366  0.00067718
          40    0.803876    0.798503 0.000674118
          41    0.797202    0.798472 0.000658423
          42    0.792097     0.79832 0.000660009
          43    0.812246    0.798644 0.000719741
          44    0.794319    0.798545 0.000710063
          45    0.797717    0.798527 0.000694522
          46    0.798221     0.79852 0.000679455
          47     0.79301    0.798403 0.000675039
          48     0.80336    0.798506 0.000668829
          49    0.790282    0.798339 0.000675913
          50    0.799632    0.798364  0.00066289
          51    0.801038    0.798417 0.000651961
          52    0.798752    0.798423 0.000639456
          53    0.796889    0.798394 0.000628045
          54    0.800155    0.798427 0.000617261
          55    0.787359    0.798226 0.000637998
          56    0.804283    0.798334 0.000635707
          57    0.799408    0.798353 0.000624833
          58    0.800368    0.798388 0.000615026
          59    0.793041    0.798297  0.00061124
          60    0.800893     0.79834 0.000602583
          61    0.797482    0.798326 0.000592869
          62    0.804075    0.798419 0.000590511
          63    0.795559    0.798373  0.00058288
          64    0.796288    0.798341 0.000574682
          65    0.798335    0.798341 0.000565841
          66    0.805022    0.798442 0.000566252
          67     0.79397    0.798375  0.00056172
          68    0.791574    0.798275 0.000562294
          69    0.796955    0.798256  0.00055447
          70    0.787121    0.798097 0.000568909
          71    0.796347    0.798072 0.000561429
          72    0.796805    0.798055 0.000553907
          73    0.793747    0.797996 0.000549454
          74     0.79806    0.797997  0.00054203
          75    0.794908    0.797955 0.000536365
          76     0.79505    0.797917 0.000530668
          77    0.795877    0.797891 0.000524437
          78    0.793155     0.79783 0.000521217
          79    0.798245    0.797835 0.000514645
          80      0.7961    0.797814 0.000508669
          81    0.795388    0.797784  0.00050327
          82    0.798145    0.797788 0.000497152
          83    0.796656    0.797774 0.000491349
          84    0.803076    0.797838 0.000489536
          85    0.784017    0.797675 0.000510063
          86    0.802392     0.79773 0.000507073
          87    0.797743     0.79773 0.000501244
          88    0.800533    0.797762 0.000496559
          89    0.805188    0.797845 0.000497942
          90     0.79766    0.797843 0.000492413
          91    0.795432    0.797817 0.000487714
          92    0.812163    0.797973  0.00050673
          93    0.787717    0.797862  0.00051314
          94    0.792497    0.797805 0.000510845
          95    0.802095     0.79785  0.00050746
          96    0.791678    0.797786 0.000506231
          97    0.798879    0.797797 0.000501137
          98    0.797709    0.797796 0.000496024
          99    0.793521    0.797753  0.00049289
         100    0.796136    0.797737 0.000488227
