BLOCK,ACTUAL_TE,TE_AVE,ERROR
1,-7.456140e+00,-7.456140e+00,0.000000e+00
2,-7.453612e+00,-7.454876e+00,8.935062e-04
3,-7.453302e+00,-7.454351e+00,7.337043e-04
4,-7.452923e+00,-7.453994e+00,6.312198e-04
5,-7.452536e+00,-7.453703e+00,5.683754e-04
6,-7.452286e+00,-7.453466e+00,5.203960e-04
7,-7.453399e+00,-7.453457e+00,4.461439e-04
8,-7.453774e+00,-7.453496e+00,3.921333e-04
9,-7.453788e+00,-7.453529e+00,3.498971e-04
10,-7.452221e+00,-7.453398e+00,3.384563e-04
11,-7.452897e+00,-7.453352e+00,3.107402e-04
12,-7.451933e+00,-7.453234e+00,3.065248e-04
13,-7.452849e+00,-7.453205e+00,2.843782e-04
14,-7.452779e+00,-7.453174e+00,2.656852e-04
15,-7.451500e+00,-7.453063e+00,2.704042e-04
16,-7.452834e+00,-7.453048e+00,2.538802e-04
17,-7.453637e+00,-7.453083e+00,2.413001e-04
18,-7.452850e+00,-7.453070e+00,2.282416e-04
19,-7.452198e+00,-7.453024e+00,2.207947e-04
20,-7.452870e+00,-7.453016e+00,2.098896e-04
21,-7.453231e+00,-7.453027e+00,2.001425e-04
22,-7.451911e+00,-7.452976e+00,1.973667e-04
23,-7.451148e+00,-7.452896e+00,2.041637e-04
24,-7.453435e+00,-7.452919e+00,1.968887e-04
25,-7.453312e+00,-7.452935e+00,1.896397e-04
26,-7.453243e+00,-7.452946e+00,1.827162e-04
27,-7.452697e+00,-7.452937e+00,1.761824e-04
28,-7.453819e+00,-7.452969e+00,1.726821e-04
29,-7.453367e+00,-7.452982e+00,1.672725e-04
30,-7.452877e+00,-7.452979e+00,1.617335e-04
31,-7.452756e+00,-7.452972e+00,1.566760e-04
32,-7.452847e+00,-7.452968e+00,1.518283e-04
33,-7.453074e+00,-7.452971e+00,1.472617e-04
34,-7.455345e+00,-7.453041e+00,1.586259e-04
35,-7.452962e+00,-7.453039e+00,1.541097e-04
36,-7.452427e+00,-7.453022e+00,1.507611e-04
37,-7.452258e+00,-7.453001e+00,1.480910e-04
38,-7.452735e+00,-7.452994e+00,1.443589e-04
39,-7.453797e+00,-7.453015e+00,1.421194e-04
40,-7.451460e+00,-7.452976e+00,1.437845e-04
41,-7.454633e+00,-7.453016e+00,1.458459e-04
42,-7.454423e+00,-7.453050e+00,1.461688e-04
43,-7.453098e+00,-7.453051e+00,1.427738e-04
44,-7.453456e+00,-7.453060e+00,1.398250e-04
45,-7.452234e+00,-7.453042e+00,1.379179e-04
46,-7.452411e+00,-7.453028e+00,1.355984e-04
47,-7.454666e+00,-7.453063e+00,1.371194e-04
48,-7.453464e+00,-7.453071e+00,1.345177e-04
49,-7.453580e+00,-7.453082e+00,1.321725e-04
50,-7.453178e+00,-7.453083e+00,1.295432e-04
51,-7.452485e+00,-7.453072e+00,1.275338e-04
52,-7.451947e+00,-7.453050e+00,1.269030e-04
53,-7.453449e+00,-7.453058e+00,1.247314e-04
54,-7.453040e+00,-7.453057e+00,1.224220e-04
55,-7.453448e+00,-7.453064e+00,1.204024e-04
56,-7.453967e+00,-7.453081e+00,1.193270e-04
57,-7.452773e+00,-7.453075e+00,1.173556e-04
58,-7.452162e+00,-7.453059e+00,1.163827e-04
59,-7.452386e+00,-7.453048e+00,1.149682e-04
60,-7.452776e+00,-7.453043e+00,1.131413e-04
61,-7.452243e+00,-7.453030e+00,1.120454e-04
62,-7.452310e+00,-7.453019e+00,1.108394e-04
63,-7.453554e+00,-7.453027e+00,1.094051e-04
64,-7.454710e+00,-7.453053e+00,1.108106e-04
65,-7.453043e+00,-7.453053e+00,1.091059e-04
66,-7.452907e+00,-7.453051e+00,1.074754e-04
67,-7.452400e+00,-7.453041e+00,1.063103e-04
68,-7.452405e+00,-7.453032e+00,1.051585e-04
69,-7.452418e+00,-7.453023e+00,1.040100e-04
70,-7.450619e+00,-7.452989e+00,1.080467e-04
71,-7.452252e+00,-7.452978e+00,1.070226e-04
72,-7.454020e+00,-7.452993e+00,1.065103e-04
73,-7.452415e+00,-7.452985e+00,1.053452e-04
74,-7.451437e+00,-7.452964e+00,1.059789e-04
75,-7.453226e+00,-7.452968e+00,1.046236e-04
76,-7.452752e+00,-7.452965e+00,1.032855e-04
77,-7.452074e+00,-7.452953e+00,1.025904e-04
78,-7.453470e+00,-7.452960e+00,1.014893e-04
79,-7.453069e+00,-7.452961e+00,1.002140e-04
80,-7.452878e+00,-7.452960e+00,9.896679e-05
81,-7.453461e+00,-7.452966e+00,9.793838e-05
82,-7.452591e+00,-7.452962e+00,9.685111e-05
83,-7.453892e+00,-7.452973e+00,9.633122e-05
84,-7.452742e+00,-7.452970e+00,9.522373e-05
85,-7.452929e+00,-7.452970e+00,9.410469e-05
86,-7.452647e+00,-7.452966e+00,9.308524e-05
87,-7.451905e+00,-7.452954e+00,9.281080e-05
88,-7.453645e+00,-7.452962e+00,9.208772e-05
89,-7.452504e+00,-7.452956e+00,9.119654e-05
90,-7.451815e+00,-7.452944e+00,9.106124e-05
91,-7.451890e+00,-7.452932e+00,9.079447e-05
92,-7.452295e+00,-7.452925e+00,9.007096e-05
93,-7.453436e+00,-7.452931e+00,8.926989e-05
94,-7.453612e+00,-7.452938e+00,8.861353e-05
95,-7.453960e+00,-7.452949e+00,8.833192e-05
96,-7.452835e+00,-7.452948e+00,8.741970e-05
97,-7.453494e+00,-7.452953e+00,8.669952e-05
98,-7.453817e+00,-7.452962e+00,8.626184e-05
99,-7.452562e+00,-7.452958e+00,8.548484e-05
100,-7.453963e+00,-7.452968e+00,8.521899e-05
101,-7.453858e+00,-7.452977e+00,8.482964e-05
102,-7.451640e+00,-7.452964e+00,8.500483e-05
103,-7.453522e+00,-7.452969e+00,8.435202e-05
104,-7.451029e+00,-7.452950e+00,8.557974e-05
105,-7.450938e+00,-7.452931e+00,8.688447e-05
106,-7.452327e+00,-7.452926e+00,8.625132e-05
107,-7.452152e+00,-7.452918e+00,8.574774e-05
108,-7.452519e+00,-7.452915e+00,8.503341e-05
