#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.46784    -5.46784           0
           2    -5.46654    -5.46719 0.000459321
           3    -5.46679    -5.46706 0.000325292
           4    -5.46754    -5.46718 0.000265418
           5     -5.4666    -5.46706 0.000235956
           6     -5.4667      -5.467 0.000204308
           7    -5.46712    -5.46702  0.00017576
           8    -5.46667    -5.46698  0.00015895
           9    -5.46743    -5.46703 0.000149197
          10    -5.46607    -5.46693 0.000162314
          11     -5.4669    -5.46693 0.000147576
          12    -5.46683    -5.46692 0.000135522
          13    -5.46619    -5.46686 0.000136242
          14     -5.4678    -5.46693 0.000141934
          15    -5.46563    -5.46684 0.000156824
          16    -5.46663    -5.46683 0.000147584
          17    -5.46679    -5.46683 0.000138918
          18    -5.46575    -5.46677 0.000143501
          19    -5.46648    -5.46675 0.000136746
          20    -5.46771     -5.4668 0.000138062
          21    -5.46496    -5.46671  0.00015699
          22    -5.46649     -5.4667 0.000150172
          23    -5.46624    -5.46668 0.000144994
          24    -5.46681    -5.46669 0.000139057
          25    -5.46732    -5.46671 0.000135745
          26    -5.46812    -5.46677 0.000140892
          27    -5.46681    -5.46677 0.000135681
          28    -5.46657    -5.46676 0.000131027
          29    -5.46669    -5.46676 0.000126529
          30    -5.46834    -5.46681 0.000132824
          31    -5.46604    -5.46679 0.000130829
          32    -5.46764    -5.46681 0.000129423
          33    -5.46698    -5.46682 0.000125594
          34     -5.4668    -5.46682 0.000121901
          35    -5.46633     -5.4668 0.000119224
          36    -5.46685    -5.46681 0.000115918
          37    -5.46703    -5.46681 0.000112945
          38    -5.46736    -5.46683 0.000110884
          39    -5.46676    -5.46682 0.000108053
          40    -5.46542    -5.46679 0.000110895
          41     -5.4652    -5.46675 0.000114786
          42     -5.4664    -5.46674 0.000112353
          43    -5.46592    -5.46672 0.000111361
          44    -5.46712    -5.46673 0.000109191
          45    -5.46542     -5.4667 0.000110576
          46    -5.46691    -5.46671 0.000108262
          47    -5.46664    -5.46671 0.000105968
          48    -5.46767    -5.46673 0.000105662
          49    -5.46656    -5.46672 0.000103558
          50    -5.46669    -5.46672 0.000101488
          51    -5.46675    -5.46672 9.94996e-05
          52    -5.46615    -5.46671 9.81852e-05
          53    -5.46764    -5.46673 9.78749e-05
          54    -5.46689    -5.46673 9.61097e-05
          55    -5.46705    -5.46674 9.45317e-05
          56    -5.46603    -5.46672 9.36925e-05
          57    -5.46626    -5.46672 9.24012e-05
          58    -5.46575     -5.4667 9.23106e-05
          59    -5.46494    -5.46667 9.54314e-05
          60    -5.46711    -5.46668 9.41267e-05
          61    -5.46669    -5.46668 9.25839e-05
          62    -5.46672    -5.46668 9.10936e-05
          63    -5.46645    -5.46667 8.97229e-05
          64    -5.46667    -5.46667  8.8321e-05
          65    -5.46606    -5.46667 8.74669e-05
          66    -5.46756    -5.46668 8.71876e-05
          67    -5.46597    -5.46667 8.65189e-05
          68    -5.46724    -5.46668 8.56544e-05
          69     -5.4662    -5.46667 8.46957e-05
          70    -5.46516    -5.46665 8.61721e-05
          71    -5.46611    -5.46664 8.52907e-05
          72    -5.46641    -5.46664  8.4166e-05
          73    -5.46534    -5.46662 8.48695e-05
          74    -5.46701    -5.46663 8.38885e-05
          75    -5.46621    -5.46662 8.29537e-05
          76    -5.46748    -5.46663 8.26262e-05
          77    -5.46448     -5.4666 8.61626e-05
          78    -5.46618     -5.4666 8.52315e-05
          79    -5.46664     -5.4666 8.41541e-05
          80    -5.46712     -5.4666 8.33543e-05
          81     -5.4676    -5.46662 8.32198e-05
          82    -5.46745    -5.46663 8.28178e-05
          83    -5.46623    -5.46662  8.1955e-05
          84    -5.46655    -5.46662  8.0984e-05
          85    -5.46639    -5.46662 8.00773e-05
          86    -5.46668    -5.46662 7.91494e-05
          87    -5.46699    -5.46662 7.83567e-05
          88    -5.46633    -5.46662 7.75386e-05
          89    -5.46758    -5.46663 7.74083e-05
          90    -5.46595    -5.46662 7.69203e-05
          91     -5.4672    -5.46663 7.63337e-05
          92    -5.46786    -5.46664 7.66645e-05
          93    -5.46555    -5.46663 7.67332e-05
          94    -5.46634    -5.46663 7.59783e-05
          95    -5.46494    -5.46661 7.72351e-05
          96    -5.46672    -5.46661 7.64387e-05
          97    -5.46568     -5.4666  7.6252e-05
          98    -5.46544    -5.46659 7.63922e-05
          99    -5.46521    -5.46658 7.68777e-05
         100    -5.46523    -5.46656 7.72735e-05
