blocks,extractions,radius,error
1,20000,5.08478,0
2,40000,5.08017,0.00460926
3,60000,5.08854,0.00878801
4,80000,5.08438,0.0074813
5,100000,5.05827,0.0267416
6,120000,5.05403,0.0222429
7,140000,5.06188,0.0203732
8,160000,5.04485,0.0245222
9,180000,5.03997,0.0221715
10,200000,5.03807,0.0199214
11,220000,5.03561,0.0181861
12,240000,5.02837,0.0181146
13,260000,5.0203,0.0185102
14,280000,5.01227,0.0189253
15,300000,5.01231,0.0176185
16,320000,5.0104,0.016591
17,340000,5.00907,0.0156414
18,360000,5.00109,0.0167642
19,380000,5.009,0.0177206
20,400000,5.01448,0.0176803
21,420000,5.01331,0.016858
22,440000,5.00728,0.0171676
23,460000,4.99792,0.0188836
24,480000,4.99775,0.0180804
25,500000,5.00001,0.0174881
26,520000,5.00429,0.0173394
27,540000,5.00131,0.0169496
28,560000,4.99955,0.0164278
29,580000,5.00323,0.0162745
30,600000,5.00869,0.0166422
31,620000,5.00875,0.0160965
32,640000,5.00768,0.0156223
33,660000,5.00756,0.015142
34,680000,5.0094,0.0148052
35,700000,5.00849,0.0144046
36,720000,5.01066,0.0141656
37,740000,5.01204,0.0138458
38,760000,5.01426,0.013659
39,780000,5.01591,0.0134054
40,800000,5.01433,0.0131603
41,820000,5.01582,0.0129212
42,840000,5.01308,0.0129044
43,860000,5.01441,0.0126709
44,880000,5.01463,0.0123816
45,900000,5.01491,0.0121065
46,920000,5.0161,0.0119003
47,940000,5.01585,0.0116471
48,960000,5.01771,0.011552
49,980000,5.01806,0.0113193
50,1000000,5.01797,0.011091
51,1020000,5.01685,0.0109289
52,1040000,5.0142,0.0110399
53,1060000,5.01507,0.0108649
54,1080000,5.01553,0.0106717
55,1100000,5.01476,0.010504
56,1120000,5.01531,0.010329
57,1140000,5.01412,0.0102148
58,1160000,5.0138,0.0100426
59,1180000,5.0151,0.00995715
60,1200000,5.01716,0.0100044
61,1220000,5.01664,0.00985298
62,1240000,5.01456,0.00991246
63,1260000,5.0136,0.00980137
64,1280000,5.01203,0.00977483
