blocks,extractions,radius,error
1,20000,7.12373,0
2,40000,6.0645,1.05923
3,60000,5.72736,0.698321
4,80000,5.56621,0.519418
5,100000,5.4549,0.417454
6,120000,5.4012,0.345055
7,140000,5.33534,0.298968
8,160000,5.27524,0.265797
9,180000,5.23054,0.238634
10,200000,5.19759,0.21597
11,220000,5.17502,0.196652
12,240000,5.15706,0.180414
13,260000,5.1499,0.166111
14,280000,5.14708,0.153815
15,300000,5.13706,0.143544
16,320000,5.13046,0.134435
17,340000,5.12007,0.126707
18,360000,5.11613,0.119525
19,380000,5.1114,0.113158
20,400000,5.10722,0.107433
21,420000,5.10302,0.102275
22,440000,5.10529,0.0975419
23,460000,5.09971,0.0933716
24,480000,5.09517,0.0895116
25,500000,5.09336,0.0858757
26,520000,5.0874,0.0827213
27,540000,5.0823,0.0797617
28,560000,5.08535,0.0769207
29,580000,5.09041,0.0743932
30,600000,5.09809,0.0722796
31,620000,5.094,0.0700286
32,640000,5.08827,0.0680471
33,660000,5.08306,0.066158
34,680000,5.07795,0.0643857
35,700000,5.07562,0.0625626
36,720000,5.07117,0.0609619
37,740000,5.06759,0.0593998
38,760000,5.06353,0.0579579
39,780000,5.06073,0.0565215
40,800000,5.05896,0.0551186
41,820000,5.05757,0.0537754
42,840000,5.05697,0.0524829
43,860000,5.05194,0.0514939
44,880000,5.04938,0.0503755
45,900000,5.04921,0.0492436
46,920000,5.04785,0.0481805
47,940000,5.0471,0.0471502
48,960000,5.04372,0.046281
49,980000,5.04457,0.0453348
50,1000000,5.04559,0.0444305
51,1020000,5.04591,0.0435517
52,1040000,5.047,0.04272
53,1060000,5.04645,0.0419097
54,1080000,5.04546,0.0411383
55,1100000,5.04555,0.0403836
56,1120000,5.04659,0.0396694
57,1140000,5.04523,0.0389909
58,1160000,5.04304,0.038375
59,1180000,5.03961,0.037875
60,1200000,5.03831,0.037261
61,1220000,5.03535,0.0367646
62,1240000,5.03566,0.0361681
63,1260000,5.0357,0.0355894
64,1280000,5.03543,0.0350299
65,1300000,5.03469,0.0344946
66,1320000,5.03317,0.0340021
67,1340000,5.03327,0.0334909
68,1360000,5.03097,0.0330753
69,1380000,5.03383,0.0327175
70,1400000,5.03421,0.032249
71,1420000,5.03289,0.0318188
72,1440000,5.03502,0.0314456
73,1460000,5.03205,0.0311539
74,1480000,5.03109,0.0307451
75,1500000,5.03163,0.0303372
76,1520000,5.02996,0.0299816
77,1540000,5.02911,0.029602
78,1560000,5.02864,0.0292238
79,1580000,5.02868,0.0288515
80,1600000,5.02789,0.0284996
81,1620000,5.02764,0.0281467
82,1640000,5.02703,0.0278081
83,1660000,5.02676,0.0274723
84,1680000,5.02631,0.027147
85,1700000,5.0276,0.0268564
86,1720000,5.02777,0.0265429
87,1740000,5.02725,0.0262412
88,1760000,5.02725,0.0259413
89,1780000,5.02692,0.0256503
90,1800000,5.02614,0.0253756
91,1820000,5.02461,0.0251418
92,1840000,5.02649,0.0249373
93,1860000,5.02498,0.0247135
94,1880000,5.0255,0.0244546
95,1900000,5.02374,0.0242594
96,1920000,5.02247,0.0240388
97,1940000,5.02141,0.0238134
98,1960000,5.01974,0.0236281
99,1980000,5.02048,0.0233999
100,2000000,5.01979,0.023175
101,2020000,5.01988,0.0229446
102,2040000,5.02048,0.0227267
103,2060000,5.01966,0.02252
104,2080000,5.01852,0.0223316
105,2100000,5.01946,0.0221377
106,2120000,5.01975,0.0219298
107,2140000,5.02122,0.0217737
108,2160000,5.02016,0.0215971
109,2180000,5.02023,0.0213982
110,2200000,5.02075,0.021209
111,2220000,5.02051,0.0210184
112,2240000,5.02094,0.0208342
113,2260000,5.02091,0.0206491
114,2280000,5.02094,0.0204672
115,2300000,5.01988,0.0203157
116,2320000,5.02088,0.0201645
117,2340000,5.02027,0.0200008
118,2360000,5.02128,0.0198561
119,2380000,5.02039,0.0197085
120,2400000,5.02024,0.0195442
121,2420000,5.02025,0.019382
122,2440000,5.02023,0.0192225
123,2460000,5.02083,0.019075
124,2480000,5.0205,0.0189234
125,2500000,5.0195,0.0187979
126,2520000,5.01917,0.018651
127,2540000,5.01942,0.0185053
128,2560000,5.01926,0.0183609
129,2580000,5.01725,0.0183285
130,2600000,5.01748,0.0181885
131,2620000,5.01671,0.0180657
132,2640000,5.01661,0.0179285
133,2660000,5.01579,0.0178123
134,2680000,5.01603,0.0176804
135,2700000,5.01528,0.0175647
136,2720000,5.01662,0.0174861
137,2740000,5.01712,0.0173652
138,2760000,5.01742,0.0172416
139,2780000,5.01755,0.0171176
140,2800000,5.01793,0.0169992
141,2820000,5.01972,0.0169724
142,2840000,5.0193,0.0168577
143,2860000,5.01936,0.0167395
144,2880000,5.01909,0.016625
145,2900000,5.01814,0.0165371
146,2920000,5.01722,0.0164492
147,2940000,5.01683,0.0163417
148,2960000,5.01581,0.016263
149,2980000,5.01687,0.0161882
150,3000000,5.01691,0.01608
151,3020000,5.01668,0.0159747
152,3040000,5.01672,0.0158693
153,3060000,5.01609,0.0157777
154,3080000,5.01457,0.015748
155,3100000,5.01379,0.0156656
156,3120000,5.01357,0.0155664
157,3140000,5.01293,0.0154802
158,3160000,5.01253,0.0153871
159,3180000,5.01251,0.0152901
160,3200000,5.01179,0.015211
161,3220000,5.01225,0.0151232
162,3240000,5.0125,0.0150317
163,3260000,5.01158,0.0149674
164,3280000,5.01191,0.0148796
165,3300000,5.01176,0.0147899
166,3320000,5.01197,0.0147021
167,3340000,5.01268,0.0146307
168,3360000,5.01254,0.014544
169,3380000,5.01346,0.0144869
170,3400000,5.01389,0.0144078
171,3420000,5.01361,0.0143262
172,3440000,5.01401,0.0142485
173,3460000,5.01451,0.0141744
174,3480000,5.01495,0.0140998
175,3500000,5.0141,0.0140446
176,3520000,5.01378,0.0139682
177,3540000,5.01353,0.0138914
178,3560000,5.0126,0.0138444
179,3580000,5.01216,0.0137738
180,3600000,5.0126,0.0137041
181,3620000,5.01225,0.0136326
182,3640000,5.01228,0.0135575
183,3660000,5.01176,0.0134931
184,3680000,5.01193,0.0134206
185,3700000,5.01141,0.0133578
186,3720000,5.01083,0.0132985
187,3740000,5.01103,0.0132286
188,3760000,5.01082,0.0131598
189,3780000,5.0106,0.0130917
190,3800000,5.0104,0.0130242
191,3820000,5.01025,0.0129567
192,3840000,5.01021,0.0128891
193,3860000,5.0103,0.0128225
194,3880000,5.0095,0.0127814
195,3900000,5.00963,0.0127163
196,3920000,5.01013,0.0126611
197,3940000,5.00892,0.0126547
198,3960000,5.00904,0.0125912
199,3980000,5.00933,0.0125311
200,4000000,5.00942,0.0124686
201,4020000,5.00993,0.0124167
202,4040000,5.01015,0.012357
203,4060000,5.00986,0.0122992
204,4080000,5.0096,0.0122415
205,4100000,5.0093,0.0121854
206,4120000,5.00871,0.0121403
207,4140000,5.00866,0.0120817
208,4160000,5.00904,0.0120295
209,4180000,5.00887,0.0119729
210,4200000,5.00892,0.0119159
211,4220000,5.00836,0.0118723
212,4240000,5.0082,0.0118173
213,4260000,5.0087,0.0117725
214,4280000,5.00846,0.01172
215,4300000,5.00804,0.0116727
216,4320000,5.00855,0.0116299
217,4340000,5.00831,0.0115786
218,4360000,5.00821,0.0115259
219,4380000,5.00754,0.0114928
220,4400000,5.00715,0.0114469
221,4420000,5.00683,0.0113996
222,4440000,5.00705,0.0113503
223,4460000,5.00666,0.0113058
224,4480000,5.00637,0.011259
225,4500000,5.00675,0.0112153
226,4520000,5.00704,0.0111694
227,4540000,5.00704,0.0111201
228,4560000,5.00695,0.0110715
229,4580000,5.00627,0.0110443
230,4600000,5.00611,0.0109973
231,4620000,5.00588,0.0109521
232,4640000,5.00609,0.0109069
233,4660000,5.0056,0.0108711
234,4680000,5.00535,0.0108275
235,4700000,5.00569,0.0107868
236,4720000,5.00557,0.0107416
237,4740000,5.00515,0.0107047
238,4760000,5.00522,0.0106599
239,4780000,5.00617,0.0106577
240,4800000,5.00663,0.0106229
241,4820000,5.00631,0.0105834
242,4840000,5.0064,0.01054
243,4860000,5.00655,0.0104976
244,4880000,5.0065,0.0104546
245,4900000,5.00658,0.0104122
246,4920000,5.00644,0.0103707
247,4940000,5.00648,0.0103287
248,4960000,5.00642,0.0102872
249,4980000,5.00651,0.0102462
250,5000000,5.00607,0.0102145
251,5020000,5.00609,0.0101737
252,5040000,5.0056,0.0101449
253,5060000,5.00473,0.0101422
254,5080000,5.00489,0.0101034
255,5100000,5.0047,0.0100655
256,5120000,5.0042,0.0100383
257,5140000,5.00472,0.0100124
258,5160000,5.00434,0.0099805
259,5180000,5.00448,0.0099428
260,5200000,5.00418,0.00990907
261,5220000,5.00413,0.00987115
262,5240000,5.00367,0.00984393
263,5260000,5.00357,0.00980697
264,5280000,5.00448,0.00981193
265,5300000,5.0045,0.00977486
266,5320000,5.00448,0.00973808
267,5340000,5.00421,0.00970504
268,5360000,5.00454,0.0096743
269,5380000,5.00458,0.00963834
270,5400000,5.00405,0.0096173
271,5420000,5.00363,0.00959087
272,5440000,5.00319,0.00956547
273,5460000,5.00238,0.00956517
274,5480000,5.00259,0.00953253
275,5500000,5.00302,0.00950766
276,5520000,5.00285,0.00947478
277,5540000,5.00301,0.00944186
278,5560000,5.00269,0.00941306
279,5580000,5.00237,0.00938491
280,5600000,5.00208,0.00935581
281,5620000,5.00154,0.00933806
