blocks,extractions,radius,error
1,20000,1.47652,0
2,40000,1.49249,0.0159658
3,60000,1.4969,0.0102193
4,80000,1.49035,0.00975429
5,100000,1.4909,0.00757576
6,120000,1.4879,0.00687463
7,140000,1.48803,0.00581147
8,160000,1.49014,0.00545655
9,180000,1.49283,0.00551601
10,200000,1.48758,0.00720294
11,220000,1.4877,0.00651638
12,240000,1.48991,0.00634362
13,260000,1.48839,0.0060281
14,280000,1.48845,0.00558125
15,300000,1.48821,0.00520175
16,320000,1.48659,0.0051263
17,340000,1.48659,0.00481533
18,360000,1.48552,0.00466235
19,380000,1.48708,0.00467511
20,400000,1.48935,0.00498249
21,420000,1.48854,0.00480771
22,440000,1.48975,0.00474082
23,460000,1.48915,0.00456886
24,480000,1.4895,0.00438778
25,500000,1.48807,0.00444205
26,520000,1.48897,0.00436107
27,540000,1.49014,0.00435649
28,560000,1.49127,0.00434599
29,580000,1.4919,0.0042416
30,600000,1.49312,0.00427317
31,620000,1.4921,0.00425691
32,640000,1.49243,0.00413513
33,660000,1.49394,0.00428203
34,680000,1.49613,0.00469989
35,700000,1.49581,0.0045755
36,720000,1.4949,0.00453847
37,740000,1.49402,0.00449952
38,760000,1.49475,0.00443933
39,780000,1.49417,0.00436231
40,800000,1.49423,0.00425219
41,820000,1.49477,0.00418297
42,840000,1.49543,0.00413435
43,860000,1.49456,0.00412962
44,880000,1.49475,0.00403943
45,900000,1.49474,0.00394868
46,920000,1.49468,0.00386227
47,940000,1.49514,0.00380717
48,960000,1.49578,0.00378067
49,980000,1.49592,0.00370554
50,1000000,1.4955,0.0036549
51,1020000,1.49695,0.00386507
52,1040000,1.49776,0.00387578
53,1060000,1.49791,0.00380473
54,1080000,1.49829,0.00375321
55,1100000,1.49753,0.00376301
56,1120000,1.49782,0.00370638
57,1140000,1.4979,0.00364188
58,1160000,1.49707,0.0036757
59,1180000,1.49729,0.00361982
60,1200000,1.49875,0.00384708
61,1220000,1.49901,0.00379232
62,1240000,1.49932,0.00374379
63,1260000,1.49962,0.00369629
64,1280000,1.49899,0.00369352
65,1300000,1.499,0.00363627
66,1320000,1.49915,0.0035838
67,1340000,1.49883,0.00354391
68,1360000,1.4994,0.00353711
69,1380000,1.49948,0.00348637
70,1400000,1.49961,0.00343865
71,1420000,1.49897,0.00344938
72,1440000,1.49842,0.00344438
73,1460000,1.49815,0.00340757
74,1480000,1.49815,0.00336121
75,1500000,1.49792,0.00332423
76,1520000,1.49734,0.0033315
77,1540000,1.49723,0.00328971
78,1560000,1.49766,0.00327549
79,1580000,1.49697,0.00330519
80,1600000,1.49645,0.00330495
81,1620000,1.49701,0.00331046
82,1640000,1.4969,0.00327161
83,1660000,1.49686,0.00323213
84,1680000,1.4971,0.00320184
85,1700000,1.49776,0.0032325
86,1720000,1.49785,0.00319588
87,1740000,1.4975,0.00317798
88,1760000,1.4975,0.00314166
89,1780000,1.49673,0.00319892
90,1800000,1.49669,0.00316343
91,1820000,1.49673,0.00312869
92,1840000,1.49665,0.00309541
93,1860000,1.49696,0.00307713
94,1880000,1.49729,0.00306211
95,1900000,1.49736,0.00303053
96,1920000,1.49745,0.00300017
97,1940000,1.49761,0.00297348
98,1960000,1.49738,0.00295222
99,1980000,1.49751,0.00292534
100,2000000,1.49753,0.00289601
101,2020000,1.49711,0.00289847
102,2040000,1.49683,0.00288322
103,2060000,1.49696,0.00285802
104,2080000,1.4965,0.00286844
105,2100000,1.49639,0.00284278
106,2120000,1.4965,0.00281783
107,2140000,1.49648,0.00279144
108,2160000,1.49659,0.00276773
109,2180000,1.49661,0.00274226
110,2200000,1.49677,0.0027218
111,2220000,1.49661,0.00270141
112,2240000,1.49612,0.00272252
113,2260000,1.49592,0.00270587
114,2280000,1.49607,0.00268651
115,2300000,1.49615,0.00266405
116,2320000,1.49604,0.00264302
117,2340000,1.49646,0.00265308
118,2360000,1.49657,0.00263286
119,2380000,1.49652,0.00261106
120,2400000,1.49624,0.00260486
121,2420000,1.49655,0.00260165
122,2440000,1.49631,0.00259122
123,2460000,1.49664,0.0025913
124,2480000,1.49678,0.00257411
125,2500000,1.49674,0.00255367
126,2520000,1.49635,0.0025631
127,2540000,1.49596,0.00257257
128,2560000,1.4958,0.0025578
129,2580000,1.49575,0.00253833
130,2600000,1.49592,0.00252449
131,2620000,1.49617,0.00251729
132,2640000,1.49634,0.00250429
133,2660000,1.49649,0.00248962
134,2680000,1.49677,0.00248675
135,2700000,1.49723,0.0025109
136,2720000,1.49725,0.00249249
137,2740000,1.49718,0.00247527
138,2760000,1.497,0.00246379
139,2780000,1.49696,0.00244646
140,2800000,1.49714,0.00243605
141,2820000,1.49701,0.00242253
142,2840000,1.49731,0.00242447
143,2860000,1.49765,0.00243104
144,2880000,1.49726,0.00244492
145,2900000,1.49709,0.00243393
146,2920000,1.49695,0.00242134
147,2940000,1.49702,0.00240594
148,2960000,1.49686,0.00239528
149,2980000,1.49687,0.00237916
150,3000000,1.497,0.00236698
151,3020000,1.49683,0.00235743
152,3040000,1.49678,0.00234237
153,3060000,1.4966,0.00233357
154,3080000,1.49681,0.00232752
155,3100000,1.49675,0.00231322
156,3120000,1.49662,0.00230215
157,3140000,1.49677,0.00229253
158,3160000,1.49657,0.00228679
159,3180000,1.49646,0.00227516
160,3200000,1.49646,0.00226089
161,3220000,1.49657,0.00224951
162,3240000,1.49684,0.00225132
163,3260000,1.49678,0.00223807
164,3280000,1.49673,0.00222498
165,3300000,1.4968,0.00221258
166,3320000,1.49705,0.00221321
167,3340000,1.49713,0.00220128
168,3360000,1.49696,0.00219468
169,3380000,1.4972,0.0021944
170,3400000,1.49733,0.00218535
171,3420000,1.49736,0.00217279
172,3440000,1.49773,0.00219206
173,3460000,1.49784,0.00218209
174,3480000,1.49783,0.00216953
175,3500000,1.49806,0.00216846
176,3520000,1.49783,0.00216768
177,3540000,1.49784,0.00215542
178,3560000,1.49789,0.00214385
179,3580000,1.49805,0.0021381
180,3600000,1.49823,0.00213303
181,3620000,1.49845,0.00213299
182,3640000,1.49829,0.00212729
183,3660000,1.49844,0.00212082
184,3680000,1.49837,0.00211039
185,3700000,1.49856,0.00210756
186,3720000,1.4987,0.00210108
187,3740000,1.4987,0.00208981
188,3760000,1.49859,0.00208165
189,3780000,1.49847,0.00207404
190,3800000,1.49826,0.00207345
191,3820000,1.49806,0.00207263
192,3840000,1.49784,0.00207344
193,3860000,1.4977,0.00206756
194,3880000,1.49774,0.00205725
195,3900000,1.49789,0.00205227
196,3920000,1.49785,0.00204221
197,3940000,1.49782,0.00203202
198,3960000,1.49791,0.0020238
199,3980000,1.49808,0.00202066
200,4000000,1.49799,0.00201248
201,4020000,1.49815,0.00200882
202,4040000,1.49803,0.00200269
203,4060000,1.4982,0.00200069
204,4080000,1.49818,0.00199106
205,4100000,1.49846,0.00200176
206,4120000,1.49844,0.00199209
207,4140000,1.49841,0.00198276
208,4160000,1.49834,0.00197431
209,4180000,1.49832,0.00196497
210,4200000,1.49807,0.00197105
211,4220000,1.49821,0.00196627
212,4240000,1.49824,0.00195724
213,4260000,1.49814,0.00195071
214,4280000,1.49817,0.00194181
215,4300000,1.49845,0.00195296
216,4320000,1.49858,0.00194809
217,4340000,1.49856,0.00193917
218,4360000,1.49871,0.00193582
219,4380000,1.49867,0.00192737
220,4400000,1.49867,0.0019186
221,4420000,1.49852,0.001916
222,4440000,1.4983,0.00192019
223,4460000,1.49819,0.00191483
224,4480000,1.49844,0.00192349
225,4500000,1.49845,0.00191494
226,4520000,1.49832,0.0019109
227,4540000,1.49846,0.00190736
228,4560000,1.49878,0.00192606
229,4580000,1.4988,0.00191775
230,4600000,1.49882,0.00190946
231,4620000,1.49871,0.00190399
232,4640000,1.49869,0.00189587
233,4660000,1.49853,0.00189508
234,4680000,1.49859,0.00188815
235,4700000,1.49887,0.00189994
236,4720000,1.49886,0.00189187
237,4740000,1.49905,0.00189258
238,4760000,1.49904,0.00188461
239,4780000,1.49889,0.0018827
240,4800000,1.49892,0.00187498
241,4820000,1.49907,0.00187384
242,4840000,1.499,0.00186756
243,4860000,1.4991,0.00186279
244,4880000,1.49912,0.00185518
245,4900000,1.4992,0.0018494
246,4920000,1.49915,0.00184244
247,4940000,1.49896,0.00184507
248,4960000,1.49914,0.00184661
249,4980000,1.49909,0.00184006
250,5000000,1.49912,0.00183308
251,5020000,1.49903,0.0018284
252,5040000,1.49899,0.00182151
253,5060000,1.49895,0.00181464
254,5080000,1.49913,0.00181576
255,5100000,1.49914,0.00180866
256,5120000,1.49922,0.00180342
257,5140000,1.49925,0.00179668
258,5160000,1.49909,0.00179673
259,5180000,1.49916,0.00179088
260,5200000,1.49907,0.00178589
261,5220000,1.49895,0.00178332
262,5240000,1.49882,0.0017809
263,5260000,1.49863,0.00178422
264,5280000,1.49859,0.0017781
265,5300000,1.49848,0.00177445
266,5320000,1.49846,0.00176789
267,5340000,1.4985,0.00176162
268,5360000,1.49856,0.00175617
269,5380000,1.49847,0.00175191
270,5400000,1.49835,0.00174939
271,5420000,1.49839,0.00174343
272,5440000,1.49837,0.00173723
273,5460000,1.49856,0.00174111
274,5480000,1.4985,0.00173553
275,5500000,1.49838,0.00173342
276,5520000,1.49809,0.0017523
277,5540000,1.49811,0.00174618
278,5560000,1.49805,0.00174102
279,5580000,1.49809,0.00173524
280,5600000,1.49801,0.00173085
281,5620000,1.49805,0.00172504
282,5640000,1.49798,0.00172023
283,5660000,1.49806,0.00171598
284,5680000,1.4981,0.0017103
285,5700000,1.4981,0.00170429
286,5720000,1.49799,0.00170157
287,5740000,1.49819,0.0017077
288,5760000,1.49844,0.00171893
289,5780000,1.49847,0.00171322
290,5800000,1.49853,0.00170839
291,5820000,1.49849,0.00170302
292,5840000,1.49849,0.00169718
293,5860000,1.49842,0.00169261
294,5880000,1.49847,0.00168744
295,5900000,1.49857,0.00168507
296,5920000,1.49853,0.00168002
297,5940000,1.49852,0.0016744
298,5960000,1.49857,0.0016696
299,5980000,1.49862,0.0016648
300,6000000,1.49862,0.00165924
301,6020000,1.49865,0.00165405
302,6040000,1.49864,0.00164866
303,6060000,1.49863,0.00164323
304,6080000,1.49856,0.00163926
305,6100000,1.49862,0.00163515
306,6120000,1.49865,0.00163004
307,6140000,1.4987,0.00162556
308,6160000,1.4988,0.00162294
309,6180000,1.49859,0.00163073
310,6200000,1.49865,0.00162667
311,6220000,1.49872,0.00162283
312,6240000,1.49872,0.00161762
313,6260000,1.49859,0.00161811
314,6280000,1.49856,0.00161316
315,6300000,1.49859,0.00160839
316,6320000,1.49861,0.00160334
317,6340000,1.4987,0.00160073
318,6360000,1.49858,0.00159971
319,6380000,1.49858,0.0015947
320,6400000,1.4986,0.00158988
321,6420000,1.49874,0.00159134
322,6440000,1.49876,0.0015865
323,6460000,1.49862,0.00158778
324,6480000,1.49868,0.00158389
325,6500000,1.49894,0.00160061
326,6520000,1.49893,0.00159572
327,6540000,1.49883,0.00159414
328,6560000,1.49882,0.00158929
329,6580000,1.49872,0.00158762
330,6600000,1.49872,0.00158281
331,6620000,1.49871,0.00157807
332,6640000,1.4986,0.00157701
333,6660000,1.49848,0.0015772
334,6680000,1.49855,0.00157421
335,6700000,1.49865,0.00157277
336,6720000,1.49882,0.00157708
337,6740000,1.4989,0.00157422
338,6760000,1.4988,0.00157255
339,6780000,1.49852,0.00159216
340,6800000,1.49848,0.0015881
341,6820000,1.49854,0.00158461
342,6840000,1.49854,0.00157997
343,6860000,1.49848,0.00157651
344,6880000,1.49846,0.00157212
345,6900000,1.49858,0.00157218
346,6920000,1.49862,0.00156822
347,6940000,1.49856,0.00156491
348,6960000,1.49865,0.00156289
349,6980000,1.49867,0.00155854
350,7000000,1.49874,0.0015555
351,7020000,1.49863,0.00155477
352,7040000,1.49851,0.00155524
353,7060000,1.49848,0.00155098
354,7080000,1.49852,0.00154709
355,7100000,1.49855,0.00154292
356,7120000,1.49857,0.00153872
357,7140000,1.49847,0.00153759
358,7160000,1.49851,0.00153391
359,7180000,1.49851,0.00152965
360,7200000,1.49851,0.00152541
361,7220000,1.49838,0.00152697
362,7240000,1.49843,0.00152362
363,7260000,1.49844,0.00151947
364,7280000,1.49852,0.00151712
365,7300000,1.4985,0.00151312
366,7320000,1.49863,0.001515
367,7340000,1.49883,0.00152404
368,7360000,1.4988,0.00152021
369,7380000,1.49882,0.00151619
370,7400000,1.49887,0.00151292
371,7420000,1.49886,0.00150884
372,7440000,1.4988,0.00150593
373,7460000,1.49878,0.00150216
374,7480000,1.49871,0.00149969
375,7500000,1.49876,0.00149654
376,7520000,1.49877,0.0014926
377,7540000,1.49877,0.00148863
378,7560000,1.4987,0.00148609
379,7580000,1.49859,0.00148632
380,7600000,1.4986,0.00148243
381,7620000,1.49854,0.00147986
382,7640000,1.49858,0.00147646
383,7660000,1.49868,0.00147623
384,7680000,1.49868,0.00147238
385,7700000,1.49876,0.00147037
386,7720000,1.49865,0.00147001
387,7740000,1.49872,0.00146758
388,7760000,1.49873,0.00146386
389,7780000,1.49865,0.0014627
390,7800000,1.49866,0.00145904
391,7820000,1.49871,0.00145597
392,7840000,1.49869,0.00145238
393,7860000,1.49864,0.00144939
394,7880000,1.4986,0.00144634
395,7900000,1.49869,0.00144557
396,7920000,1.49879,0.00144543
