blocks,extractions,radius,error
1,20000,4.94242,0
2,40000,4.92557,0.0168494
3,60000,4.93458,0.0132619
4,80000,4.95605,0.0234291
5,100000,4.94623,0.0206356
6,120000,4.96846,0.0278922
7,140000,4.98074,0.0265792
8,160000,4.97293,0.0243052
9,180000,4.9783,0.022097
10,200000,4.98734,0.0217322
11,220000,4.98656,0.0196728
12,240000,4.98801,0.018017
13,260000,4.98305,0.0172996
14,280000,4.97644,0.017328
15,300000,4.97885,0.0163107
16,320000,4.97422,0.0159427
17,340000,4.97914,0.0157613
18,360000,4.98009,0.0148904
19,380000,4.97795,0.0142456
20,400000,4.9786,0.01353
21,420000,4.97609,0.0131124
22,440000,4.98872,0.0177713
23,460000,4.99424,0.017856
24,480000,4.99664,0.017263
25,500000,5.00168,0.0173084
26,520000,4.99915,0.0168213
27,540000,5.00358,0.0167839
28,560000,5.0014,0.0163208
29,580000,5.00673,0.0166276
30,600000,5.00866,0.0161794
31,620000,5.00886,0.01565
32,640000,5.01121,0.0153348
33,660000,5.01214,0.0148917
34,680000,5.01495,0.0147185
35,700000,5.01517,0.0142933
36,720000,5.01428,0.0139192
37,740000,5.01127,0.013867
38,760000,5.01097,0.0135005
39,780000,5.01029,0.0131673
40,800000,5.01057,0.0128369
41,820000,5.01017,0.0125261
42,840000,5.01036,0.0122256
43,860000,5.00955,0.0119652
44,880000,5.00937,0.0116914
45,900000,5.01,0.0114457
46,920000,5.0083,0.0113228
47,940000,5.00728,0.011126
48,960000,5.00986,0.0111938
49,980000,5.01194,0.0111587
50,1000000,5.01016,0.0110768
51,1020000,5.00853,0.0109799
52,1040000,5.01097,0.0110402
53,1060000,5.01182,0.0108628
54,1080000,5.01274,0.0106998
55,1100000,5.0122,0.0105176
56,1120000,5.01173,0.0103386
57,1140000,5.01308,0.0102456
58,1160000,5.01562,0.0103822
59,1180000,5.01497,0.0102253
60,1200000,5.01561,0.0100738
61,1220000,5.01505,0.00992319
62,1240000,5.01438,0.00978473
63,1260000,5.01169,0.00999642
64,1280000,5.01189,0.00984101
65,1300000,5.01169,0.00969062
66,1320000,5.01286,0.00961433
67,1340000,5.01269,0.00947128
68,1360000,5.0149,0.00958929
69,1380000,5.0148,0.00944982
70,1400000,5.01526,0.00932513
71,1420000,5.01536,0.00919339
72,1440000,5.01461,0.00909523
73,1460000,5.01536,0.00900061
74,1480000,5.01427,0.00894439
75,1500000,5.01363,0.00884736
76,1520000,5.01535,0.00889742
77,1540000,5.01462,0.0088114
78,1560000,5.01495,0.00870381
79,1580000,5.01252,0.00892799
80,1600000,5.01241,0.00881642
81,1620000,5.01308,0.00873243
82,1640000,5.01411,0.00868677
83,1660000,5.0139,0.00858412
84,1680000,5.01341,0.00849535
85,1700000,5.01239,0.00845603
86,1720000,5.01265,0.00836099
87,1740000,5.01298,0.00827124
88,1760000,5.01246,0.00819344
89,1780000,5.01129,0.00818441
90,1800000,5.01039,0.00814375
91,1820000,5.01108,0.00808388
92,1840000,5.01044,0.00802115
93,1860000,5.01046,0.00793444
94,1880000,5.00896,0.00799162
95,1900000,5.00848,0.00792124
96,1920000,5.00903,0.00785744
97,1940000,5.00805,0.0078378
98,1960000,5.00816,0.00775821
99,1980000,5.00955,0.00780507
100,2000000,5.00933,0.00772985
101,2020000,5.01078,0.00778867
102,2040000,5.01116,0.00772143
103,2060000,5.01202,0.00769405
104,2080000,5.01155,0.00763393
105,2100000,5.01274,0.00765389
106,2120000,5.01275,0.00758134
107,2140000,5.0115,0.00761278
108,2160000,5.01196,0.00755606
109,2180000,5.01177,0.00748879
110,2200000,5.01194,0.00742233
111,2220000,5.01241,0.00736977
112,2240000,5.0118,0.00732912
113,2260000,5.01243,0.00729123
114,2280000,5.01287,0.00724056
115,2300000,5.01244,0.00719003
116,2320000,5.01114,0.00724641
117,2340000,5.01016,0.0072507
118,2360000,5.00963,0.00720862
119,2380000,5.00827,0.00727603
120,2400000,5.00892,0.00724438
121,2420000,5.01019,0.00729558
122,2440000,5.00972,0.00725023
123,2460000,5.01018,0.00720553
124,2480000,5.01177,0.00732135
125,2500000,5.011,0.00730319
126,2520000,5.01066,0.00725312
127,2540000,5.01084,0.00719819
128,2560000,5.01114,0.00714776
129,2580000,5.01088,0.00709658
130,2600000,5.01165,0.00708336
131,2620000,5.01193,0.00703443
132,2640000,5.01135,0.00700442
133,2660000,5.01147,0.00695254
134,2680000,5.01145,0.00690049
135,2700000,5.01205,0.00687609
136,2720000,5.01287,0.00687406
137,2740000,5.01289,0.00682374
138,2760000,5.0123,0.00680015
139,2780000,5.0129,0.00677788
140,2800000,5.01268,0.00673282
141,2820000,5.01222,0.00670089
142,2840000,5.01265,0.00666751
143,2860000,5.01257,0.00662122
144,2880000,5.01293,0.00658484
145,2900000,5.01331,0.00655034
146,2920000,5.01381,0.00652481
147,2940000,5.01364,0.00648255
148,2960000,5.01503,0.00658643
149,2980000,5.01479,0.00654642
150,3000000,5.01379,0.0065794
151,3020000,5.01392,0.00653701
152,3040000,5.01398,0.00649417
153,3060000,5.01381,0.00645391
154,3080000,5.01481,0.00648967
155,3100000,5.01503,0.00645127
156,3120000,5.01583,0.00645937
157,3140000,5.01532,0.00643804
158,3160000,5.01529,0.00639722
159,3180000,5.01451,0.00640465
160,3200000,5.01403,0.00638294
161,3220000,5.01393,0.00634399
162,3240000,5.01445,0.00632654
163,3260000,5.01406,0.00629967
