BLOCK,ACTUAL_M,M_AVE,ERROR
1,0.02304,0.02304,0
2,0.01744,0.02024,0.0019799
3,0.01368,0.0180533,0.00222034
4,0.04796,0.02553,0.00668569
5,0.03008,0.02644,0.00541013
6,0.01748,0.0249467,0.00471003
7,0.0354,0.02644,0.00426734
8,0.03628,0.02767,0.00390717
9,0.00928,0.0256267,0.00397156
10,0.05,0.028064,0.0042571
11,0.01408,0.0267927,0.00405547
12,0.03068,0.0271167,0.00373043
13,0.02824,0.0272031,0.00344447
14,0.014,0.02626,0.00332504
15,0.01744,0.025672,0.00315493
16,0.03484,0.026245,0.00300933
17,0.00972,0.0252729,0.00298518
18,0.01928,0.02494,0.00283785
19,0.02068,0.0247158,0.00269733
20,0.01236,0.024098,0.00263226
21,0.00628,0.0232495,0.00264012
22,0.02324,0.0232491,0.00252012
23,0.01372,0.0228348,0.00244437
24,0.03964,0.023535,0.00244075
25,0.02652,0.0236544,0.00234604
26,0.0056,0.02296,0.00235633
27,0.0102,0.0224874,0.00231597
28,0.00984,0.0220357,0.00227688
29,0.0042,0.0214207,0.00227992
30,0.01464,0.0211947,0.00221509
31,0.01644,0.0210413,0.00214894
32,0.0736,0.0226837,0.00263576
33,0.0194,0.0225842,0.00255776
34,0.02512,0.0226588,0.00248362
35,0.02748,0.0227966,0.00241648
36,0.04244,0.0233422,0.00241017
37,0.02932,0.0235038,0.00235044
38,0.03104,0.0237021,0.00229694
39,0.01612,0.0235077,0.00224626
40,0.02736,0.023604,0.00219216
41,0.01712,0.0234459,0.00214439
42,0.0294,0.0235876,0.00209802
43,0.01376,0.0233591,0.00206164
44,0.0318,0.0235509,0.00202369
45,0.02228,0.0235227,0.00197891
46,0.03156,0.0236974,0.00194359
47,0.03576,0.023954,0.00191911
48,0.02356,0.0239458,0.00187914
49,0.03284,0.0241273,0.00184954
50,0.03952,0.0244352,0.00183799
51,0.01036,0.0241592,0.00182256
52,0.02512,0.0241777,0.0017876
53,0.02592,0.0242106,0.00175417
54,0.02376,0.0242022,0.00172171
55,0.0438,0.0245585,0.00172688
56,-0.00124,0.0240979,0.00175642
57,0.01352,0.0239123,0.00173538
58,0.01148,0.0236979,0.00171865
59,0.05632,0.0242508,0.00177624
60,0.02632,0.0242853,0.00174697
61,0.03036,0.0243849,0.00172116
62,0.02436,0.0243845,0.0016934
63,0.02432,0.0243835,0.00166652
64,0.01948,0.0243069,0.00164225
65,0.02896,0.0243785,0.00161854
66,0.0132,0.0242091,0.00160285
67,0.02044,0.0241528,0.00157992
68,0.02604,0.0241806,0.00155693
69,0.0408,0.0244214,0.00155288
70,0.011,0.0242297,0.00154249
71,0.01864,0.024151,0.00152277
72,0.02596,0.0241761,0.00150183
73,0.01908,0.0241063,0.00148288
74,0.04896,0.0244422,0.00150039
75,0.02544,0.0244555,0.00148045
76,0.03892,0.0246458,0.00147315
77,0.0226,0.0246192,0.00145426
78,0.01552,0.0245026,0.00144028
79,0.009,0.0243063,0.00143536
80,0.01944,0.0242455,0.0014187
81,0.02004,0.0241936,0.00140214
82,0.00844,0.0240015,0.00139814
83,0.04868,0.0242988,0.00141256
84,0.02424,0.0242981,0.00139574
85,0.00888,0.0241167,0.00139106
86,0.03724,0.0242693,0.00138323
87,0.01488,0.0241614,0.00137153
88,-0.00736,0.0238032,0.00140194
89,0.02112,0.023773,0.00138651
90,0.04024,0.023956,0.00138313
91,0.00488,0.0237464,0.00138372
92,0.0156,0.0236578,0.00137151
93,0.02948,0.0237204,0.00135819
94,0.01052,0.02358,0.00135098
95,0.02352,0.0235794,0.00133676
96,0.03088,0.0236554,0.001325
97,0.0252,0.0236713,0.00131143
98,0.01704,0.0236037,0.0012998
99,4e-05,0.0233657,0.00130828
100,0.00704,0.0232024,0.00130534
