BLOCK,ACTUAL_CV,CV_AVE,ERROR
1,0.16371,0.16371,0
2,0.158464,0.161087,0.00185489
3,0.14728,0.156485,0.003956
4,0.162219,0.157918,0.00321631
5,0.167951,0.159925,0.00313712
6,0.163009,0.160439,0.00265603
7,0.165326,0.161137,0.0023666
8,0.160585,0.161068,0.00207178
9,0.163785,0.16137,0.00186344
10,0.161028,0.161336,0.00167741
11,0.168547,0.161991,0.00164805
12,0.176135,0.16317,0.00188566
13,0.167134,0.163475,0.00176509
14,0.161355,0.163323,0.0016455
15,0.161199,0.163182,0.00154188
16,0.175368,0.163943,0.00162277
17,0.163005,0.163888,0.00152825
18,0.16505,0.163953,0.00144471
19,0.19223,0.165441,0.00199288
20,0.171209,0.165729,0.00191399
21,0.161446,0.165525,0.00183368
22,0.169174,0.165691,0.00175782
23,0.179532,0.166293,0.00178142
24,0.162629,0.16614,0.00171372
25,0.166054,0.166137,0.00164518
26,0.156273,0.165758,0.00162505
27,0.175484,0.166118,0.0016043
28,0.156674,0.165781,0.00158206
29,0.157474,0.165494,0.00155321
30,0.154942,0.165142,0.00154075
31,0.168003,0.165235,0.00149381
32,0.173438,0.165491,0.00146896
33,0.167504,0.165552,0.00142571
34,0.167035,0.165596,0.00138445
35,0.163151,0.165526,0.00134665
36,0.170686,0.165669,0.00131685
37,0.157245,0.165441,0.0013008
38,0.164917,0.165428,0.00126664
39,0.158174,0.165242,0.00124774
40,0.166639,0.165277,0.00121703
41,0.176476,0.16555,0.00121762
42,0.171968,0.165703,0.00119818
43,0.165536,0.165699,0.00117032
44,0.162485,0.165626,0.001146
45,0.172724,0.165783,0.00113134
46,0.159556,0.165648,0.00111481
47,0.161625,0.165562,0.00109438
48,0.159759,0.165441,0.00107823
49,0.174093,0.165618,0.00107059
50,0.160061,0.165507,0.00105493
51,0.180966,0.16581,0.00107691
52,0.171588,0.165921,0.00106192
53,0.167191,0.165945,0.00104215
54,0.158648,0.16581,0.00103158
55,0.16051,0.165714,0.00101731
56,0.159511,0.165603,0.00100516
57,0.153989,0.165399,0.00100796
58,0.163291,0.165363,0.00099124
59,0.184033,0.165679,0.0010237
60,0.160831,0.165598,0.00100983
61,0.168839,0.165652,0.000994668
62,0.160479,0.165568,0.000982117
63,0.163634,0.165537,0.000967008
64,0.158985,0.165435,0.000957303
65,0.149903,0.165196,0.000971942
66,0.166548,0.165217,0.000957431
67,0.16679,0.16524,0.000943429
68,0.156193,0.165107,0.00093889
69,0.167462,0.165141,0.000925903
70,0.178913,0.165338,0.000933344
71,0.164576,0.165327,0.00092026
72,0.154696,0.165179,0.000919248
73,0.153566,0.16502,0.000920319
74,0.170913,0.1651,0.000911321
75,0.160147,0.165034,0.00090156
76,0.171065,0.165113,0.000893183
77,0.160566,0.165054,0.000883534
78,0.177107,0.165209,0.000885615
79,0.160051,0.165143,0.000876808
80,0.178763,0.165314,0.00088222
81,0.159693,0.165244,0.000874053
82,0.163885,0.165228,0.000863551
83,0.175578,0.165352,0.000862103
84,0.174974,0.165467,0.000859416
85,0.17202,0.165544,0.000852756
86,0.161035,0.165492,0.00084445
87,0.160977,0.16544,0.000836337
88,0.15602,0.165333,0.000833655
89,0.169591,0.165381,0.00082566
90,0.157872,0.165297,0.00082069
91,0.165466,0.165299,0.000811674
92,0.161913,0.165262,0.000803685
93,0.172294,0.165338,0.000798592
94,0.151525,0.165191,0.000803501
95,0.170658,0.165248,0.000797101
96,0.158988,0.165183,0.000791461
97,0.162872,0.165159,0.000783661
98,0.152473,0.16503,0.000786284
99,0.161297,0.164992,0.000779245
100,0.162893,0.164971,0.000771735
