BLOCK,ACTUAL_X,X_AVE,ERROR
1,2.076014e+02,2.076014e+02,0.000000e+00
2,2.083333e+02,2.079673e+02,2.587893e-01
3,2.083333e+02,2.080893e+02,1.992161e-01
4,2.083333e+02,2.081503e+02,1.584754e-01
5,2.083333e+02,2.081869e+02,1.309382e-01
6,2.083333e+02,2.082113e+02,1.113652e-01
7,2.083333e+02,2.082288e+02,9.680992e-02
8,2.083333e+02,2.082418e+02,8.558652e-02
9,2.083333e+02,2.082520e+02,7.667831e-02
10,2.083333e+02,2.082601e+02,6.944046e-02
11,2.083333e+02,2.082668e+02,6.344571e-02
12,2.083333e+02,2.082723e+02,5.840039e-02
13,2.083333e+02,2.082770e+02,5.409622e-02
14,2.083333e+02,2.082810e+02,5.038148e-02
15,2.083333e+02,2.082845e+02,4.714313e-02
16,2.083333e+02,2.082876e+02,4.429523e-02
17,2.083333e+02,2.082903e+02,4.177129e-02
18,2.083333e+02,2.082927e+02,3.951910e-02
19,2.083333e+02,2.082948e+02,3.749705e-02
20,2.083333e+02,2.082967e+02,3.567164e-02
21,2.083333e+02,2.082985e+02,3.401554e-02
22,2.083333e+02,2.083001e+02,3.250625e-02
23,2.083333e+02,2.083015e+02,3.112511e-02
24,2.083333e+02,2.083028e+02,2.985646e-02
25,2.083317e+02,2.083040e+02,2.868452e-02
26,2.083333e+02,2.083051e+02,2.760346e-02
27,2.083333e+02,2.083062e+02,2.660089e-02
28,2.083333e+02,2.083071e+02,2.566855e-02
29,2.083333e+02,2.083080e+02,2.479932e-02
30,2.083333e+02,2.083089e+02,2.398701e-02
31,2.083333e+02,2.083097e+02,2.322620e-02
32,2.083333e+02,2.083104e+02,2.251215e-02
33,2.083333e+02,2.083111e+02,2.184068e-02
34,2.083333e+02,2.083118e+02,2.120809e-02
35,2.083333e+02,2.083124e+02,2.061110e-02
36,2.083333e+02,2.083130e+02,2.004680e-02
37,2.083333e+02,2.083135e+02,1.951255e-02
38,2.083333e+02,2.083140e+02,1.900604e-02
39,2.083333e+02,2.083145e+02,1.852515e-02
40,2.083333e+02,2.083150e+02,1.806799e-02
41,2.083333e+02,2.083154e+02,1.763284e-02
42,2.083333e+02,2.083159e+02,1.721816e-02
43,2.083333e+02,2.083163e+02,1.682253e-02
44,2.083333e+02,2.083167e+02,1.644467e-02
45,2.083333e+02,2.083170e+02,1.608340e-02
46,2.083333e+02,2.083174e+02,1.573767e-02
47,2.083333e+02,2.083177e+02,1.540648e-02
48,2.083254e+02,2.083179e+02,1.508635e-02
49,2.083333e+02,2.083182e+02,1.478176e-02
50,2.083333e+02,2.083185e+02,1.448922e-02
51,2.083333e+02,2.083188e+02,1.420804e-02
52,2.083333e+02,2.083191e+02,1.393756e-02
53,2.083333e+02,2.083193e+02,1.367718e-02
54,2.083333e+02,2.083196e+02,1.342635e-02
55,2.083333e+02,2.083199e+02,1.318456e-02
56,2.083333e+02,2.083201e+02,1.295132e-02
57,2.083333e+02,2.083203e+02,1.272618e-02
58,2.083333e+02,2.083205e+02,1.250874e-02
59,2.083333e+02,2.083208e+02,1.229861e-02
60,2.083333e+02,2.083210e+02,1.209541e-02
61,2.083333e+02,2.083212e+02,1.189883e-02
62,2.083333e+02,2.083214e+02,1.170852e-02
63,2.083333e+02,2.083216e+02,1.152421e-02
64,2.083333e+02,2.083217e+02,1.134561e-02
65,2.083333e+02,2.083219e+02,1.117247e-02
66,2.083333e+02,2.083221e+02,1.100452e-02
67,2.083333e+02,2.083223e+02,1.084155e-02
68,2.083333e+02,2.083224e+02,1.068334e-02
69,2.083333e+02,2.083226e+02,1.052968e-02
70,2.083333e+02,2.083227e+02,1.038037e-02
71,2.083333e+02,2.083229e+02,1.023524e-02
72,2.083333e+02,2.083230e+02,1.009412e-02
73,2.083333e+02,2.083232e+02,9.956826e-03
74,2.083333e+02,2.083233e+02,9.823220e-03
75,2.083333e+02,2.083234e+02,9.693153e-03
76,2.083333e+02,2.083236e+02,9.566484e-03
77,2.083333e+02,2.083237e+02,9.443083e-03
78,2.083333e+02,2.083238e+02,9.322825e-03
79,2.083333e+02,2.083239e+02,9.205591e-03
80,2.083333e+02,2.083241e+02,9.091269e-03
81,2.083333e+02,2.083242e+02,8.979751e-03
82,2.083333e+02,2.083243e+02,8.870936e-03
83,2.083333e+02,2.083244e+02,8.764726e-03
84,2.083333e+02,2.083245e+02,8.661029e-03
85,2.083333e+02,2.083246e+02,8.559758e-03
86,2.083333e+02,2.083247e+02,8.460826e-03
87,2.083333e+02,2.083248e+02,8.364156e-03
88,2.083333e+02,2.083249e+02,8.269670e-03
89,2.083333e+02,2.083250e+02,8.177294e-03
90,2.083333e+02,2.083251e+02,8.086959e-03
91,2.083333e+02,2.083252e+02,7.998598e-03
92,2.083333e+02,2.083253e+02,7.912147e-03
93,2.083333e+02,2.083254e+02,7.827545e-03
94,2.083333e+02,2.083254e+02,7.744733e-03
95,2.083333e+02,2.083255e+02,7.663654e-03
96,2.083333e+02,2.083256e+02,7.584256e-03
97,2.083333e+02,2.083257e+02,7.506486e-03
98,2.083333e+02,2.083258e+02,7.430294e-03
99,2.083333e+02,2.083258e+02,7.355634e-03
100,2.083333e+02,2.083259e+02,7.282459e-03
