BLOCK,ACTUAL_TE,TE_AVE,ERROR
1,-1.83892,-1.83892,0
2,-1.81849,-1.8287,0.00722348
3,-1.7923,-1.81657,0.0110158
4,-1.80472,-1.81361,0.00865109
5,-1.78797,-1.80848,0.00830226
6,-1.80865,-1.80851,0.0069186
7,-1.8008,-1.80741,0.00601722
8,-1.80684,-1.80734,0.00526549
9,-1.83476,-1.81038,0.00549192
10,-1.78587,-1.80793,0.00546254
11,-1.79998,-1.80721,0.00501354
12,-1.78936,-1.80572,0.00481124
13,-1.81489,-1.80643,0.0044925
14,-1.86381,-1.81053,0.00574467
15,-1.84168,-1.8126,0.00572475
16,-1.81108,-1.81251,0.00536774
17,-1.78857,-1.8111,0.00523341
18,-1.82391,-1.81181,0.00499078
19,-1.79159,-1.81075,0.00484026
20,-1.80691,-1.81056,0.00460205
21,-1.86033,-1.81293,0.00495573
22,-1.86019,-1.81507,0.00517527
23,-1.81645,-1.81513,0.00495061
24,-1.8362,-1.81601,0.00482148
25,-1.891,-1.81901,0.00548291
26,-1.75761,-1.81665,0.00575816
27,-1.76365,-1.81469,0.00586991
28,-1.86318,-1.81642,0.00591025
29,-1.79856,-1.8158,0.00573843
30,-1.79236,-1.81502,0.00560012
31,-1.83298,-1.8156,0.00544936
32,-1.81526,-1.81559,0.00527908
33,-1.74327,-1.8134,0.00555545
34,-1.83074,-1.81391,0.00541541
35,-1.86687,-1.81542,0.00546801
36,-1.80068,-1.81501,0.00533142
37,-1.8414,-1.81572,0.0052348
38,-1.83112,-1.81613,0.00511269
39,-1.78813,-1.81541,0.00503176
40,-1.8356,-1.81592,0.00493122
41,-1.82674,-1.81618,0.004818
42,-1.85349,-1.81707,0.0047845
43,-1.80783,-1.81685,0.00467805
44,-1.80949,-1.81669,0.00457472
45,-1.80489,-1.81642,0.00448057
46,-1.74928,-1.81497,0.0046148
47,-1.8451,-1.81561,0.00456094
48,-1.86814,-1.8167,0.00459538
49,-1.87606,-1.81791,0.00465853
50,-1.82667,-1.81809,0.00456865
51,-1.85763,-1.81886,0.00454438
52,-1.80898,-1.81867,0.00446096
53,-1.80546,-1.81842,0.00438375
54,-1.8334,-1.8187,0.00431134
55,-1.80907,-1.81853,0.00423651
56,-1.81896,-1.81853,0.00416086
57,-1.88438,-1.81969,0.00424522
58,-1.82193,-1.81973,0.0041722
59,-1.8011,-1.81941,0.00411341
60,-1.81415,-1.81932,0.00404579
61,-1.86235,-1.82003,0.0040405
62,-1.82922,-1.82018,0.00397804
63,-1.8949,-1.82136,0.00408791
64,-1.84058,-1.82166,0.00403504
65,-1.81295,-1.82153,0.00397519
66,-1.85035,-1.82197,0.00393887
67,-1.80002,-1.82164,0.00389369
68,-1.85701,-1.82216,0.00387101
69,-1.77318,-1.82145,0.00387945
70,-1.81257,-1.82132,0.00382611
71,-1.78079,-1.82075,0.00381458
72,-1.82508,-1.82081,0.00376207
73,-1.80095,-1.82054,0.00372037
74,-1.78849,-1.82011,0.00369522
75,-1.81155,-1.81999,0.00364771
76,-1.8308,-1.82013,0.00360248
77,-1.79394,-1.81979,0.00357173
78,-1.83987,-1.82005,0.00353519
79,-1.78678,-1.81963,0.00351544
80,-1.81239,-1.81954,0.00347266
81,-1.86428,-1.82009,0.00347345
82,-1.77437,-1.81953,0.00347555
83,-1.84356,-1.81982,0.00344571
84,-1.7884,-1.81945,0.00342494
85,-1.86935,-1.82004,0.0034346
86,-1.82693,-1.82012,0.0033956
87,-1.79998,-1.81989,0.00336445
88,-1.85291,-1.82026,0.00334709
89,-1.79401,-1.81997,0.00332245
90,-1.84923,-1.82029,0.00330141
91,-1.8215,-1.8203,0.00326516
92,-1.74423,-1.81948,0.00333273
93,-1.8105,-1.81938,0.00329829
94,-1.81536,-1.81934,0.00326348
95,-1.83434,-1.8195,0.00323295
96,-1.81738,-1.81947,0.00319935
97,-1.82659,-1.81955,0.00316721
98,-1.80465,-1.8194,0.00313853
99,-1.84815,-1.81969,0.00312024
100,-1.81725,-1.81966,0.00308913
