BLOCK,ACTUAL_M,M_AVE,ERROR
1,2.118400e-02,2.118400e-02,0.000000e+00
2,2.694800e-02,2.406600e-02,2.037882e-03
3,2.146800e-02,2.320000e-02,1.531578e-03
4,3.617200e-02,2.644300e-02,3.034347e-03
5,2.024800e-02,2.520400e-02,2.668472e-03
6,2.115600e-02,2.452933e-02,2.307439e-03
7,1.504400e-02,2.317429e-02,2.342127e-03
8,2.422400e-02,2.330550e-02,2.053033e-03
9,2.362800e-02,2.334133e-02,1.825231e-03
10,2.335200e-02,2.334240e-02,1.642708e-03
11,3.200400e-02,2.412982e-02,1.671472e-03
12,3.010400e-02,2.462767e-02,1.604613e-03
13,2.005200e-02,2.427569e-02,1.519294e-03
14,1.449600e-02,2.357714e-02,1.563137e-03
15,2.121600e-02,2.341973e-02,1.466832e-03
16,3.184400e-02,2.394625e-02,1.466610e-03
17,2.383200e-02,2.393953e-02,1.380354e-03
18,2.942000e-02,2.424400e-02,1.336825e-03
19,2.955200e-02,2.452337e-02,1.295328e-03
20,1.972000e-02,2.428320e-02,1.252629e-03
21,2.248000e-02,2.419733e-02,1.195919e-03
22,2.386000e-02,2.418200e-02,1.141658e-03
23,2.129600e-02,2.405652e-02,1.098894e-03
24,2.742000e-02,2.419667e-02,1.062006e-03
25,3.050400e-02,2.444896e-02,1.049066e-03
26,2.273600e-02,2.438308e-02,1.010784e-03
27,2.534400e-02,2.441867e-02,9.739735e-04
28,1.943600e-02,2.424071e-02,9.553070e-04
29,2.719200e-02,2.434248e-02,9.277702e-04
30,2.480800e-02,2.435800e-02,8.969743e-04
31,2.381200e-02,2.434039e-02,8.682126e-04
32,3.886400e-02,2.479425e-02,9.523505e-04
33,2.505200e-02,2.480206e-02,9.235234e-04
34,2.020800e-02,2.466694e-02,9.061916e-04
35,2.775200e-02,2.475509e-02,8.845769e-04
36,2.873600e-02,2.486567e-02,8.668896e-04
37,1.417600e-02,2.457676e-02,8.903023e-04
38,2.432000e-02,2.457000e-02,8.668989e-04
39,1.712800e-02,2.437918e-02,8.654175e-04
40,1.972400e-02,2.426280e-02,8.515713e-04
41,2.198400e-02,2.420722e-02,8.326131e-04
42,2.350000e-02,2.419038e-02,8.129593e-04
43,2.283600e-02,2.415888e-02,7.946632e-04
44,9.528000e-03,2.382636e-02,8.433080e-04
45,2.009200e-02,2.374338e-02,8.286408e-04
46,1.926800e-02,2.364609e-02,8.163184e-04
47,3.689600e-02,2.392800e-02,8.462299e-04
48,3.601200e-02,2.417975e-02,8.652374e-04
49,2.114800e-02,2.411788e-02,8.497888e-04
50,2.511600e-02,2.413784e-02,8.330275e-04
51,2.859200e-02,2.422518e-02,8.212591e-04
52,2.449200e-02,2.423031e-02,8.054817e-04
53,3.424400e-02,2.441925e-02,8.121408e-04
54,3.578000e-02,2.462963e-02,8.239005e-04
55,1.780000e-02,2.450545e-02,8.182246e-04
56,2.398800e-02,2.449621e-02,8.036656e-04
57,3.608800e-02,2.469958e-02,8.148905e-04
58,3.055200e-02,2.480048e-02,8.070637e-04
59,2.218000e-02,2.475607e-02,7.946058e-04
60,2.659600e-02,2.478673e-02,7.819539e-04
61,2.723600e-02,2.482689e-02,7.701651e-04
62,1.762400e-02,2.471071e-02,7.664553e-04
63,1.558000e-02,2.456578e-02,7.678699e-04
64,2.276400e-02,2.453762e-02,7.563879e-04
65,2.272800e-02,2.450978e-02,7.452633e-04
66,2.532800e-02,2.452218e-02,7.340746e-04
67,2.582800e-02,2.454167e-02,7.233769e-04
68,3.614000e-02,2.471224e-02,7.325715e-04
69,2.313200e-02,2.468933e-02,7.223124e-04
70,1.038400e-02,2.448497e-02,7.403392e-04
71,4.253600e-02,2.473921e-02,7.723334e-04
72,2.942800e-02,2.480433e-02,7.643471e-04
73,2.418400e-02,2.479584e-02,7.539239e-04
74,2.996800e-02,2.486573e-02,7.469685e-04
75,2.644400e-02,2.488677e-02,7.373053e-04
76,2.875600e-02,2.493768e-02,7.293595e-04
77,2.797600e-02,2.497714e-02,7.209539e-04
78,2.826400e-02,2.501928e-02,7.129413e-04
79,2.891600e-02,2.506861e-02,7.056210e-04
80,3.733200e-02,2.522190e-02,7.132574e-04
81,1.902400e-02,2.514538e-02,7.085442e-04
82,2.547600e-02,2.514941e-02,6.999149e-04
83,3.099200e-02,2.521981e-02,6.950129e-04
84,3.550400e-02,2.534224e-02,6.974391e-04
85,1.317600e-02,2.519911e-02,7.037679e-04
86,2.852000e-02,2.523772e-02,6.966431e-04
87,3.136400e-02,2.530814e-02,6.921855e-04
88,2.150400e-02,2.526491e-02,6.856683e-04
89,9.632000e-03,2.508926e-02,7.001013e-04
90,1.270400e-02,2.495164e-02,7.057177e-04
91,2.291600e-02,2.492927e-02,6.983170e-04
92,2.216000e-02,2.489917e-02,6.913751e-04
93,2.681200e-02,2.491974e-02,6.842468e-04
94,2.915200e-02,2.496477e-02,6.784473e-04
95,2.280400e-02,2.494202e-02,6.716869e-04
96,2.832400e-02,2.497725e-02,6.656134e-04
97,2.387600e-02,2.496590e-02,6.588482e-04
98,1.744000e-02,2.488910e-02,6.565856e-04
99,2.862800e-02,2.492687e-02,6.510386e-04
100,3.112000e-02,2.498880e-02,6.474672e-04
