BLOCK,ACTUAL_CV,CV_AVE,ERROR
1,0.153238,0.153238,0
2,0.166103,0.159671,0.00454841
3,0.144099,0.15448,0.00521115
4,0.171203,0.158661,0.00532769
5,0.161146,0.159158,0.00428528
6,0.164226,0.160003,0.00365335
7,0.153209,0.159032,0.0032578
8,0.169303,0.160316,0.00309323
9,0.156008,0.159837,0.00278632
10,0.168121,0.160666,0.00262796
11,0.164515,0.161016,0.00241224
12,0.170584,0.161813,0.00233929
13,0.160951,0.161747,0.00216028
14,0.169867,0.162327,0.00208238
15,0.174036,0.163107,0.00208474
16,0.158732,0.162834,0.00197229
17,0.156116,0.162439,0.00189545
18,0.169183,0.162813,0.00182681
19,0.165768,0.162969,0.00173727
20,0.157384,0.16269,0.0016727
21,0.17282,0.163172,0.00166116
22,0.168611,0.163419,0.00160394
23,0.157726,0.163172,0.00155319
24,0.158292,0.162968,0.00150173
25,0.178092,0.163573,0.00155875
26,0.155467,0.163262,0.00152966
27,0.163801,0.163281,0.00147314
28,0.146937,0.162698,0.00153181
29,0.157499,0.162519,0.00148945
30,0.178852,0.163063,0.00153609
31,0.161941,0.163027,0.00148696
32,0.161382,0.162975,0.00144138
33,0.164103,0.16301,0.00139811
34,0.17126,0.163252,0.00137789
35,0.174137,0.163563,0.00137316
36,0.169028,0.163715,0.00134339
37,0.15908,0.16359,0.00131291
38,0.161022,0.163522,0.00128009
39,0.160209,0.163437,0.00125009
40,0.143454,0.162938,0.00131488
41,0.165791,0.163007,0.00128465
42,0.171238,0.163203,0.00126892
43,0.157836,0.163078,0.00124553
44,0.162673,0.163069,0.00121726
45,0.161446,0.163033,0.00119074
46,0.158354,0.162931,0.0011692
47,0.145202,0.162554,0.00120363
48,0.154977,0.162396,0.00118886
49,0.155604,0.162258,0.00117265
50,0.16393,0.162291,0.00114968
51,0.158449,0.162216,0.0011296
52,0.163411,0.162239,0.00110811
53,0.155255,0.162107,0.00109501
54,0.164627,0.162154,0.00107573
55,0.156967,0.162059,0.00106029
56,0.151657,0.161874,0.00105751
57,0.157732,0.161801,0.00104145
58,0.161317,0.161793,0.00102352
59,0.174599,0.16201,0.00102894
60,0.16683,0.16209,0.00101492
61,0.16098,0.162072,0.000998444
62,0.166377,0.162141,0.000984752
63,0.163168,0.162158,0.000969256
64,0.17353,0.162335,0.000970262
65,0.177455,0.162568,0.000982823
66,0.170739,0.162692,0.000975698
67,0.166167,0.162744,0.000962513
68,0.161803,0.16273,0.000948458
69,0.164425,0.162754,0.000935031
70,0.165224,0.16279,0.000922339
71,0.162019,0.162779,0.000909412
72,0.159567,0.162734,0.000897874
73,0.17872,0.162953,0.000911889
74,0.173039,0.163089,0.000909694
75,0.184918,0.16338,0.000942977
76,0.163573,0.163383,0.000930572
77,0.169979,0.163469,0.000922421
78,0.169865,0.163551,0.000914233
79,0.167436,0.1636,0.000903983
80,0.171268,0.163696,0.00089775
81,0.1575,0.163619,0.00088992
82,0.176551,0.163777,0.000892931
83,0.156914,0.163694,0.000885992
84,0.154792,0.163588,0.000881761
85,0.168719,0.163649,0.000873451
86,0.158547,0.163589,0.000865307
87,0.153994,0.163479,0.00086236
88,0.165564,0.163503,0.000852886
89,0.137804,0.163214,0.000890843
90,0.158715,0.163164,0.000882346
91,0.175306,0.163297,0.000882681
92,0.153603,0.163192,0.000879354
93,0.169947,0.163265,0.000872893
94,0.170657,0.163343,0.000867143
95,0.168611,0.163399,0.000859786
96,0.157633,0.163339,0.000852925
97,0.175161,0.163461,0.000852795
98,0.166185,0.163488,0.000844546
99,0.159322,0.163446,0.000837063
100,0.177882,0.163591,0.000841049
