BLOCK,ACTUAL_X,X_AVE,ERROR
1,2.65897,2.65897,0
2,2.08654,2.37276,0.202385
3,2.72162,2.48905,0.164984
4,2.42141,2.47214,0.124602
5,2.69789,2.51729,0.107551
6,2.33573,2.48703,0.0937862
7,2.45595,2.48259,0.0804932
8,2.47043,2.48107,0.0704459
9,2.28832,2.45965,0.0657934
10,2.926,2.50629,0.0739164
11,2.48276,2.50415,0.0672276
12,2.33162,2.48977,0.0631439
13,3.48568,2.56638,0.0938866
14,2.97319,2.59544,0.0915668
15,2.43681,2.58486,0.0860708
16,3.05805,2.61444,0.0856218
17,2.64805,2.61641,0.080608
18,2.18178,2.59227,0.0796643
19,2.58546,2.59191,0.0754722
20,2.46335,2.58548,0.0719718
21,2.63643,2.58791,0.0685855
22,2.69827,2.59292,0.0656511
23,2.33054,2.58152,0.0637802
24,2.33714,2.57133,0.0619302
25,2.71508,2.57708,0.0597193
26,2.62027,2.57874,0.0574455
27,3.11303,2.59853,0.0586271
28,2.8513,2.60756,0.0572241
29,2.16573,2.59232,0.0572431
30,3.13697,2.61048,0.0581427
31,2.49378,2.60671,0.0563889
32,2.34038,2.59839,0.0552376
33,2.93832,2.60869,0.0545157
34,2.02373,2.59149,0.0555609
35,2.72335,2.59526,0.054101
36,2.30681,2.58724,0.0531882
37,2.80249,2.59306,0.0520679
38,2.2867,2.585,0.051318
39,3.21022,2.60103,0.0524464
40,2.47919,2.59798,0.0512236
41,2.71605,2.60086,0.0500552
42,2.66168,2.60231,0.0488843
43,2.40059,2.59762,0.047972
44,2.336,2.59167,0.0472488
45,2.87292,2.59792,0.0466104
46,2.864,2.60371,0.0459546
47,2.38168,2.59898,0.045219
48,2.40092,2.59486,0.0444648
49,2.51292,2.59319,0.0435888
50,3.24265,2.60618,0.0446104
51,2.6153,2.60635,0.0437361
52,2.58476,2.60594,0.042897
53,2.23243,2.59889,0.0426625
54,2.16811,2.59091,0.0426118
55,2.84768,2.59558,0.042092
56,3.22665,2.60685,0.0428223
57,2.71778,2.6088,0.0421152
58,2.15643,2.601,0.0421051
59,2.27114,2.59541,0.041761
60,2.61103,2.59567,0.0410658
61,2.38022,2.59214,0.0405442
62,2.52395,2.59104,0.0399052
63,2.09103,2.5831,0.0400532
64,2.19384,2.57702,0.0398865
65,3.038,2.58411,0.0398984
66,2.14708,2.57749,0.0398396
67,2.50108,2.57635,0.0392613
68,2.56038,2.57611,0.0386846
69,2.79254,2.57925,0.0382509
70,2.33049,2.57569,0.0378692
71,2.81984,2.57913,0.0374916
72,2.63584,2.57992,0.0369792
73,2.44346,2.57805,0.0365198
74,2.59935,2.57834,0.0360274
75,3.12378,2.58561,0.0362737
76,2.2827,2.58163,0.0360147
77,2.78638,2.58429,0.035645
78,2.47757,2.58292,0.0352143
79,3.22546,2.59105,0.0356955
80,2.69086,2.5923,0.0352711
81,2.58049,2.59215,0.0348359
82,2.23173,2.58776,0.0346873
83,2.59297,2.58782,0.0342694
84,2.20032,2.58321,0.0341705
85,2.11578,2.57771,0.0342081
86,2.41886,2.57586,0.0338602
87,2.55476,2.57562,0.0334719
88,2.41314,2.57377,0.0331424
89,3.00816,2.57865,0.0331274
90,2.31795,2.57576,0.0328858
91,2.26346,2.57232,0.032703
92,3.16524,2.57877,0.0329764
93,2.2627,2.57537,0.0327965
94,2.59757,2.57561,0.0324484
95,2.75686,2.57751,0.0321629
96,2.4607,2.5763,0.0318509
97,2.30822,2.57353,0.0316422
98,2.5993,2.5738,0.0313204
99,2.86,2.57669,0.0311372
100,2.62703,2.57719,0.0308299
