BLOCK,ACTUAL_TE,TE_AVE,ERROR
1,-0.79056,-0.79056,0
2,-0.77952,-0.78504,0.00390323
3,-0.77216,-0.780747,0.00436574
4,-0.77072,-0.77824,0.00392856
5,-0.77848,-0.778288,0.00314314
6,-0.79624,-0.78128,0.00378427
7,-0.7804,-0.781154,0.00324575
8,-0.7712,-0.77991,0.00306928
9,-0.76296,-0.778027,0.00325518
10,-0.78552,-0.778776,0.00301467
11,-0.77432,-0.778371,0.0027677
12,-0.7844,-0.778873,0.00258225
13,-0.7856,-0.779391,0.00243491
14,-0.79232,-0.780314,0.00242982
15,-0.76968,-0.779605,0.002369
16,-0.78784,-0.78012,0.00227616
17,-0.77416,-0.779769,0.0021691
18,-0.7792,-0.779738,0.00204882
19,-0.78512,-0.780021,0.00196048
20,-0.792,-0.78062,0.0019518
21,-0.78984,-0.781059,0.0019076
22,-0.77576,-0.780818,0.00183604
23,-0.78632,-0.781057,0.00177172
24,-0.77712,-0.780893,0.00170548
25,-0.7872,-0.781146,0.00165581
26,-0.77384,-0.780865,0.00161579
27,-0.79176,-0.781268,0.00160555
28,-0.7828,-0.781323,0.00154914
29,-0.7744,-0.781084,0.001514
30,-0.76936,-0.780693,0.00151313
31,-0.77248,-0.780428,0.00148734
32,-0.75816,-0.779732,0.00159537
33,-0.784,-0.779862,0.00155225
34,-0.77304,-0.779661,0.00151951
35,-0.77448,-0.779513,0.00148329
36,-0.78016,-0.779531,0.0014422
37,-0.79552,-0.779963,0.00146653
38,-0.78576,-0.780116,0.00143585
39,-0.762,-0.779651,0.00147225
40,-0.78664,-0.779826,0.00144578
41,-0.75744,-0.77928,0.0015101
42,-0.76728,-0.778994,0.00150093
43,-0.78128,-0.779047,0.00146696
44,-0.78488,-0.77918,0.0014396
45,-0.7668,-0.778905,0.00143366
46,-0.79432,-0.77924,0.00144112
47,-0.78456,-0.779353,0.0014149
48,-0.7764,-0.779292,0.00138676
49,-0.78752,-0.77946,0.00136859
50,-0.7828,-0.779526,0.00134284
51,-0.78616,-0.779656,0.0013228
52,-0.7708,-0.779486,0.00130828
53,-0.77992,-0.779494,0.00128362
54,-0.76704,-0.779264,0.0012804
55,-0.7932,-0.779517,0.00128195
56,-0.78336,-0.779586,0.00126089
57,-0.77928,-0.77958,0.00123878
58,-0.7784,-0.77956,0.00121759
59,-0.77944,-0.779558,0.00119696
60,-0.76856,-0.779375,0.00119096
61,-0.77048,-0.779229,0.00118033
62,-0.77168,-0.779107,0.00116755
63,-0.7756,-0.779051,0.00115035
64,-0.78808,-0.779192,0.00114099
65,-0.77904,-0.77919,0.00112344
66,-0.77088,-0.779064,0.00111345
67,-0.76824,-0.778903,0.00110849
68,-0.79304,-0.779111,0.00111151
69,-0.77376,-0.779033,0.00109811
70,-0.77672,-0.779,0.00108292
71,-0.78848,-0.779134,0.00107586
72,-0.7716,-0.779029,0.001066
73,-0.79768,-0.779284,0.00108158
74,-0.76272,-0.779061,0.00108988
75,-0.80032,-0.779344,0.0011116
76,-0.77424,-0.779277,0.001099
77,-0.78,-0.779286,0.00108477
78,-0.79528,-0.779491,0.00109007
79,-0.77088,-0.779382,0.00108171
80,-0.77056,-0.779272,0.00107379
81,-0.76744,-0.779126,0.00107042
82,-0.77184,-0.779037,0.00106105
83,-0.78024,-0.779052,0.00104837
84,-0.77776,-0.779036,0.001036
85,-0.7904,-0.77917,0.0010324
86,-0.76768,-0.779036,0.001029
87,-0.76256,-0.778847,0.00103446
88,-0.76768,-0.77872,0.00103046
89,-0.7856,-0.778797,0.00102177
90,-0.79104,-0.778933,0.00101944
91,-0.7744,-0.778884,0.00100945
92,-0.7792,-0.778887,0.000998483
93,-0.77328,-0.778827,0.000989565
94,-0.77824,-0.77882,0.000979057
95,-0.77592,-0.77879,0.000969227
96,-0.77456,-0.778746,0.000960132
97,-0.7808,-0.778767,0.000950467
98,-0.78576,-0.778838,0.000943443
99,-0.7756,-0.778806,0.000934481
100,-0.77304,-0.778748,0.000926913
