TEMP,ENERGY,ENERGY_ERR,CV,CV_ERR,CHI,CHI_ERR
0.200,-1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.500000e+02,0.000000e+00
0.240,-9.999998e-01,1.591950e-07,1.110889e-05,1.105320e-05,2.083333e+02,3.248098e-05
0.280,-9.998609e-01,6.482566e-05,6.817608e-03,3.152184e-03,1.783354e+02,1.224311e-01
0.320,-9.997066e-01,8.351472e-05,1.117679e-02,3.121753e-03,1.558835e+02,1.305768e-01
0.360,-9.979851e-01,2.879149e-04,5.784798e-02,7.907263e-03,1.363563e+02,4.100374e-01
0.400,-9.954954e-01,3.672826e-04,1.038673e-01,7.931903e-03,1.201324e+02,4.587017e-01
0.440,-9.891414e-01,4.779921e-04,1.990671e-01,7.672801e-03,1.031554e+02,5.411765e-01
0.480,-9.789593e-01,6.883527e-04,2.923273e-01,6.890538e-03,8.571994e+01,7.224324e-01
0.520,-9.675415e-01,7.276718e-04,3.523572e-01,4.645169e-03,7.140348e+01,6.915639e-01
0.560,-9.527180e-01,6.010035e-04,3.964435e-01,2.828909e-03,5.732781e+01,5.198752e-01
0.600,-9.358529e-01,6.188234e-04,4.173082e-01,3.000994e-03,4.477881e+01,5.134666e-01
0.640,-9.180826e-01,5.433138e-04,4.224587e-01,2.778529e-03,3.457401e+01,4.011057e-01
0.680,-9.005675e-01,4.927869e-04,4.252819e-01,2.795032e-03,2.725121e+01,3.317265e-01
0.720,-8.833474e-01,4.599396e-04,4.309271e-01,2.456180e-03,2.210291e+01,2.424113e-01
0.760,-8.658030e-01,3.962739e-04,4.356650e-01,2.425785e-03,1.817187e+01,1.924881e-01
0.800,-8.488374e-01,3.078078e-04,4.385538e-01,1.945745e-03,1.535120e+01,1.432226e-01
0.840,-8.310624e-01,2.816336e-04,4.391462e-01,1.626155e-03,1.295889e+01,1.026371e-01
0.880,-8.133831e-01,2.924643e-04,4.387776e-01,1.616282e-03,1.113748e+01,8.242402e-02
0.920,-7.956390e-01,2.892828e-04,4.324918e-01,1.366307e-03,9.547003e+00,7.147118e-02
0.960,-7.783057e-01,2.737526e-04,4.269747e-01,1.336018e-03,8.359265e+00,5.779829e-02
1.000,-7.615286e-01,2.749468e-04,4.193189e-01,1.041597e-03,7.423751e+00,4.682389e-02
1.040,-7.447735e-01,2.644610e-04,4.102291e-01,1.028051e-03,6.593403e+00,3.767218e-02
1.080,-7.286130e-01,2.542838e-04,4.022142e-01,9.287115e-04,5.915010e+00,3.340491e-02
1.120,-7.125787e-01,2.613784e-04,3.919472e-01,8.551813e-04,5.330117e+00,3.008434e-02
1.160,-6.972239e-01,2.624218e-04,3.819841e-01,8.142841e-04,4.837363e+00,2.663339e-02
1.200,-6.822134e-01,2.569676e-04,3.710062e-01,7.558120e-04,4.408964e+00,2.164847e-02
1.240,-6.678546e-01,2.432359e-04,3.601063e-01,8.074401e-04,4.055983e+00,1.809517e-02
1.280,-6.536787e-01,2.362507e-04,3.497344e-01,7.517450e-04,3.733711e+00,1.593673e-02
1.320,-6.399885e-01,2.280032e-04,3.392741e-01,7.294336e-04,3.470779e+00,1.546147e-02
1.360,-6.264980e-01,2.205554e-04,3.287891e-01,6.928809e-04,3.213996e+00,1.409874e-02
1.400,-6.137009e-01,2.268042e-04,3.186186e-01,6.957354e-04,2.984607e+00,1.228823e-02
1.440,-6.011866e-01,2.306342e-04,3.082267e-01,6.361365e-04,2.796436e+00,1.091849e-02
1.480,-5.890974e-01,2.222478e-04,2.984053e-01,5.544209e-04,2.620400e+00,9.296591e-03
1.520,-5.773919e-01,2.072651e-04,2.889704e-01,5.146143e-04,2.462714e+00,8.684638e-03
1.560,-5.660298e-01,1.969411e-04,2.797976e-01,5.760647e-04,2.322555e+00,7.494837e-03
1.600,-5.549090e-01,1.833543e-04,2.704426e-01,5.169036e-04,2.189872e+00,6.496426e-03
1.640,-5.442339e-01,1.785859e-04,2.614521e-01,5.122701e-04,2.070073e+00,5.771364e-03
1.680,-5.339157e-01,1.836710e-04,2.527607e-01,4.599370e-04,1.966394e+00,5.737028e-03
1.720,-5.239773e-01,1.887531e-04,2.447022e-01,4.091327e-04,1.867046e+00,5.627113e-03
1.760,-5.143066e-01,1.817445e-04,2.372516e-01,3.958584e-04,1.775358e+00,5.154385e-03
1.800,-5.047548e-01,1.832811e-04,2.300102e-01,3.642602e-04,1.692554e+00,4.632992e-03
1.840,-4.956617e-01,1.725777e-04,2.227031e-01,3.218751e-04,1.615341e+00,4.128985e-03
1.880,-4.868656e-01,1.782829e-04,2.158302e-01,3.166100e-04,1.546443e+00,3.980766e-03
1.920,-4.783898e-01,1.767639e-04,2.092775e-01,3.212148e-04,1.479433e+00,3.777597e-03
1.960,-4.701395e-01,1.794315e-04,2.030160e-01,3.171043e-04,1.418247e+00,3.404354e-03
2.000,-4.621425e-01,1.850049e-04,1.969880e-01,3.008347e-04,1.362371e+00,3.349938e-03
2.040,-4.543765e-01,1.787551e-04,1.909855e-01,2.732821e-04,1.309353e+00,3.031917e-03
2.080,-4.468907e-01,1.860085e-04,1.852716e-01,2.583423e-04,1.261320e+00,2.939258e-03
2.120,-4.396046e-01,1.842268e-04,1.799641e-01,2.586079e-04,1.214510e+00,2.851775e-03
2.160,-4.324839e-01,1.891531e-04,1.745794e-01,2.410211e-04,1.170871e+00,2.832233e-03
2.200,-4.255873e-01,1.852128e-04,1.695640e-01,2.345819e-04,1.129934e+00,2.762753e-03
2.240,-4.189686e-01,1.858861e-04,1.646523e-01,2.189194e-04,1.091646e+00,2.830345e-03
2.280,-4.124510e-01,1.912310e-04,1.599804e-01,2.241992e-04,1.056161e+00,2.688976e-03
2.320,-4.061235e-01,1.895918e-04,1.554234e-01,2.179580e-04,1.021558e+00,2.586450e-03
2.360,-3.999960e-01,1.913828e-04,1.510274e-01,2.279881e-04,9.897571e-01,2.454190e-03
2.400,-3.940387e-01,1.979218e-04,1.467514e-01,2.266224e-04,9.592293e-01,2.341755e-03
2.440,-3.882593e-01,1.993042e-04,1.428433e-01,2.164269e-04,9.304126e-01,2.259526e-03
2.480,-3.826650e-01,2.011617e-04,1.389844e-01,2.169174e-04,9.039507e-01,2.251909e-03
2.520,-3.771951e-01,2.031230e-04,1.352564e-01,1.989658e-04,8.782769e-01,2.189676e-03
2.560,-3.718840e-01,2.056730e-04,1.315868e-01,2.062051e-04,8.545882e-01,2.072539e-03
2.600,-3.666996e-01,2.016887e-04,1.281753e-01,1.992958e-04,8.321721e-01,1.961585e-03
2.640,-3.615909e-01,1.984529e-04,1.248324e-01,1.881445e-04,8.099398e-01,1.892850e-03
2.680,-3.567045e-01,1.937772e-04,1.216742e-01,1.855560e-04,7.888928e-01,1.857842e-03
2.720,-3.519731e-01,1.912966e-04,1.185711e-01,1.850084e-04,7.688169e-01,1.755498e-03
2.760,-3.472390e-01,1.885022e-04,1.155419e-01,1.809474e-04,7.496325e-01,1.671792e-03
2.800,-3.426528e-01,1.872918e-04,1.125714e-01,1.784284e-04,7.316875e-01,1.623340e-03
2.840,-3.382464e-01,1.858671e-04,1.097861e-01,1.747517e-04,7.138014e-01,1.528024e-03
2.880,-3.338669e-01,1.858646e-04,1.071310e-01,1.782533e-04,6.968635e-01,1.497123e-03
2.920,-3.296466e-01,1.839869e-04,1.045993e-01,1.723664e-04,6.809309e-01,1.459883e-03
2.960,-3.255334e-01,1.815005e-04,1.020991e-01,1.609055e-04,6.661338e-01,1.430839e-03
3.000,-3.214805e-01,1.880421e-04,9.967143e-02,1.559345e-04,6.513675e-01,1.387692e-03
