TEMP,ENERGY,ENERGY_ERR,MAGNET,MAGNET_ERR
0.200,-9.800000e-01,2.356080e-09,-1.000000e+00,0.000000e+00
0.240,-9.799998e-01,1.576216e-07,-9.999999e-01,7.959926e-08
0.280,-1.019981e+00,8.574298e-06,9.999526e-01,2.737853e-05
0.320,-1.019900e+00,3.625998e-05,9.995236e-01,2.832197e-04
0.360,-1.019411e+00,8.392844e-05,9.973433e-01,6.954616e-04
0.400,-1.018217e+00,1.773997e-04,9.889064e-01,3.804953e-03
0.440,-1.014840e+00,3.191955e-04,9.658324e-01,7.245549e-03
0.480,-1.008259e+00,4.944311e-04,9.242219e-01,8.925480e-03
0.520,-9.974361e-01,6.734012e-04,8.481839e-01,1.184569e-02
0.560,-9.830129e-01,6.995301e-04,7.671329e-01,1.005562e-02
0.600,-9.651043e-01,7.223156e-04,6.794166e-01,9.037899e-03
0.640,-9.451507e-01,6.936215e-04,5.862121e-01,8.142796e-03
0.680,-9.246330e-01,5.946154e-04,5.022744e-01,7.259872e-03
0.720,-9.031349e-01,6.065820e-04,4.187407e-01,6.972784e-03
0.760,-8.823834e-01,5.098529e-04,3.536089e-01,5.722779e-03
0.800,-8.620381e-01,4.295398e-04,2.956500e-01,5.104393e-03
0.840,-8.419836e-01,4.041324e-04,2.540583e-01,4.423218e-03
0.880,-8.224594e-01,3.748361e-04,2.199128e-01,3.970815e-03
0.920,-8.039354e-01,3.606484e-04,1.940398e-01,3.539864e-03
0.960,-7.853273e-01,3.419437e-04,1.695053e-01,3.184825e-03
1.000,-7.673129e-01,3.370069e-04,1.482275e-01,2.733403e-03
1.040,-7.498119e-01,3.257098e-04,1.312176e-01,2.303153e-03
1.080,-7.329575e-01,2.880254e-04,1.186882e-01,2.142548e-03
1.120,-7.163793e-01,2.779105e-04,1.057583e-01,1.895456e-03
1.160,-7.005113e-01,2.749521e-04,9.608104e-02,1.893201e-03
1.200,-6.852549e-01,2.963446e-04,8.781824e-02,1.808601e-03
1.240,-6.705623e-01,2.816190e-04,7.944776e-02,1.664065e-03
1.280,-6.561839e-01,2.446556e-04,7.361696e-02,1.514969e-03
1.320,-6.421446e-01,2.337003e-04,6.847312e-02,1.409335e-03
1.360,-6.285607e-01,2.290672e-04,6.212024e-02,1.324355e-03
1.400,-6.155517e-01,2.360215e-04,5.769396e-02,1.242853e-03
1.440,-6.028294e-01,2.293401e-04,5.380816e-02,1.210440e-03
1.480,-5.907001e-01,2.263407e-04,5.058612e-02,1.154601e-03
1.520,-5.789169e-01,2.144189e-04,4.765984e-02,1.091190e-03
1.560,-5.673956e-01,1.938099e-04,4.493780e-02,1.038423e-03
1.600,-5.562113e-01,1.857704e-04,4.260984e-02,9.776299e-04
1.640,-5.454345e-01,1.817060e-04,4.021028e-02,9.435333e-04
1.680,-5.350818e-01,1.854283e-04,3.801464e-02,9.495183e-04
1.720,-5.250768e-01,1.860165e-04,3.595376e-02,9.180433e-04
1.760,-5.152766e-01,1.792083e-04,3.432440e-02,8.851664e-04
1.800,-5.057721e-01,1.788426e-04,3.261924e-02,8.482150e-04
1.840,-4.965950e-01,1.712719e-04,3.109616e-02,7.967416e-04
1.880,-4.877791e-01,1.771556e-04,2.962964e-02,7.543953e-04
1.920,-4.792772e-01,1.845744e-04,2.840652e-02,7.263837e-04
1.960,-4.709657e-01,1.836172e-04,2.739060e-02,6.964414e-04
2.000,-4.629736e-01,1.845083e-04,2.603936e-02,6.707787e-04
2.040,-4.550941e-01,1.826423e-04,2.498880e-02,6.474672e-04
2.080,-4.476003e-01,1.864442e-04,2.405196e-02,6.227249e-04
2.120,-4.402198e-01,1.876570e-04,2.320540e-02,6.173057e-04
2.160,-4.331940e-01,1.869798e-04,2.241004e-02,5.937100e-04
2.200,-4.262641e-01,1.889114e-04,2.157544e-02,5.865467e-04
2.240,-4.195213e-01,1.850025e-04,2.098048e-02,5.807512e-04
2.280,-4.130348e-01,1.919720e-04,2.029388e-02,5.683948e-04
2.320,-4.066914e-01,1.914096e-04,1.966564e-02,5.518243e-04
2.360,-4.005087e-01,1.924132e-04,1.922584e-02,5.376840e-04
2.400,-3.945374e-01,1.920068e-04,1.862384e-02,5.342974e-04
2.440,-3.886914e-01,1.944977e-04,1.809240e-02,5.392065e-04
2.480,-3.830897e-01,1.974626e-04,1.757080e-02,5.313631e-04
2.520,-3.776657e-01,1.983961e-04,1.711720e-02,5.372807e-04
2.560,-3.723019e-01,2.009334e-04,1.677436e-02,5.355310e-04
2.600,-3.670554e-01,1.953108e-04,1.640848e-02,5.206338e-04
2.640,-3.619971e-01,1.950011e-04,1.590872e-02,5.150658e-04
2.680,-3.571216e-01,1.930104e-04,1.546688e-02,5.004055e-04
2.720,-3.523611e-01,1.890384e-04,1.507216e-02,4.839743e-04
2.760,-3.476447e-01,1.883350e-04,1.454016e-02,4.804082e-04
2.800,-3.430857e-01,1.877987e-04,1.422824e-02,4.700758e-04
2.840,-3.385992e-01,1.875075e-04,1.389496e-02,4.673917e-04
2.880,-3.342263e-01,1.832356e-04,1.352488e-02,4.636928e-04
2.920,-3.299781e-01,1.803094e-04,1.319084e-02,4.576775e-04
2.960,-3.258867e-01,1.801353e-04,1.290380e-02,4.433565e-04
3.000,-3.218584e-01,1.831275e-04,1.255952e-02,4.433310e-04
