BLOCK,ACTUAL_M,M_AVE,ERROR
1,4.277200e-02,4.277200e-02,0.000000e+00
2,3.768400e-02,4.022800e-02,1.798880e-03
3,6.375200e-02,4.806933e-02,6.513771e-03
4,4.769200e-02,4.797500e-02,4.886011e-03
5,7.025600e-02,5.243120e-02,5.582559e-03
6,7.272400e-02,5.581333e-02,5.583430e-03
7,5.250400e-02,5.534057e-02,4.805770e-03
8,4.812800e-02,5.443900e-02,4.288784e-03
9,5.879200e-02,5.492267e-02,3.839428e-03
10,4.915600e-02,5.434600e-02,3.498524e-03
11,5.559600e-02,5.445964e-02,3.182321e-03
12,6.987200e-02,5.574400e-02,3.165716e-03
13,4.274000e-02,5.474369e-02,3.076182e-03
14,5.850000e-02,5.501200e-02,2.868132e-03
15,4.558400e-02,5.438347e-02,2.744929e-03
16,6.392400e-02,5.497975e-02,2.637341e-03
17,7.424000e-02,5.611271e-02,2.714667e-03
18,6.447200e-02,5.657711e-02,2.603273e-03
19,4.566800e-02,5.600295e-02,2.528783e-03
20,3.112800e-02,5.475920e-02,2.690877e-03
21,4.015600e-02,5.406381e-02,2.651071e-03
22,5.804800e-02,5.424491e-02,2.536746e-03
23,6.632400e-02,5.477009e-02,2.480220e-03
24,4.865600e-02,5.451533e-02,2.389925e-03
25,5.814000e-02,5.466032e-02,2.298722e-03
26,4.818800e-02,5.441138e-02,2.223747e-03
27,4.736800e-02,5.415052e-02,2.156633e-03
28,5.270000e-02,5.409871e-02,2.080233e-03
29,5.530000e-02,5.414014e-02,2.008913e-03
30,5.705600e-02,5.423733e-02,1.944299e-03
31,5.154800e-02,5.415058e-02,1.883514e-03
32,7.239200e-02,5.472063e-02,1.908968e-03
33,5.476000e-02,5.472182e-02,1.851121e-03
34,5.580400e-02,5.475365e-02,1.796950e-03
35,5.259200e-02,5.469189e-02,1.746669e-03
36,5.657600e-02,5.474422e-02,1.698935e-03
37,5.679600e-02,5.479968e-02,1.653922e-03
38,7.216400e-02,5.525663e-02,1.672332e-03
39,6.912400e-02,5.561221e-02,1.666825e-03
40,6.956400e-02,5.596100e-02,1.661247e-03
41,6.122400e-02,5.608937e-02,1.625681e-03
42,5.715200e-02,5.611467e-02,1.587171e-03
43,4.434800e-02,5.584102e-02,1.573673e-03
44,6.264400e-02,5.599564e-02,1.545484e-03
45,4.719200e-02,5.580000e-02,1.523472e-03
46,6.742800e-02,5.605278e-02,1.511179e-03
47,4.430800e-02,5.580289e-02,1.499545e-03
48,3.974000e-02,5.546825e-02,1.505181e-03
49,6.142400e-02,5.558980e-02,1.479363e-03
50,5.192000e-02,5.551640e-02,1.451595e-03
51,7.262800e-02,5.585192e-02,1.461394e-03
52,6.596000e-02,5.604631e-02,1.446161e-03
53,7.280000e-02,5.636242e-02,1.453012e-03
54,5.115600e-02,5.626600e-02,1.429300e-03
55,4.642000e-02,5.608698e-02,1.414479e-03
56,4.256800e-02,5.584557e-02,1.409671e-03
57,4.745200e-02,5.569832e-02,1.392610e-03
58,5.112400e-02,5.561945e-02,1.370831e-03
59,6.085600e-02,5.570820e-02,1.350466e-03
60,4.865600e-02,5.559067e-02,1.333064e-03
61,6.984000e-02,5.582426e-02,1.331520e-03
62,5.689200e-02,5.584148e-02,1.310155e-03
63,6.280000e-02,5.595194e-02,1.294006e-03
64,4.989600e-02,5.585731e-02,1.277242e-03
65,4.324400e-02,5.566326e-02,1.272248e-03
66,6.652000e-02,5.582776e-02,1.263561e-03
67,6.242400e-02,5.592621e-02,1.248532e-03
68,3.556000e-02,5.562671e-02,1.265584e-03
69,8.124400e-02,5.599797e-02,1.300559e-03
70,5.097600e-02,5.592623e-02,1.283957e-03
71,5.662800e-02,5.593611e-02,1.265911e-03
72,6.736800e-02,5.609489e-02,1.258247e-03
73,5.935200e-02,5.613951e-02,1.241801e-03
74,5.722000e-02,5.615411e-02,1.225106e-03
75,5.319200e-02,5.611461e-02,1.209408e-03
76,6.288000e-02,5.620363e-02,1.196766e-03
77,7.093200e-02,5.639491e-02,1.196412e-03
78,6.448400e-02,5.649862e-02,1.185559e-03
79,5.166800e-02,5.643747e-02,1.172128e-03
80,5.652400e-02,5.643855e-02,1.157477e-03
81,5.485600e-02,5.641901e-02,1.143352e-03
82,6.764800e-02,5.655595e-02,1.137580e-03
83,6.551200e-02,5.666386e-02,1.128980e-03
84,4.048400e-02,5.647124e-02,1.131852e-03
85,5.863200e-02,5.649666e-02,1.118821e-03
86,5.726800e-02,5.650563e-02,1.105848e-03
87,5.323600e-02,5.646805e-02,1.093775e-03
88,4.408400e-02,5.632732e-02,1.090362e-03
89,4.695200e-02,5.622198e-02,1.083187e-03
90,6.408000e-02,5.630929e-02,1.074665e-03
91,4.590000e-02,5.619490e-02,1.068926e-03
92,6.454800e-02,5.628570e-02,1.061156e-03
93,4.282400e-02,5.614095e-02,1.059572e-03
94,5.424000e-02,5.612072e-02,1.048493e-03
95,5.491200e-02,5.610800e-02,1.037533e-03
96,5.124400e-02,5.605733e-02,1.027962e-03
97,5.295200e-02,5.602532e-02,1.017863e-03
98,5.265200e-02,5.599090e-02,1.008058e-03
99,6.131600e-02,5.604469e-02,9.993101e-04
100,7.011200e-02,5.618536e-02,9.991692e-04
