BLOCK,ACTUAL_CV,CV_AVE,ERROR
1,1.838488e-01,1.838488e-01,0.000000e+00
2,1.881711e-01,1.860099e-01,1.528179e-03
3,1.849818e-01,1.856672e-01,1.056517e-03
4,1.868415e-01,1.859608e-01,8.321787e-04
5,1.801589e-01,1.848004e-01,1.233042e-03
6,1.848937e-01,1.848160e-01,1.027633e-03
7,1.859090e-01,1.849721e-01,8.926129e-04
8,1.786692e-01,1.841842e-01,1.073850e-03
9,1.836690e-01,1.841270e-01,9.560577e-04
10,1.852243e-01,1.842367e-01,8.667259e-04
11,1.849119e-01,1.842981e-01,7.901031e-04
12,1.811380e-01,1.840348e-01,7.668915e-04
13,1.838843e-01,1.840232e-01,7.079872e-04
14,1.827258e-01,1.839305e-01,6.634536e-04
15,1.816647e-01,1.837795e-01,6.361872e-04
16,1.844005e-01,1.838183e-01,5.976085e-04
17,1.868473e-01,1.839965e-01,5.884170e-04
18,1.832602e-01,1.839556e-01,5.571469e-04
19,1.884275e-01,1.841909e-01,5.753944e-04
20,1.830532e-01,1.841340e-01,5.494296e-04
21,1.811830e-01,1.839935e-01,5.409393e-04
22,1.839030e-01,1.839894e-01,5.163668e-04
23,1.860022e-01,1.840769e-01,5.012772e-04
24,1.842637e-01,1.840847e-01,4.804510e-04
25,1.822008e-01,1.840093e-01,4.671052e-04
26,1.797202e-01,1.838444e-01,4.773816e-04
27,1.856890e-01,1.839127e-01,4.645637e-04
28,1.884554e-01,1.840749e-01,4.754581e-04
29,1.878282e-01,1.842044e-01,4.763527e-04
30,1.831975e-01,1.841708e-01,4.616552e-04
31,1.810917e-01,1.840715e-01,4.573234e-04
32,1.891432e-01,1.842300e-01,4.696931e-04
33,1.838372e-01,1.842181e-01,4.556107e-04
34,1.848677e-01,1.842372e-01,4.426109e-04
35,1.842399e-01,1.842372e-01,4.299648e-04
36,1.861672e-01,1.842909e-01,4.213503e-04
37,1.851475e-01,1.843140e-01,4.105982e-04
38,1.846983e-01,1.843241e-01,3.999175e-04
39,1.855509e-01,1.843556e-01,3.908983e-04
40,1.822859e-01,1.843038e-01,3.845351e-04
41,1.881795e-01,1.843984e-01,3.866002e-04
42,1.850394e-01,1.844136e-01,3.776966e-04
43,1.844336e-01,1.844141e-01,3.689132e-04
44,1.825653e-01,1.843721e-01,3.629138e-04
45,1.819382e-01,1.843180e-01,3.588568e-04
46,1.852605e-01,1.843385e-01,3.516400e-04
47,1.807845e-01,1.842629e-01,3.521949e-04
48,1.800682e-01,1.841755e-01,3.555341e-04
49,1.781052e-01,1.840516e-01,3.692312e-04
50,1.809224e-01,1.839890e-01,3.671121e-04
51,1.849943e-01,1.840087e-01,3.604426e-04
52,1.830264e-01,1.839898e-01,3.540058e-04
53,1.830240e-01,1.839716e-01,3.477951e-04
54,1.874053e-01,1.840352e-01,3.471187e-04
55,1.816556e-01,1.839919e-01,3.434931e-04
56,1.848963e-01,1.840081e-01,3.377387e-04
57,1.820914e-01,1.839744e-01,3.334831e-04
58,1.837902e-01,1.839713e-01,3.277485e-04
59,1.821111e-01,1.839397e-01,3.237065e-04
60,1.902776e-01,1.840454e-01,3.351029e-04
61,1.847878e-01,1.840575e-01,3.298304e-04
62,1.907785e-01,1.841659e-01,3.418608e-04
63,1.847065e-01,1.841745e-01,3.365421e-04
64,1.813284e-01,1.841300e-01,3.342090e-04
65,1.834719e-01,1.841199e-01,3.292206e-04
66,1.832870e-01,1.841073e-01,3.244743e-04
67,1.866876e-01,1.841458e-01,3.219087e-04
68,1.882071e-01,1.842055e-01,3.226676e-04
69,1.862602e-01,1.842353e-01,3.193624e-04
70,1.835642e-01,1.842257e-01,3.149440e-04
71,1.827497e-01,1.842049e-01,3.111935e-04
72,1.810064e-01,1.841605e-01,3.100261e-04
73,1.844608e-01,1.841646e-01,3.058065e-04
74,1.867362e-01,1.841994e-01,3.036420e-04
75,1.834907e-01,1.841899e-01,2.997405e-04
76,1.850451e-01,1.842012e-01,2.960076e-04
77,1.790405e-01,1.841342e-01,2.996549e-04
78,1.849179e-01,1.841442e-01,2.959816e-04
79,1.850407e-01,1.841556e-01,2.924525e-04
80,1.845059e-01,1.841599e-01,2.888296e-04
81,1.831624e-01,1.841476e-01,2.855262e-04
82,1.809411e-01,1.841085e-01,2.847093e-04
83,1.805208e-01,1.840653e-01,2.845414e-04
84,1.805426e-01,1.840234e-01,2.842276e-04
85,1.802128e-01,1.839785e-01,2.843973e-04
86,1.846060e-01,1.839858e-01,2.811839e-04
87,1.855149e-01,1.840034e-01,2.785007e-04
88,1.859083e-01,1.840250e-01,2.761758e-04
89,1.835387e-01,1.840196e-01,2.731268e-04
90,1.842356e-01,1.840220e-01,2.701026e-04
91,1.886064e-01,1.840724e-01,2.717920e-04
92,1.835467e-01,1.840666e-01,2.688978e-04
93,1.830556e-01,1.840558e-01,2.662261e-04
94,1.804896e-01,1.840178e-01,2.660833e-04
95,1.839669e-01,1.840173e-01,2.632829e-04
96,1.845621e-01,1.840230e-01,2.606015e-04
97,1.859562e-01,1.840429e-01,2.586759e-04
98,1.858480e-01,1.840613e-01,2.566914e-04
99,1.824993e-01,1.840455e-01,2.545829e-04
100,1.883312e-01,1.840884e-01,2.556190e-04
