BLOCK,ACTUAL_X,X_AVE,ERROR
1,0.914,0.914,0
2,0.951767,0.932883,0.0133525
3,0.916233,0.927333,0.00998875
4,1.0289,0.952725,0.0232309
5,0.938367,0.949853,0.0187614
6,0.848,0.932878,0.0220131
7,0.9635,0.937252,0.0192982
8,0.831567,0.924042,0.0209247
9,0.935667,0.925333,0.0186395
10,0.973433,0.930143,0.0173851
11,0.977,0.934403,0.0163182
12,0.884367,0.930233,0.0154819
13,0.978467,0.933944,0.0147289
14,0.9509,0.935155,0.0137265
15,1.05373,0.94306,0.014915
16,0.900633,0.940408,0.0142166
17,0.940433,0.94041,0.0133803
18,0.937967,0.940274,0.0126377
19,1.00233,0.94354,0.0123874
20,0.944433,0.943585,0.0117681
21,0.881533,0.94063,0.0115728
22,1.0777,0.946861,0.0126129
23,0.840033,0.942216,0.0128913
24,1.02143,0.945517,0.0127698
25,0.946267,0.945547,0.012259
26,0.935933,0.945177,0.0117931
27,0.962033,0.945801,0.0113728
28,1.02447,0.948611,0.0113084
29,0.889533,0.946574,0.0111004
30,0.9413,0.946398,0.0107318
31,0.9042,0.945037,0.0104715
32,0.978,0.946067,0.0101949
33,1.0011,0.947734,0.0100214
34,0.967233,0.948308,0.00974304
35,0.952867,0.948438,0.00946554
36,1.02097,0.950453,0.00941457
37,0.869567,0.948267,0.00941052
38,0.912567,0.947327,0.00920965
39,0.898733,0.946081,0.0090574
40,1.02327,0.948011,0.00903417
41,0.9933,0.949115,0.0088811
42,0.974367,0.949717,0.00868997
43,1.0428,0.951881,0.00875335
44,0.931967,0.951429,0.00856611
45,1.00323,0.95258,0.00845275
46,1.15,0.956872,0.00929489
47,0.9262,0.956219,0.00912
48,0.987167,0.956864,0.00895276
49,0.909067,0.955888,0.00882303
50,0.975067,0.956272,0.00865491
51,0.949633,0.956142,0.00848618
52,0.949267,0.95601,0.00832402
53,0.9367,0.955645,0.00817493
54,0.835833,0.953427,0.00831919
55,0.9254,0.952917,0.00818352
56,0.9719,0.953256,0.0080444
57,0.947467,0.953154,0.00790391
58,0.978967,0.953599,0.00778016
59,1.00583,0.954485,0.0076985
60,0.8455,0.952668,0.00778153
61,1.00223,0.953481,0.00769627
62,0.991367,0.954092,0.00759635
63,0.9081,0.953362,0.00751077
64,0.9567,0.953414,0.0073936
65,0.976133,0.953764,0.00728811
66,0.938133,0.953527,0.00718153
67,0.936867,0.953278,0.00707864
68,1.0837,0.955196,0.00722972
69,0.926667,0.954783,0.00713675
70,1.0339,0.955913,0.00712373
71,0.992433,0.956427,0.00704195
72,1.0699,0.958003,0.00711831
73,0.8947,0.957136,0.00707343
74,0.943767,0.956955,0.00698015
75,0.9316,0.956617,0.00689526
76,0.976867,0.956884,0.00680968
77,0.957033,0.956886,0.00672124
78,0.947067,0.95676,0.00663625
79,1.0405,0.95782,0.00663636
80,0.968367,0.957952,0.00655472
81,0.8855,0.957057,0.00653454
82,0.943267,0.956889,0.00645702
83,0.8831,0.956,0.00644013
84,0.957233,0.956015,0.00636348
85,0.961667,0.956081,0.00628896
86,0.865567,0.955029,0.00630329
87,0.996333,0.955503,0.00624869
88,0.950167,0.955443,0.00617798
89,0.9381,0.955248,0.00611164
90,0.948167,0.955169,0.00604424
91,0.9557,0.955175,0.00597782
92,0.9194,0.954786,0.00592548
93,0.939267,0.954619,0.00586411
94,0.927567,0.954332,0.00580878
95,0.975333,0.954553,0.00575184
96,0.968067,0.954693,0.00569365
97,1.0553,0.955731,0.00572864
98,0.9329,0.955498,0.00567492
99,1.0073,0.956021,0.00564167
100,0.912933,0.95559,0.00560169
