BLOCK,ACTUAL_TE,TE_AVE,ERROR
1,-0.430956,-0.430956,0
2,-0.436307,-0.433632,0.00189193
3,-0.450817,-0.43936,0.0048443
4,-0.434996,-0.438269,0.00375407
5,-0.443211,-0.439257,0.00313068
6,-0.44726,-0.440591,0.00287902
7,-0.443096,-0.440949,0.00248987
8,-0.442523,-0.441146,0.0021864
9,-0.441031,-0.441133,0.0019435
10,-0.438714,-0.440891,0.00176414
11,-0.43112,-0.440003,0.00181367
12,-0.43729,-0.439777,0.00167655
13,-0.436274,-0.439507,0.00156909
14,-0.444634,-0.439874,0.00149912
15,-0.441175,-0.43996,0.00140169
16,-0.438424,-0.439864,0.00131737
17,-0.442868,-0.440041,0.00125167
18,-0.435086,-0.439766,0.00121203
19,-0.441573,-0.439861,0.00115196
20,-0.442058,-0.439971,0.00109959
21,-0.44216,-0.440075,0.00105216
22,-0.437401,-0.439953,0.00101133
23,-0.441617,-0.440026,0.000969946
24,-0.430614,-0.439634,0.00100569
25,-0.431539,-0.43931,0.00101625
26,-0.436835,-0.439215,0.000981609
27,-0.436807,-0.439125,0.000949294
28,-0.435747,-0.439005,0.000923026
29,-0.44011,-0.439043,0.000891984
30,-0.437236,-0.438983,0.000864283
31,-0.442539,-0.439097,0.000843983
32,-0.434334,-0.438949,0.000830634
33,-0.440714,-0.439002,0.000807185
34,-0.440378,-0.439043,0.000784459
35,-0.439301,-0.43905,0.00076208
36,-0.447466,-0.439284,0.000775944
37,-0.439352,-0.439286,0.000754975
38,-0.441347,-0.43934,0.000737054
39,-0.447144,-0.43954,0.000744824
40,-0.440454,-0.439563,0.000726554
41,-0.436739,-0.439494,0.00071209
42,-0.436855,-0.439431,0.000697902
43,-0.434009,-0.439305,0.00069297
44,-0.43181,-0.439135,0.00069784
45,-0.44327,-0.439227,0.000688358
46,-0.440792,-0.439261,0.000674234
47,-0.437893,-0.439231,0.000660517
48,-0.434517,-0.439133,0.000654018
49,-0.452775,-0.439412,0.000697415
50,-0.44572,-0.439538,0.000694785
51,-0.431992,-0.43939,0.000696738
52,-0.446824,-0.439533,0.000697853
53,-0.444541,-0.439627,0.000691053
54,-0.449161,-0.439804,0.000700444
55,-0.441374,-0.439832,0.00068829
56,-0.439573,-0.439828,0.000676015
57,-0.43831,-0.439801,0.000664679
58,-0.443054,-0.439857,0.000655581
59,-0.434933,-0.439774,0.000649761
60,-0.423797,-0.439508,0.000691345
61,-0.442556,-0.439557,0.000681816
62,-0.445396,-0.439652,0.000677291
63,-0.432263,-0.439534,0.000676618
64,-0.442458,-0.43958,0.000667586
65,-0.440358,-0.439592,0.000657423
66,-0.443906,-0.439657,0.000650703
67,-0.444109,-0.439724,0.000644373
68,-0.439339,-0.439718,0.000634922
69,-0.429926,-0.439576,0.000641386
70,-0.439133,-0.43957,0.000632255
71,-0.446044,-0.439661,0.000629891
72,-0.441527,-0.439687,0.000621675
73,-0.435272,-0.439627,0.000616094
74,-0.437773,-0.439601,0.000608277
75,-0.447991,-0.439713,0.000610366
76,-0.437036,-0.439678,0.000603351
77,-0.445084,-0.439748,0.000599586
78,-0.441445,-0.43977,0.000592293
79,-0.442399,-0.439803,0.00058573
80,-0.439206,-0.439796,0.000578456
81,-0.44222,-0.439826,0.000572088
82,-0.441734,-0.439849,0.000565584
83,-0.439026,-0.439839,0.000558857
84,-0.433686,-0.439766,0.000556984
85,-0.441669,-0.439788,0.000550881
86,-0.433694,-0.439717,0.000549015
87,-0.436722,-0.439683,0.000543784
88,-0.441387,-0.439702,0.000537949
89,-0.43241,-0.43962,0.000538108
90,-0.445062,-0.439681,0.000535514
91,-0.440326,-0.439688,0.000529677
92,-0.442738,-0.439721,0.000524956
93,-0.441455,-0.43974,0.000519642
94,-0.445124,-0.439797,0.000517261
95,-0.434941,-0.439746,0.000514336
96,-0.439454,-0.439743,0.000508988
97,-0.434298,-0.439687,0.000506827
98,-0.442366,-0.439714,0.000502391
99,-0.437033,-0.439687,0.000498046
100,-0.435624,-0.439646,0.00049472
