BLOCK,ACTUAL_M,M_AVE,ERROR
1,0.02764,0.02764,0
2,0.04852,0.03808,0.00738219
3,0.07744,0.0512,0.0117889
4,0.03036,0.04599,0.00992636
5,0.0258,0.041952,0.00872383
6,0.04496,0.0424533,0.00728425
7,0.01144,0.0380229,0.00747048
8,0.0552,0.04017,0.00683827
9,0.03804,0.0399333,0.00608256
10,0.03328,0.039268,0.00551057
11,0.028,0.0382436,0.00510393
12,0.03928,0.03833,0.00467934
13,0.03604,0.0381538,0.0043227
14,0.04844,0.0388886,0.0040759
15,0.05768,0.0401413,0.00399206
16,0.04508,0.04045,0.00375447
17,0.03148,0.0399224,0.0035705
18,0.04388,0.0401422,0.0033789
19,0.05448,0.0408968,0.00328425
20,0.05536,0.04162,0.00319866
21,0.00964,0.0400971,0.00338953
22,0.035,0.0398655,0.00324336
23,0.02684,0.0392991,0.0031514
24,0.05664,0.0400217,0.00310182
25,0.01456,0.0390032,0.0031405
26,0.08272,0.0406846,0.00344051
27,0.07856,0.0420874,0.00358768
28,0.06816,0.0430186,0.00357835
29,4e-05,0.0415366,0.00374932
30,0.06296,0.0422507,0.00369172
31,0.0532,0.0426039,0.00358949
32,0.05712,0.0430575,0.00350586
33,0.07476,0.0440182,0.0035288
34,0.05592,0.0443682,0.00344233
35,-0.0504,0.0416606,0.00427833
36,0.0304,0.0413478,0.00417091
37,-0.0124,0.0398951,0.00430372
38,0.02832,0.0395905,0.00420123
39,-0.01024,0.0383128,0.00428339
40,0.02584,0.038001,0.00418764
41,0.02192,0.0376088,0.00410383
42,0.01128,0.0369819,0.00405372
43,0.06068,0.037533,0.00399673
44,0.03436,0.0374609,0.00390655
45,0.03972,0.0375111,0.00382006
46,0.08452,0.038533,0.00387129
47,0.02688,0.0382851,0.00379686
48,0.05052,0.03854,0.0037263
49,0.04488,0.0386694,0.0036525
50,0.0336,0.038568,0.00358086
51,0.03796,0.0385561,0.00351066
52,0.00796,0.0379677,0.00349211
53,0.02224,0.0376709,0.00343881
54,0.05028,0.0379044,0.00338304
55,0.01732,0.0375302,0.00334217
56,0.00668,0.0369793,0.00332758
57,0.02,0.0366814,0.00328251
58,0.0492,0.0368972,0.003233
59,0.06376,0.0373525,0.00321011
60,0.05072,0.0375753,0.00316433
61,0.0482,0.0377495,0.00311724
62,0.01704,0.0374155,0.00308481
63,0.06004,0.0377746,0.00305667
64,0.02544,0.0375819,0.00301498
65,0.03084,0.0374782,0.00297038
66,0.0258,0.0373012,0.00293064
67,0.05076,0.0375021,0.00289378
68,-0.01296,0.03676,0.00294484
69,-0.0202,0.0359345,0.00301564
70,0.0388,0.0359754,0.00297284
71,0.06616,0.0364006,0.00296121
72,0.03776,0.0364194,0.00292015
73,0.03028,0.0363353,0.00288135
74,0.08532,0.0369973,0.00291746
75,0.0152,0.0367067,0.002893
76,0.0374,0.0367158,0.00285495
77,0.02132,0.0365158,0.00282487
78,0.04996,0.0366882,0.00279391
79,0.0518,0.0368795,0.00276508
80,0.06328,0.0372095,0.00275014
81,0.0246,0.0370538,0.00272059
82,0.0344,0.0370215,0.0026876
83,0.02152,0.0368347,0.0026617
84,0.03176,0.0367743,0.0026307
85,0.08916,0.0373906,0.00267097
86,0.06116,0.037667,0.00265417
87,0.03896,0.0376818,0.00262371
88,0.04444,0.0377586,0.00259502
89,0.01936,0.0375519,0.00257408
90,0.05072,0.0376982,0.00254963
91,0.07856,0.0381473,0.00256085
92,0.04784,0.0382526,0.00253518
93,0.05272,0.0384082,0.00251269
94,0.02152,0.0382285,0.00249237
95,0.02628,0.0381027,0.00246931
96,0.01592,0.0378717,0.00245438
97,0.03416,0.0378334,0.00242937
98,0.03424,0.0377967,0.00240486
99,0.04172,0.0378364,0.00238089
100,0.06208,0.0380788,0.0023694
