BLOCK,ACTUAL_X,X_AVE,ERROR
1,0.896097,0.896097,0
2,0.778742,0.837419,0.0414912
3,0.88971,0.854849,0.0311072
4,1.00806,0.893153,0.0405548
5,0.897161,0.893955,0.0324518
6,0.879484,0.891543,0.0271326
7,0.943355,0.898945,0.0242451
8,0.873,0.895702,0.0214303
9,1.04826,0.912652,0.024865
10,0.86729,0.908116,0.0227886
11,0.910129,0.908299,0.0207176
12,0.817355,0.90072,0.0203301
13,0.909419,0.90139,0.0187773
14,0.985097,0.907369,0.0183633
15,0.92771,0.908725,0.0171891
16,0.956484,0.91171,0.0163719
17,0.874194,0.909503,0.0155569
18,0.914355,0.909772,0.0146949
19,1.01077,0.915088,0.0148519
20,0.986871,0.918677,0.0145365
21,0.970935,0.921166,0.0140557
22,0.893806,0.919922,0.0134717
23,0.957065,0.921537,0.0129824
24,0.947968,0.922638,0.0124881
25,0.875806,0.920765,0.0121283
26,0.871839,0.918883,0.0118069
27,0.859065,0.916668,0.0115756
28,0.743839,0.910495,0.0127017
29,0.913226,0.91059,0.012264
30,0.888129,0.909841,0.0118781
31,0.842871,0.907681,0.0116897
32,0.875806,0.906684,0.0113668
33,0.907871,0.90672,0.0110224
34,0.823065,0.90426,0.0109694
35,0.879806,0.903561,0.0106782
36,0.900645,0.90348,0.0103819
37,0.933419,0.904289,0.0101328
38,0.877935,0.903596,0.00988983
39,0.830548,0.901723,0.009812
40,0.892323,0.901488,0.00956952
41,0.829419,0.89973,0.00949618
42,0.816032,0.897737,0.00947687
43,0.884871,0.897438,0.0092612
44,0.885581,0.897169,0.00905464
45,0.890935,0.89703,0.00885448
46,0.88471,0.896762,0.00866604
47,0.823194,0.895197,0.00862187
48,0.847323,0.8942,0.00849974
49,1.01019,0.896567,0.00864964
50,0.861484,0.895865,0.00850506
51,0.837065,0.894712,0.00841607
52,0.917258,0.895146,0.00826539
53,0.887903,0.895009,0.00811057
54,0.830903,0.893822,0.00804678
55,0.825871,0.892587,0.00799476
56,0.880419,0.892369,0.00785495
57,0.78529,0.890491,0.0079386
58,0.98871,0.892184,0.00798031
59,0.861774,0.891669,0.00786167
60,0.962903,0.892856,0.00781978
61,0.948419,0.893767,0.00774445
62,0.874,0.893448,0.0076261
63,0.861194,0.892936,0.00752222
64,0.890903,0.892904,0.00740475
65,0.910419,0.893174,0.00729573
66,0.904032,0.893338,0.00718705
67,0.909258,0.893576,0.00708371
68,0.920161,0.893967,0.00699031
69,0.84929,0.893319,0.00691893
70,0.901226,0.893432,0.00682101
71,0.991226,0.89481,0.0068626
72,0.795645,0.893432,0.0069041
73,0.972387,0.894514,0.00689373
74,0.944548,0.89519,0.00683364
75,0.893742,0.895171,0.00674256
76,0.839645,0.89444,0.0066933
77,0.857935,0.893966,0.00662315
78,0.970484,0.894947,0.00661049
79,0.807419,0.893839,0.00661901
80,0.938935,0.894403,0.00656023
81,0.89271,0.894382,0.00647927
82,0.92529,0.894759,0.00641121
83,0.893839,0.894748,0.00633398
84,0.924,0.895096,0.00626814
85,0.854935,0.894624,0.00621218
86,0.949258,0.895259,0.00617234
87,0.951452,0.895905,0.00613509
88,1.00148,0.897104,0.00618158
89,0.901129,0.89715,0.00611229
90,0.788065,0.895938,0.00616337
91,0.883677,0.895803,0.00609712
92,0.886226,0.895699,0.00603173
93,0.840742,0.895108,0.00599575
94,0.932645,0.895507,0.00594525
95,0.871484,0.895254,0.00588805
96,0.873613,0.895029,0.00583103
97,0.811,0.894163,0.00583491
98,0.962774,0.894863,0.00581722
99,0.91129,0.895029,0.00576082
100,0.803355,0.894112,0.0057757
