BLOCK,ACTUAL_TE,TE_AVE,ERROR
1,-0.44648,-0.44648,0
2,-0.438,-0.44224,0.00299813
3,-0.43168,-0.43872,0.00350076
4,-0.43968,-0.43896,0.00263378
5,-0.44016,-0.4392,0.00211793
6,-0.43936,-0.439227,0.00176511
7,-0.43136,-0.438103,0.00183618
8,-0.43512,-0.43773,0.00164408
9,-0.43936,-0.437911,0.00147134
10,-0.42968,-0.437088,0.0015373
11,-0.43344,-0.436756,0.00143287
12,-0.43704,-0.43678,0.00131366
13,-0.44176,-0.437163,0.00126723
14,-0.4476,-0.437909,0.00137867
15,-0.44072,-0.438096,0.00129943
16,-0.4408,-0.438265,0.00122916
17,-0.43944,-0.438334,0.0011588
18,-0.43632,-0.438222,0.00109981
19,-0.43992,-0.438312,0.00104555
20,-0.43928,-0.43836,0.000994392
21,-0.44664,-0.438754,0.00102222
22,-0.43512,-0.438589,0.000989018
23,-0.44776,-0.438988,0.00102324
24,-0.44376,-0.439187,0.000999741
25,-0.438,-0.439139,0.000960877
26,-0.4452,-0.439372,0.000951776
27,-0.4312,-0.43907,0.000963452
28,-0.44432,-0.439257,0.000947115
29,-0.44128,-0.439327,0.000917021
30,-0.4492,-0.439656,0.000943662
31,-0.43016,-0.43935,0.000961655
32,-0.43904,-0.43934,0.000931652
33,-0.4356,-0.439227,0.000910287
34,-0.43288,-0.43904,0.00090245
35,-0.44096,-0.439095,0.000878332
36,-0.44192,-0.439173,0.000857432
37,-0.4396,-0.439185,0.000834336
38,-0.44512,-0.439341,0.00082687
39,-0.44352,-0.439448,0.000812581
40,-0.43768,-0.439404,0.000793468
41,-0.44216,-0.439471,0.000776957
42,-0.43816,-0.43944,0.000759085
43,-0.43968,-0.439446,0.000741453
44,-0.43904,-0.439436,0.000724659
45,-0.44664,-0.439596,0.000726021
46,-0.44136,-0.439635,0.00071125
47,-0.43232,-0.439479,0.000712941
48,-0.44272,-0.439547,0.000701278
49,-0.4452,-0.439662,0.000696392
50,-0.43752,-0.439619,0.000683781
51,-0.43632,-0.439555,0.000673426
52,-0.43368,-0.439442,0.000669885
53,-0.43624,-0.439381,0.000659963
54,-0.4328,-0.439259,0.000658899
55,-0.43816,-0.439239,0.000647222
56,-0.42952,-0.439066,0.000658524
57,-0.43336,-0.438966,0.000654534
58,-0.44064,-0.438994,0.000643886
59,-0.43712,-0.438963,0.000633756
60,-0.44616,-0.439083,0.000634444
61,-0.44392,-0.439162,0.00062898
62,-0.44136,-0.439197,0.000619833
63,-0.4404,-0.439217,0.000610288
64,-0.43496,-0.43915,0.000604366
65,-0.44944,-0.439308,0.000615452
66,-0.4408,-0.439331,0.000606542
67,-0.44552,-0.439423,0.000604482
68,-0.44152,-0.439454,0.000596379
69,-0.43928,-0.439452,0.000587741
70,-0.43528,-0.439392,0.000582358
71,-0.44928,-0.439531,0.000590574
72,-0.43928,-0.439528,0.000582382
73,-0.43624,-0.439483,0.000576143
74,-0.43792,-0.439462,0.000568744
75,-0.43824,-0.439445,0.000561394
76,-0.43696,-0.439413,0.000554959
77,-0.43248,-0.439323,0.000555007
78,-0.4356,-0.439275,0.000549939
79,-0.42984,-0.439155,0.000555795
80,-0.44504,-0.439229,0.000553693
81,-0.4284,-0.439095,0.000562767
82,-0.43784,-0.43908,0.000556112
83,-0.44416,-0.439141,0.000552769
84,-0.43632,-0.439108,0.000547208
85,-0.42768,-0.438973,0.000557041
86,-0.43416,-0.438917,0.000553368
87,-0.44232,-0.438956,0.000548388
88,-0.44592,-0.439035,0.000547836
89,-0.44832,-0.43914,0.000551524
90,-0.42928,-0.43903,0.00055617
91,-0.42864,-0.438916,0.000561656
92,-0.4432,-0.438963,0.000557478
93,-0.43864,-0.438959,0.000551494
94,-0.44384,-0.439011,0.000548066
95,-0.43408,-0.438959,0.00054475
96,-0.43744,-0.438943,0.000539305
97,-0.43288,-0.438881,0.000537356
98,-0.43528,-0.438844,0.000533127
99,-0.4352,-0.438807,0.000529011
100,-0.44248,-0.438844,0.000524994
