N_BLOCK,ACCEPTANCE
1,0.67372
2,0.67559
3,0.674267
4,0.67435
5,0.673776
6,0.67355
7,0.674083
8,0.674068
9,0.67438
10,0.674204
11,0.674582
12,0.674665
13,0.674766
14,0.674477
15,0.674433
16,0.674673
17,0.674404
18,0.674491
19,0.6746
20,0.674684
21,0.674524
22,0.674531
23,0.674661
24,0.674668
25,0.674714
26,0.674688
27,0.674739
28,0.67483
29,0.674903
30,0.674969
31,0.674974
32,0.674979
33,0.674932
34,0.674908
35,0.674981
36,0.674983
37,0.675063
38,0.675009
39,0.67505
40,0.675192
41,0.675257
42,0.675328
43,0.675365
44,0.675347
45,0.675284
46,0.675287
47,0.675394
48,0.675321
49,0.675301
50,0.675193
51,0.675116
52,0.67515
53,0.675163
54,0.675223
55,0.675212
56,0.675236
57,0.675266
58,0.67529
59,0.675341
60,0.675355
61,0.6753
62,0.675211
63,0.675149
64,0.675136
65,0.674982
66,0.675006
67,0.675005
68,0.675048
69,0.675038
70,0.675089
71,0.675044
72,0.674975
73,0.675002
74,0.674971
75,0.674967
76,0.674965
77,0.67502
78,0.674905
79,0.674893
80,0.674912
81,0.67487
82,0.674909
83,0.674957
84,0.67501
85,0.675033
86,0.674995
87,0.675012
88,0.674973
89,0.675053
90,0.675066
91,0.67504
92,0.67507
93,0.675051
94,0.675094
95,0.675163
96,0.675214
97,0.675239
98,0.675181
99,0.67521
100,0.675228
1,0.66916
2,0.67515
3,0.676027
4,0.676865
5,0.677008
6,0.677347
7,0.677363
8,0.67686
9,0.676251
10,0.676182
11,0.675813
12,0.675767
13,0.675386
14,0.675561
15,0.675656
16,0.675418
17,0.675192
18,0.675358
19,0.675618
20,0.675556
21,0.675357
22,0.675425
23,0.675323
24,0.675348
25,0.675407
26,0.675478
27,0.675389
28,0.675501
29,0.675593
30,0.675436
31,0.675374
32,0.67531
33,0.675288
34,0.675345
35,0.675237
36,0.675118
37,0.675026
38,0.674994
39,0.674837
40,0.674775
41,0.674754
42,0.674734
43,0.674783
44,0.674761
45,0.674732
46,0.674678
47,0.674674
48,0.67473
49,0.674761
50,0.674828
51,0.674862
52,0.674969
53,0.674953
54,0.67501
55,0.675016
56,0.674985
57,0.674969
58,0.674977
59,0.675035
60,0.67508
61,0.675115
62,0.675176
63,0.675175
64,0.675122
65,0.675197
66,0.675165
67,0.675154
68,0.67525
69,0.675273
70,0.675247
71,0.67532
72,0.675318
73,0.675289
74,0.67529
75,0.675279
76,0.675233
77,0.675257
78,0.675301
79,0.675258
80,0.675243
81,0.675302
82,0.675218
83,0.675181
84,0.675187
85,0.675173
86,0.67515
87,0.675148
88,0.675141
89,0.675118
90,0.675119
91,0.675128
92,0.675118
93,0.675135
94,0.675172
95,0.675216
96,0.675203
97,0.675158
98,0.675172
99,0.675214
100,0.675242
