TEMP,ENERGY,ENERGY_ERR,CV,CV_ERR,CHI,CHI_ERR
0.200,-1,0,0,0,250,0
0.240,-1,0,0,0,208.333,6.60725e-07
0.280,-0.99981,0.000156921,0.00808012,0.00647966,178.288,0.249377
0.320,-0.999956,1.81152e-05,0.00170178,0.000699071,156.228,0.0112344
0.360,-0.998101,0.000555093,0.0461281,0.0122215,136.658,0.753626
0.400,-0.996702,0.00063241,0.0676636,0.0116116,121.59,0.774212
0.440,-0.98904,0.00106242,0.178933,0.0151949,103.411,1.14947
0.480,-0.980985,0.00126798,0.249128,0.0134815,88.2655,1.28235
0.520,-0.970002,0.00185336,0.275854,0.0117494,73.2452,1.70538
0.560,-0.95304,0.0015332,0.364022,0.00857204,57.2184,1.30591
0.600,-0.931911,0.00134597,0.38732,0.00746594,42.2594,1.09653
0.640,-0.918322,0.00134315,0.408611,0.00741154,35.1286,0.929484
0.680,-0.899371,0.00121349,0.412761,0.00723154,26.4876,0.661373
0.720,-0.883621,0.00105709,0.421118,0.00629617,22.1369,0.548746
0.760,-0.865872,0.000975198,0.429215,0.00595519,18.3462,0.418316
0.800,-0.849349,0.000934275,0.439003,0.00531771,15.4235,0.318082
0.840,-0.83063,0.000821606,0.436415,0.00458042,13.0663,0.257534
0.880,-0.813101,0.000825726,0.430929,0.00390482,11.0264,0.197207
0.920,-0.796176,0.000832125,0.432596,0.00384043,9.58738,0.199835
0.960,-0.777894,0.000784754,0.426314,0.00323156,8.43765,0.130788
1.000,-0.761105,0.000720213,0.417368,0.00318783,7.41838,0.104797
1.040,-0.746598,0.000720816,0.410777,0.00302044,6.70176,0.105689
1.080,-0.728351,0.000671174,0.402393,0.0028557,5.96991,0.0768069
1.120,-0.712778,0.000681475,0.387499,0.00258357,5.43716,0.066242
1.160,-0.697128,0.000664665,0.381793,0.00248818,4.76931,0.0571232
1.200,-0.682512,0.000689387,0.368775,0.00209132,4.34245,0.0500953
1.240,-0.667782,0.000632762,0.359584,0.00186075,4.02526,0.0393902
1.280,-0.653125,0.0006342,0.349605,0.00182799,3.7163,0.0406863
1.320,-0.639789,0.000664218,0.337991,0.00193857,3.47429,0.0388841
1.360,-0.625472,0.000665902,0.328276,0.00174186,3.23258,0.0354072
1.400,-0.612528,0.000619897,0.319692,0.00183387,3.01031,0.0326403
1.440,-0.601295,0.000546934,0.30845,0.00181471,2.7914,0.0295154
1.480,-0.588201,0.000596615,0.298296,0.00157082,2.59974,0.0245363
1.520,-0.577042,0.000624913,0.287263,0.0015941,2.45516,0.0220672
1.560,-0.565186,0.000572018,0.276816,0.00156255,2.29386,0.020137
1.600,-0.554316,0.000546263,0.271274,0.00152861,2.16969,0.0166236
1.640,-0.543675,0.000530288,0.260458,0.00145037,2.06062,0.0171775
1.680,-0.533538,0.000511151,0.253406,0.00124625,1.97651,0.0153177
1.720,-0.52316,0.00054342,0.244974,0.00124437,1.82783,0.0135776
1.760,-0.514792,0.000516848,0.237034,0.00118405,1.77682,0.0148422
1.800,-0.505379,0.000579884,0.228297,0.00117114,1.68341,0.0141765
1.840,-0.495328,0.000509476,0.223621,0.000975408,1.61911,0.0116557
1.880,-0.487005,0.000565044,0.216542,0.000949891,1.53336,0.00979616
1.920,-0.477631,0.000471893,0.208238,0.00087508,1.48581,0.0118822
1.960,-0.469806,0.000519899,0.202276,0.00099969,1.39582,0.00965521
2.000,-0.462609,0.000491772,0.194651,0.000986758,1.34929,0.0101679
2.040,-0.454899,0.000542215,0.190996,0.000924585,1.30365,0.00856949
2.080,-0.446606,0.000550899,0.183848,0.000932648,1.25827,0.00843955
2.120,-0.44044,0.00043922,0.179856,0.00101766,1.21785,0.0080334
2.160,-0.432931,0.000521971,0.172709,0.000822739,1.16538,0.00742228
2.200,-0.42639,0.000539817,0.16904,0.000681917,1.14539,0.00775024
2.240,-0.419459,0.000501874,0.163282,0.000693453,1.09249,0.00657679
2.280,-0.413813,0.000530383,0.159666,0.000774966,1.06732,0.00701238
2.320,-0.407203,0.000572707,0.155527,0.000755417,1.01573,0.00588482
2.360,-0.399362,0.000484703,0.149647,0.000671183,0.983116,0.0062704
2.400,-0.393998,0.000523051,0.14662,0.000792983,0.964634,0.00586982
2.440,-0.388836,0.000586411,0.141628,0.000603747,0.939514,0.00589401
2.480,-0.382333,0.000482277,0.138616,0.000602305,0.910154,0.00482702
2.520,-0.377404,0.000490539,0.134424,0.000675999,0.868419,0.00493932
2.560,-0.372118,0.000477263,0.131521,0.000598951,0.856461,0.00532652
2.600,-0.365879,0.000631138,0.128086,0.000581551,0.828944,0.00514659
2.640,-0.360874,0.000548754,0.125593,0.00049656,0.810466,0.00532442
2.680,-0.356544,0.000464553,0.122047,0.000552336,0.780217,0.00482725
2.720,-0.352626,0.000488046,0.117695,0.000535021,0.773822,0.00451613
2.760,-0.347004,0.000453457,0.114736,0.000564838,0.745189,0.00499883
2.800,-0.343103,0.000491595,0.111634,0.000492325,0.728122,0.00437173
2.840,-0.338846,0.000476057,0.109827,0.000474803,0.712453,0.00401021
2.880,-0.334195,0.000487658,0.10681,0.000503043,0.694436,0.00460518
2.920,-0.329692,0.000443189,0.105015,0.000532277,0.683416,0.00359968
2.960,-0.326194,0.000481071,0.101298,0.000451373,0.663293,0.00346397
3.000,-0.321068,0.000456431,0.0995565,0.000452176,0.650059,0.00362771
