TEMP,ENERGY,ENERGY_ERR,MAGNET,MAGNET_ERR
0.200,-1.02,6.664e-09,1,0
0.240,-1.02,6.664e-09,1,0
0.280,-1.01999,6.67109e-06,0.999986,1.31358e-05
0.320,-1.01995,1.93582e-05,0.999926,3.15874e-05
0.360,-1.01737,0.000828385,0.920821,0.035495
0.400,-1.0179,0.000356189,0.991694,0.00187477
0.440,-1.01381,0.000885511,0.958596,0.0154093
0.480,-1.00533,0.00148987,0.860689,0.0342774
0.520,-0.994208,0.00169765,0.806373,0.027553
0.560,-0.980424,0.00189583,0.753825,0.0228145
0.600,-0.964012,0.00182187,0.675096,0.0219166
0.640,-0.944859,0.00168329,0.581528,0.0211534
0.680,-0.921341,0.00156056,0.470266,0.018548
0.720,-0.899962,0.00172126,0.402915,0.0186051
0.760,-0.880303,0.00129071,0.333726,0.0135864
0.800,-0.860848,0.00118319,0.280276,0.012982
0.840,-0.839144,0.00107636,0.219919,0.010182
0.880,-0.820997,0.00104073,0.191772,0.00901304
0.920,-0.803275,0.000949265,0.17828,0.00767866
0.960,-0.786184,0.000930561,0.155042,0.00817084
1.000,-0.768555,0.000861664,0.13515,0.00677452
1.040,-0.749825,0.000834295,0.127436,0.00560773
1.080,-0.733305,0.000845177,0.128552,0.00486392
1.120,-0.716663,0.000757161,0.109726,0.0047793
1.160,-0.700842,0.000683484,0.0998608,0.00450473
1.200,-0.685058,0.000710722,0.0819952,0.00428144
1.240,-0.670566,0.000664035,0.0820756,0.00360376
1.280,-0.655642,0.000690064,0.0745424,0.0032137
1.320,-0.642305,0.0006883,0.067198,0.0034583
1.360,-0.628317,0.000694567,0.0625812,0.00313369
1.400,-0.615613,0.00060739,0.0567068,0.00333449
1.440,-0.603014,0.000665838,0.0551724,0.00340291
1.480,-0.590172,0.000615377,0.053224,0.00259619
1.520,-0.578104,0.000644111,0.0498372,0.00246894
1.560,-0.566657,0.000576376,0.0462752,0.00266283
1.600,-0.555866,0.000579047,0.0380388,0.00241667
1.640,-0.544577,0.000616715,0.0380308,0.00224374
1.680,-0.533937,0.000547735,0.0371908,0.00182134
1.720,-0.524099,0.00058964,0.0330812,0.001968
1.760,-0.513899,0.000588137,0.0297332,0.00210654
1.800,-0.504479,0.000592958,0.0301596,0.00218673
1.840,-0.495364,0.000567115,0.0302652,0.00181357
1.880,-0.487255,0.000597573,0.0276108,0.00188026
1.920,-0.47891,0.000512049,0.0293984,0.00165717
1.960,-0.470649,0.000478791,0.0282196,0.00162747
2.000,-0.462238,0.000531663,0.026358,0.00152978
2.040,-0.454326,0.000540674,0.0251852,0.00161713
2.080,-0.446547,0.000527416,0.0230652,0.00150242
2.120,-0.439341,0.000575383,0.024214,0.00139586
2.160,-0.432389,0.00056129,0.0254648,0.0015127
2.200,-0.425351,0.000558779,0.0243324,0.00138667
2.240,-0.418997,0.000529433,0.023338,0.00142514
2.280,-0.412368,0.000541456,0.0225936,0.00148917
2.320,-0.406342,0.000581811,0.0196772,0.00136988
2.360,-0.399828,0.00054415,0.0218296,0.00118763
2.400,-0.394181,0.000561352,0.0202348,0.00148279
2.440,-0.387914,0.000563518,0.0205724,0.00121809
2.480,-0.382958,0.000566681,0.019882,0.00133182
2.520,-0.377195,0.000582188,0.0185288,0.00129141
2.560,-0.371579,0.000481972,0.017316,0.00119547
2.600,-0.366603,0.000546081,0.0188044,0.00110026
2.640,-0.361358,0.000545244,0.0145932,0.000999301
2.680,-0.356411,0.000513898,0.0136912,0.00115576
2.720,-0.351584,0.000522789,0.0140684,0.00105641
2.760,-0.346813,0.000544897,0.0153092,0.00104713
2.800,-0.34257,0.000495258,0.0169236,0.00104271
2.840,-0.338175,0.000490522,0.014776,0.00109392
2.880,-0.333393,0.000547813,0.0151572,0.00100392
2.920,-0.329441,0.000533482,0.0136904,0.00109019
2.960,-0.325235,0.00053706,0.0131216,0.00118694
3.000,-0.321017,0.000586356,0.0132276,0.000934362
